,term,hit_id,bow,cs_rm,cs_wm,cs_rm_wm
4020,aboriginal,native.a.03,"['characteristic', 'australia', 'relating', 'american', 'region', 'inhabiting', 'beginning', 'native', 'aboriginal', 'people']",0.9468110412070492,0.8782647405212839,0.9534527035353936
4019,aboriginal,native.n.01,"['indigen', 'plan', 'coast', 'canadian', 'indigenous', 'person', 'place', 'grant', 'government', 'student', 'northwest', 'aborigine', 'tax', 'indigene', 'scrapped', 'native', 'particular', 'art', 'college', 'born', 'aboriginal']",0.9426342873644458,0.7728941233482631,0.9355621733098576
4024,aboriginal,australia.n.01,"['british', 'year', 'ago', 'asia', 'continent', 'sent', 'thought', 'australia', 'whole', 'convict', 'tribe', 'australian', 'nation', 'penal', 'commonwealth_of_australia', 'colony', 'first', 'southeastern', 'european', 'migrated', 'occupying', 'aboriginal']",0.8451401536263679,0.7577497886620328,0.8434859220146385
4021,aboriginal,aboriginal.s.02,"['life', 'primeval', 'state', 'primaeval', 'earth', 'matter', 'primal', 'earliest', 'stage', 'appearance', 'primordial', 'existed', 'form', 'original', 'beginning', 'forest', 'aboriginal', 'era']",0.825852373147515,0.7524952737888811,0.8314507433806789
4026,aboriginal,dravidian.n.01,"['dravidian', 'one', 'inhabitant', 'india', 'aboriginal', 'member']",0.8012258984942708,0.7322596250333818,0.8023907546532477
4027,aboriginal,alaska_native.n.01,"['alaskan_native', 'descendant', 'alaska', 'native_alaskan', 'alaska_native', 'aboriginal', 'people', 'member']",0.7933385762876868,0.6484553010440123,0.7819441515194442
4018,aboriginals,,,,,
421,allochtoon,,,,,
420,allochtoons,,,,,
2256,baboo,babu.n.01,"['used', 'equivalent', 'english', 'babu', 'baboo', 'title', 'hindi', 'courtesy']",0.0,0.6062351418841733,0.6062351418841733
2255,baboos,,,,,
52,barbarian,barbarian.s.01,"['efficient', 'barbaric', 'crude', 'civilizing', 'practice', 'especially', 'invader', 'uncivilized', 'uncivilised', 'weapon', 'barbarian', 'people', 'tribe', 'influence', 'fighting', 'meade', 'savage', 'margaret', 'wild', 'without']",0.9535504146178664,0.7327127780067554,0.9478254237606348
51,barbarian,peasant.n.03,"['ill', 'tike', 'boor', 'crude', 'lacking', 'goth', 'bred', 'uncouth', 'refinement', 'peasant', 'tyke', 'person', 'churl', 'barbarian', 'culture']",0.9106035052585252,0.5775232087065222,0.878845568979051
50,barbarian,savage.n.01,"['savage', 'barbarian', 'uncivilized', 'people', 'member']",0.8060002188472809,0.5844654054415291,0.7883058470445216
