,term,hit_id,bow,cs_rm,cs_wm,cs_rm_wm
4577,aboriginal,300198715.0,"['position', 'including', 'people', 'also', 'united', 'colonist', 'louisiana', 'nearby', 'century', 'line', 'source', 'america', 'amerindian', 'black', 'brought', 'parent', 'early', 'french', 'state', 'population', 'slave', 'old', 'africa', 'island', 'naturalized', 'element', 'contradictory', 'often', 'north', 'context', 'social', 'either', 'style', 'europe', 'tradition', 'créole', 'culture', 'criollo', 'indie', 'latin', 'family', 'directly', 'may', 'different', 'caribbean', 'territory', 'african', 'european', 'predominantly', 'extraction', 'general', 'descendant', 'patois', 'modern', 'term', 'spain', 'resident', 'specifically', 'south', 'refer', 'aboriginal', 'asian', 'produced', 'usually', 'sixteenth', 'settler', 'locally', 'white', 'used', 'form', 'mulatto', 'creole', 'eighteenth', 'pure', 'descended', 'distinguished', 'west', 'born', 'usage', 'refers', 'arrived', 'descent', 'region', 'spanish', 'american', 'speaking']",0.9407373239318682,0.8631052917286969,0.9485014073024628
4592,aboriginal,300404576.0,"['primary', 'contrasted', 'culture', 'aboriginal', 'colonist', 'produced', 'existed', 'oceania', 'america', 'work', 'area', 'european', 'usage', 'refers', 'pre', 'colonialism', 'art', 'descendant', 'inhabitant', 'cultural', 'indigenous', 'term', 'africa', 'original']",0.9182435154433991,0.8551326824839219,0.9246879128776054
4562,aboriginal,300017596.0,"['often', 'material', 'people', 'bella', 'culture', 'recent', 'refer', 'aboriginal', 'scholarship', 'language', 'therein', 'self', 'based', 'work', 'indian', 'preferred', 'group', 'common', 'general', 'columbia', 'determination', 'heiltsuk', 'dating', 'bellabella', 'used', 'british', 'term', 'us', 'describe', 'sub', 'note', 'inhabit', 'erroneously', 'village', 'specifically', 'speaking']",0.8922452683620615,0.8516137176461411,0.9069025256838436
4565,aboriginal,300435249.0,"['including', 'people', 'style', 'culture', 'aboriginal', 'heritage', 'ethnicity', 'designation', 'black', 'african', 'saharan', 'group', 'general', 'descent', 'race', 'place', 'skinned', 'australian', 'africa', 'dark', 'sub', 'outside', 'member', 'origin']",0.9007899086096308,0.8437267545918615,0.908469510185762
4575,aboriginal,300264779.0,"['element', 'people', 'informal', 'recognized', 'sand', 'style', 'warlpiri', 'drawing', 'well', 'ancestral', 'storytelling', 'describes', 'culture', 'aboriginal', 'central', 'australia']",0.8781196164240272,0.8369361807561883,0.8900638630747684
4586,aboriginal,300312155.0,"['including', 'people', 'negrito', 'skin', 'style', 'generally', 'agta', 'culture', 'aboriginal', 'considered', 'baluga', 'others', 'referring', 'obsolete', 'numerous', 'small', 'inhabitant', 'negrillo', 'stature', 'aeta', 'term', 'ita', 'island', 'dark', 'collectively', 'philippine']",0.8852690058480995,0.8359169606987328,0.8974033076152534
4571,aboriginal,300435341.0,"['lanka', 'southeast', 'people', 'district', 'veddah', 'longer', 'sri', 'culture', 'allied', 'aboriginal', 'sinhala', 'century', 'language', 'ethnicity', 'ethnically', 'india', 'early', 'southern', 'speak', 'population', 'vedda', 'adopted', 'asia', 'indigenous', 'jungle', 'inhabiting', 'prior', 'bce', 'forest']",0.9157644565283442,0.8333193107689838,0.9188256806392684
4549,aboriginal,300387325.0,"['people', 'also', 'apply', 'reserve', 'may', 'particularly', 'area', 'inhabited', 'aboriginal', 'indigenous', 'used', 'australia', 'primarily', 'term']",0.8647531541756527,0.8322683175486372,0.8778882296747568
4593,aboriginal,300264789.0,"['toas', 'made', 'function', 'request', 'south', 'sculpture', 'culture', 'could', 'aboriginal', 'wood', 'killalpaninna', 'indicate', 'produced', 'signpost', 'believed', 'particular', 'diyari', 'site', 'found', 'european', 'ground', 'group', 'interested', 'carved', 'state', 'production', 'placed', 'direction', 'form', 'australian', 'ochre', 'lutheran', 'traditional', 'constructed', 'inhabited', 'tribal', 'named', 'mission', 'innovative', 'marker', 'gypsum']",0.9025283005936799,0.8285300758025461,0.91058758866056
4567,aboriginal,300264815.0,"['painting', 'decreased', 'sheet', 'also', 'bark', 'culture', 'aboriginal', 'elaborately', 'ceremonial', 'throughout', 'found', 'european', 'colonization', 'art', 'native', 'describes', 'utilized', 'production', 'practice', 'australian', 'everyday', 'painted', 'purpose']",0.8703029374195432,0.8266202803424954,0.8808733421742618
