,term,hit_id,bow,cs_rm,cs_wm,cs_rm_wm
88158,aboriginal,Q4668330,"['aboriginal', 'variety', 'nation', 'people', 'english', 'indigenous', 'canadian', 'canada', 'used', 'first', 'dialect']",0.8830907015457662,0.8836169928906501,0.8968897981896735
88885,aboriginal,Q7721134,"['association', 'aboriginal', 'crown', 'people', 'native', 'canadian', 'canada']",0.8725888574567925,0.8737399110281382,0.8859205292193565
87408,aboriginal,Q113211688,"['aboriginal', 'system', 'strait', 'people', 'islander', 'indigenous', 'australian', 'torres', 'traditional', 'knowledge']",0.8964844710880481,0.8659510053441937,0.907078614624673
87651,aboriginal,Q3699302,"['culture', 'aboriginal', 'australia', 'indigenous', 'australian', 'heritage']",0.8416588636202049,0.8590557178780512,0.8499218363705286
88848,aboriginal,Q6922014,"['aboriginal', 'mission', 'margaret', 'western', 'australia', 'community', 'mount', 'indigenous', 'australian']",0.8780274525347808,0.8579099844821699,0.8850721704670539
87449,aboriginal,Q1493806,"['grouping', 'existed', 'colonisation', 'aboriginal', 'group', 'australia', 'people', 'ethnic', 'indigenous', 'australian', 'british', 'aborigine']",0.9056143276831627,0.8556507238649281,0.9084829295301088
87987,aboriginal,Q115959477,"['history', 'culture', 'aboriginal', 'system', 'language', 'strait', 'people', 'islander', 'indigenous', 'australian', 'torres', 'traditional', 'knowledge']",0.904629509928088,0.8533993295181675,0.9134379840225276
88985,aboriginal,Q106809106,"['aboriginal', 'disability', 'society', 'indigenous', 'columbia', 'british', 'organization', 'charity', 'canada', 'network']",0.8561527839768021,0.8526380471567809,0.8700904871642166
88416,aboriginal,Q85739476,"['aboriginal', 'reserve', 'place', 'people', 'indigenous', 'australian', 'relating', 'historic']",0.914109272343752,0.8475297815916388,0.9182527594795932
87405,aboriginal,Q112729549,"['defined', 'aboriginal', 'territorial', 'statistical', 'iloc', 'strait', 'australia', 'bureau', 'community', 'islander', 'statistic', 'entity', 'indigenous', 'torres', 'australian', 'census', 'location']",0.9087012226993256,0.8473405919477021,0.9157724496402762
87332,aboriginals,Q170355,"['aboriginal', 'inhabitant', 'strait', 'group', 'consisting', 'people', 'type', 'islander', 'ethnic', 'indigenous', 'australian', 'population', 'torres', 'native', 'continent', 'island', 'aborigine', 'human']",0.9203299119533012,0.8322869574658598,0.9218455596059396
87335,aboriginals,Q376608,"['history', 'aboriginal', 'religion', 'people', 'australia', 'indigenous', 'australian', 'traditional', 'mythology', 'ritual']",0.8599640665439445,0.8281530757695811,0.8653410858138613
