,term,hit_id,bow,cs_rm,cs_wm,cs_rm_wm
28614,aboriginal,Q170355,"['bevolking', 'austraalnegers', 'inwoner', 'australiër', 'inheems', 'australiden', 'aborigines', 'aboriginal', 'australië']",0.6734019121444346,0.7654430725062178,0.7117602703950047
28617,aboriginal,Q254387,"['maleis', 'subgroep', 'negrito', 'officieel', 'doeleinde', 'indelen', 'asli', 'inheems', 'etnisch', 'maleisië', 'senoi', 'verzamelnaam', 'orang', 'aboriginal', 'schiereiland', 'minderheid', 'administratief']",0.7929325705975032,0.7617660979989578,0.8137668647043381
28628,aboriginal,Q1476490,"['kunst', 'religie', 'regenboogslang', 'aboriginal', 'scheppergod', 'australië', 'motief']",0.7278489824984093,0.6987101162101582,0.7486379577445081
28616,aboriginal,Q2479183,"['construeren', 'syllabics', 'kapitaal', 'canadian', 'schrift', 'abugida', 'alfabet', 'aboriginal']",0.7127155415810053,0.6578464808963929,0.7285556328194954
28644,aboriginal,Q100341850,"['kunst', 'tentoonstelling', 'aboriginal', 'tijdelijk']",0.7541222186449904,0.5911608702865029,0.7412439797680294
28657,aboriginal,Q16873160,"['politiek', 'organisatie', 'national', 'aboriginal', 'conference']",0.6115424947820016,0.5828852365825846,0.6325001413667739
28649,aboriginal,Q5375657,"['australia', 'boeken', 'werk', 'encyclopaedia', 'aboriginal', 'literair']",0.6434296999391325,0.5708793951147179,0.6521225573323136
28640,aboriginal,Q781314,"['progressive', 'organisatie', 'association', 'aboriginal', 'australian', 'australië']",0.6024880156556207,0.5687958152448299,0.6125836349854858
28641,aboriginal,Q87669870,"['corporation', 'organisatie', 'arts', 'bula', 'aboriginal', 'australië']",0.5615853117835219,0.5408823969771613,0.5798644460718702
28655,aboriginal,Q1125875,"['congress', 'organisatie', 'canada', 'aboriginal', 'peoples']",0.4932480034723195,0.520610855157562,0.5192733936266767
28607,aboriginals,Q216839,"['taiwanese', 'bevolking', 'taiwan', 'groep', 'inheems', 'etnisch', 'mens', 'aboriginal', 'isoleren', 'volk']",0.7684173916848682,0.8375121833257991,0.8209594171974672
28606,aboriginals,Q170355,"['bevolking', 'austraalnegers', 'inwoner', 'australiër', 'inheems', 'australiden', 'aborigines', 'aboriginal', 'australië']",0.6734019121444346,0.7654430725062178,0.7117602703950047
