,term,hit_id
0,aboriginal,300264779.0
1,aboriginal,300264815.0
2,aboriginal,300312155.0
3,aboriginal,300017596.0
4,aboriginal,300387325.0
5,berber,300264583.0
6,berber,300114633.0
7,berber,300021550.0
8,berber,300265332.0
9,berber,300264436.0
10,berber,300443574.0
11,berber,300263734.0
12,berber,300021528.0
13,berber,300266586.0
14,black,300015878.0
15,black,300015881.0
16,black,300018125.0
17,black,300082545.0
18,black,300262962.0
19,black,300386963.0
20,black,300311322.0
21,burma,300120165.0
22,colored,300136737.0
23,colored,300206370.0
24,colored,300028517.0
25,colored,300107622.0
26,colored,300041515.0
27,colored,300310389.0
28,colored,300011162.0
29,colored,300128349.0
30,descent,300429105.0
31,disabled,300250130.0
32,disabled,300038191.0
33,dwarf,300197021.0
34,eskimo,300102585.0
35,eskimo,300102572.0
36,eskimo,300102454.0
37,eskimo,300134111.0
38,ethnic group,300262752.0
39,ethnic group,300262946.0
40,ethnic group,300262739.0
41,ethnic group,300386534.0
42,ethnic groups,300404360.0
43,ethnic groups,300260665.0
44,ethnic groups,300193868.0
45,exotic,300056557.0
46,exotic,300055783.0
47,homo,300310320.0
48,homo,300019260.0
49,immigrants,300005505.0
50,indian,300017740.0
51,indian,300264541.0
52,indian,300438518.0
53,indians,300387114.0
54,indians,300017740.0
55,indians,300017557.0
56,indians,300017559.0
57,indians,300017530.0
58,indians,300055999.0
59,indigenous,300019040.0
60,indigenous,300107847.0
61,indigenous,300435506.0
62,indigenous,300438843.0
63,indigenous,300438780.0
64,indo,300107847.0
65,indo,300380043.0
66,indo,300386028.0
67,indo,300020502.0
68,indo,300387870.0
69,inuit,300438490.0
70,native,300411977.0
71,native,300026026.0
72,native,300249545.0
73,native,300343731.0
74,native,300443479.0
75,native,300250588.0
76,oriental,300385932.0
77,oriental,300015895.0
78,page,300435441.0
79,page,300250810.0
80,page,300417548.0
81,page,300400774.0
82,pages,300386053.0
83,pages,300195174.0
84,pages,300400774.0
85,pages,300449001.0
86,pages,300211708.0
87,pages,300311551.0
88,primitive,300263122.0
89,pygmy,300310577.0
90,pygmy,300310421.0
91,pygmy,300310422.0
92,race,300055303.0
93,races,300008171.0
94,roots,300265631.0
95,roots,300375586.0
96,roots,300013093.0
97,roots,300400467.0
98,roots,300055668.0
99,roots,300263797.0
100,roots,300132378.0
101,roots,300055963.0
102,roots,300386143.0
103,servants,300427795.0
104,servants,300152044.0
105,slaves,300263222.0
106,slaves,300379150.0
107,traditional,300021024.0
108,traditional,300264736.0
109,traditional,300417408.0
110,traditional,300417401.0
111,traditional,300417421.0
112,traditional,300266319.0
113,traditional,300019001.0
114,tribe,300438560.0
115,tribe,300438760.0
116,tribe,300438767.0
117,tribe,300438771.0
118,tribe,300438548.0
119,tribe,300438518.0
120,tribes,300018882.0
121,tribes,300020643.0
122,tribes,300385989.0
123,tribes,300438770.0
124,tribes,300438548.0
125,tribes,300438773.0
126,tribes,300211323.0
127,tribes,300196541.0
128,western,300417408.0
129,western,300264898.0
130,western,300018372.0
131,western,300106854.0
132,western,300404070.0
133,western,300262022.0
134,western,300148071.0
135,western,300417418.0
136,western,300019341.0
137,western,300019026.0
138,white,300438469.0
139,white,300386795.0
140,white,300107499.0
141,white,300021262.0
142,white,300417394.0
143,white,300018420.0
144,white,300198715.0
145,white,300136735.0
