,term,hit_id
0,aboriginals,300037220.0
1,aboriginals,300393252.0
2,afkomst,300263269.0
3,afkomst,300410438.0
4,afkomst,300386397.0
5,afkomst,300375129.0
6,afkomst,300021853.0
7,bediend,300078091.0
8,bediend,300257611.0
9,bediend,300053643.0
10,bediend,300236438.0
11,bediend,300033402.0
12,bediend,300078300.0
13,bediende,300404081.0
14,bediende,300391325.0
15,bedienden,300038788.0
16,bedienden,300038723.0
17,bedienden,300375268.0
18,bedienden,300019143.0
19,birma,300019094.0
20,blanke,300037048.0
21,blanke,300204516.0
22,blanke,300020181.0
23,blanke,300037055.0
24,etniciteit,300400804.0
25,etnische groep,300386437.0
26,etnische groep,300404071.0
27,etnische groep,300262764.0
28,etnische groep,300265392.0
29,etnische groep,300262687.0
30,gekleurd,300375711.0
31,gekleurd,300310650.0
32,gekleurd,300264818.0
33,gekleurd,300380559.0
34,gekleurde,300263714.0
35,gekleurde,300265737.0
36,gekleurde,300114441.0
37,gekleurde,300019247.0
38,gekleurde,300378932.0
39,gekleurde,300265241.0
40,gekleurde,300310650.0
41,gekleurde,300128349.0
42,indianen,300016804.0
43,indianen,300386600.0
44,indianen,300265493.0
45,indianen,300380374.0
46,indianen,300017559.0
47,indo,300386787.0
48,indo,300386821.0
49,indo,300019487.0
50,inheems,300375202.0
51,inheems,300375468.0
52,inheems,300343886.0
53,inheems,300343887.0
54,inheems,300375570.0
55,inheems,300375578.0
56,inheems,300374871.0
57,inheems,300375610.0
58,inheems,300375230.0
59,inheemse,300019040.0
60,inheemse,300264544.0
61,inheemse,300380421.0
62,inheemse,300018086.0
63,inheemse,300410732.0
64,inheemse,300056460.0
65,inheemse,300264080.0
66,inheemse,300056500.0
67,inheemse,300343703.0
68,primitieve,300264828.0
69,primitieve,300263122.0
70,primitieve,300056460.0
71,slaven,300006463.0
72,stam,300395492.0
73,stam,300386132.0
74,stam,300265493.0
75,stam,300017559.0
76,stam,300312156.0
77,stam,300019549.0
78,stammen,300016804.0
79,stammen,300017641.0
80,stammen,300386028.0
81,stammen,300020502.0
82,stammen,300379478.0
83,stammen,300196541.0
84,traditioneel,300117125.0
85,traditioneel,300404070.0
86,traditioneel,300114633.0
87,traditioneel,300114605.0
88,traditioneel,300379985.0
89,traditioneel,300379478.0
90,traditioneel,300019291.0
91,traditioneel,300264063.0
92,traditionele,300021024.0
93,traditionele,300264737.0
94,traditionele,300022208.0
95,traditionele,300056485.0
96,traditionele,300055829.0
97,traditionele,300193270.0
98,traditionele,300106840.0
99,traditionele,300021502.0
100,traditionele,300021503.0
101,westers,300404752.0
102,westerse,300113571.0
103,westerse,300056548.0
104,westerse,300022034.0
105,westerse,300055991.0
106,westerse,300108127.0
107,wit,300018436.0
108,wit,300018438.0
109,wit,300135014.0
110,wit,300312263.0
111,wit,300107241.0
112,wit,300019247.0
113,wit,300021170.0
114,wit,300018420.0
115,wit,300018459.0
116,witte,300021924.0
117,witte,300018405.0
118,witte,300021925.0
119,witte,300380491.0
120,witte,300014444.0
121,witte,300387166.0
122,witte,300021170.0
123,witte,300020119.0
124,witte,300018999.0
125,witte,300264958.0
126,zwart,300121408.0
127,zwart,300021924.0
128,zwart,300012010.0
129,zwart,300107499.0
130,zwart,300020204.0
131,zwart,300386446.0
132,zwart,300265014.0
133,zwart,300379286.0
134,zwarte,300128355.0
135,zwarte,300021892.0
136,zwarte,300264634.0
137,zwarte,300386446.0
138,zwarte,300053490.0
139,zwarte,300265014.0
140,zwarte,300264951.0
141,zwarte,300395514.0
142,zwarte,300107357.0
