,term,hit_id
0,bediende,eng-30-10763383-n
1,blanke,eng-30-15110454-n
2,ontdekken,odwn-10-102768591-n
3,ontdekken,eng-30-00410247-n
4,stam,eng-30-08102555-n
5,stam,stamlid-n-1
6,traditionele,odwn-10-105566088-n
7,traditionele,odwn-10-104962313-n
8,traditionele,eng-30-02350175-v
9,wit,eng-30-04580298-n
10,wit,odwn-10-109011976-v
11,wit,ir.-n-1
12,wit,eng-30-02852173-n
13,witte,odwn-10-106085430-n
14,witte,eng-30-00753685-n
15,witte,eng-30-04580298-n
16,witte,eng-30-00835032-n
17,witte,eng-30-03178782-n
18,witte,odwn-10-106957955-n
19,zwart,odwn-10-109011976-v
20,zwart,odwn-10-102616506-v
21,zwart,eng-30-04752221-n
22,zwart,eng-30-13384557-n
23,zwart,eng-30-00824767-v
24,zwarte,eng-30-02391994-n
25,zwarte,odwn-10-102896373-n
26,zwarte,eng-30-12770736-n
27,zwarte,eng-30-13854649-n
28,zwarte,eng-30-01091905-n
29,zwarte,odwn-10-103828516-v
30,zwarte,garderobe-n-1
31,zwarte,eng-30-03178782-n
