,term,hit_id
0,black,nation_of_islam.n.01
1,black,slave_trade.n.01
2,black,euarctos.n.01
3,black,whitelash.n.01
4,black,whydah.n.01
5,burma,theravada.n.01
6,burma,lolo-burmese.n.01
7,burma,burmese.n.02
8,colored,charolais.n.01
9,colored,color.v.01
10,colored,fluorescent.s.02
11,colored,motley.s.02
12,colored,orthoclase.n.01
13,colored,straw.s.01
14,descent,laser-guided_bomb.n.01
15,descent,sinking.n.01
16,descent,descent.n.03
17,descent,polack.n.01
18,discover,analyze.v.01
19,discover,co-discoverer.n.01
20,discover,search_mission.n.01
21,discover,data_mining.n.01
22,discover,scout.n.03
23,dwarf,genus_krigia.n.01
24,dwarf,dutch_elm.n.01
25,ethnic group,bengali.n.02
26,gay,make_no_bones_about.v.01
27,homo,upper_paleolithic.n.01
28,homosexual,straight.s.10
29,homosexual,homoerotic.s.01
30,immigrants,house.v.02
31,immigrants,varied.a.01
32,immigrants,ellis_island.n.01
33,immigrants,affinity.n.04
34,indian,metis.n.01
35,indians,rasmussen.n.01
36,indians,left-handed.s.02
37,indigenous,naturalization.n.03
38,indigenous,shinto.n.02
39,indo,celtic.n.01
40,indo,indo-european.a.02
41,indo,latvian.n.02
42,indo,lithuanian.n.02
43,maroon,turk's-cap.n.01
44,native,anglo-saxon.n.02
45,native,standard.a.04
46,native,grammatical.a.02
47,native,non-standard_speech.n.01
48,native,shamanism.n.01
49,native,native.s.04
50,native,hinduism.n.02
51,native,european_rabbit.n.01
52,natives,subhuman.a.01
53,oriental,display.n.02
54,page,strengthener.n.01
55,page,index.n.04
56,page,circular.n.01
57,page,column.n.08
58,pages,web_site.n.01
59,pages,pagination.n.01
60,pages,chase.n.03
61,pages,microfiche.n.01
62,primitive,id.n.03
63,primitive,missionary_position.n.01
64,primitive,ordeal.n.02
65,primitive,ictodosaur.n.01
66,race,segregate.v.01
67,race,racially.r.01
68,races,race_problem.n.01
69,roots,rooting.n.01
70,roots,phrenic_nerve.n.01
71,roots,home.a.02
72,roots,bryophyta.n.01
73,roots,root.v.02
74,roots,cervical_disc_syndrome.n.01
75,roots,bifurcate.s.01
76,roots,grass_roots.n.01
77,servant,send_in.v.02
78,servant,reduce.v.05
79,servants,service_door.n.01
80,slave,freeman.n.01
81,slave,slavelike.s.01
82,slave,turner.n.01
83,slaves,taney.n.01
84,traditional,conventional.s.06
85,traditional,traditionalist.n.01
86,traditional,atonal.a.01
87,tribe,ritual.a.02
88,tribe,absorb.v.02
89,tribe,detribalize.v.01
90,tribe,migrate.v.01
91,tribes,geophagy.n.01
92,tribes,barbarian.s.01
93,tribes,dissimilate.v.03
94,tribes,co-opt.v.02
95,western,organization_of_american_states.n.01
96,western,western_australia.n.01
97,western,cover.v.05
98,western,uninitiate.s.01
99,western,westernization.n.01
100,western,rank.v.01
101,white,dignified.a.01
102,white,brightness.n.01
103,white,anglo-saxon.n.02
104,white,wasp.n.01
105,white,black.n.01
106,white,ingeniously.r.01
107,whites,black_hills.n.01
