,term,hit_id
0,aboriginal,Q87669870
1,aboriginal,Q1125875
2,afkomst,Q853467
3,afkomst,Q16832609
4,afkomst,Q503701
5,afkomst,Q2606784
6,afkomst,Q2623685
7,afkomst,Q28861495
8,afkomst,Q2915008
9,batavia,Q71859469
10,batavia,Q112731023
11,batavia,Q4868674
12,batavia,Q95690836
13,batavia,Q106494090
14,batavia,Q1135383
15,batavia,Q18149011
16,bediende,Q85417384
17,bediende,Q64512607
18,bediende,Q114709691
19,bediende,Q111696059
20,bediende,Q21728204
21,bediende,Q106617191
22,bediende,Q17319920
23,bediende,Q61992245
24,bediende,Q114709692
25,bediende,Q114720632
26,bedienden,Q29866358
27,bedienden,Q114455080
28,bedienden,Q104529380
29,berber,Q23820411
30,berber,Q60238020
31,birma,Q4787149
32,birma,Q2202371
33,birma,Q777074
34,birma,Q2320667
35,birma,Q7100729
36,birma,Q2275691
37,birma,Q11718
38,birma,Q2522210
39,blank,Q109293921
40,blank,Q55354700
41,blank,Q107471838
42,blank,Q283976
43,blanken,Q17374742
44,bombay,Q5226775
45,bombay,Q235884
46,bombay,Q891829
47,bombay,Q3259129
48,bombay,Q17448423
49,bombay,Q1334920
50,bombay,Q5535200
51,calcutta,Q7553252
52,calcutta,Q178751
53,calcutta,Q6404679
54,calcutta,Q5018907
55,calcutta,Q7144868
56,calcutta,Q5018915
57,calcutta,Q1120959
58,calcutta,Q6150862
59,dwerg,Q101600
60,dwerg,Q214045
61,dwergen,Q2755014
62,eskimo,Q67201518
63,etniciteit,Q110904399
64,etnische groep,Q179671
65,etnische groep,Q1261777
66,etnische groep,Q60741209
67,etnische groep,Q3003133
68,exotisch,Q114718881
69,exotisch,Q114718860
70,exotisch,Q3912863
71,exotisch,Q844144
72,exotisch,Q1065449
73,exotisch,Q1068126
74,exotisch,Q1904455
75,exotische,Q1836236
76,exotische,Q21716445
77,exotische,Q2436606
78,exotische,Q2682400
79,exotische,Q2261087
80,exotische,Q98968213
81,gay,Q134371
82,gaye,Q14628473
83,gaye,Q3271783
84,gaye,Q1221105
85,gehandicapten,Q47486184
86,gehandicapten,Q2701029
87,gekleurde,Q55349970
88,gekleurde,Q1064433
89,handicap,Q55350418
90,homo,Q26936735
91,homo,Q303593
92,homo,Q179234
93,homo,Q270141
94,homoseksualiteit,Q33487
95,homoseksualiteit,Q1280134
96,homoseksualiteit,Q718858
97,indiaan,Q94393944
98,indiaan,Q89477753
99,indiaan,Q94344359
100,indiaan,Q78134047
101,indiaan,Q109379374
102,indiaan,Q94723081
103,indiaan,Q94344134
104,indiaan,Q94344444
105,indiaan,Q18347124
106,indiaan,Q94344124
107,indianen,Q100342034
108,indianen,Q100340723
109,indisch,Q269145
110,indisch,Q513839
111,indisch,Q6569456
112,indisch,Q9089
113,indische,Q2116909
114,indische,Q100342394
115,indische,Q55369680
116,indische,Q99763627
117,indische,Q98496136
118,indische,Q55352200
119,indische,Q129864
120,indo,Q185682
121,indo,Q1661685
122,indo,Q146715
123,inheems,Q106713
124,inheems,Q48199
125,inheems,Q100342147
126,inheems,Q106904381
127,inheems,Q114463515
128,inheems,Q169480
129,inheemse,Q97180954
130,inheemse,Q6522465
131,inheemse,Q1711697
132,inheemse,Q492901
133,inheemse,Q735035
134,inheemse,Q5914051
135,inheemse,Q1758236
136,inheemse,Q105999586
137,inheemse,Q9089
138,inheemse,Q1921707
139,jap,Q2643970
140,jap,Q2653669
141,jap,Q2251069
142,jap,Q3283057
143,jap,Q2970399
144,jap,Q1930438
145,jap,Q2869670
146,kaukasisch,Q266278
147,kaukasisch,Q33852
148,knecht,Q61743222
149,knecht,Q47534070
150,knecht,Q110451969
151,knecht,Q103842797
152,knecht,Q64504183
153,knecht,Q17324118
154,knecht,Q22236396
155,madras,Q5256034
156,madras,Q62096406
157,madras,Q6907355
158,madras,Q6728478
159,madras,Q4738371
160,madras,Q12496012
161,madras,Q7292642
162,marron,Q26226353
163,marrons,Q2129967
164,metis,Q298607
165,mongools,Q1195193
166,mongools,Q30583750
167,mongools,Q309585
168,moor,Q109714508
169,moor,Q106285467
170,moor,Q909271
