flag,flag_count
http://vocab.getty.edu/term/kind/Abbreviation,414
http://vocab.getty.edu/term/kind/CommonTerm,2527
http://vocab.getty.edu/term/kind/ChemicalName,9
http://vocab.getty.edu/term/kind/FullTerm,40
http://vocab.getty.edu/term/kind/JargonOrSlang,75
http://vocab.getty.edu/term/kind/Neologism,7
http://vocab.getty.edu/term/kind/ScientificOrTechnical,4497
http://vocab.getty.edu/term/kind/Code,360
http://vocab.getty.edu/term/kind/Formula,15
http://vocab.getty.edu/term/kind/Symbol,54
http://vocab.getty.edu/term/kind/OfficialTerm,3
http://vocab.getty.edu/term/kind/ProvisionalTerm,4
http://vocab.getty.edu/term/kind/FIPSCode,4764
http://vocab.getty.edu/term/kind/ISOalpha2,240
http://vocab.getty.edu/term/kind/ISOalpha3,246
http://vocab.getty.edu/term/kind/ISOnumeric3,240
http://vocab.getty.edu/term/kind/OfficialName,898222
http://vocab.getty.edu/term/kind/Pseudonym,675
http://vocab.getty.edu/term/kind/ProvisionalName,7
http://vocab.getty.edu/term/kind/SiteName,364
http://vocab.getty.edu/term/kind/USPSCode,50
http://vocab.getty.edu/term/kind/BirthName,660
http://vocab.getty.edu/term/kind/CommonName,106
http://vocab.getty.edu/term/kind/FullName,97
http://vocab.getty.edu/term/kind/Signature,20
http://vocab.getty.edu/term/kind/Misspelling,48
http://vocab.getty.edu/term/kind/Standard,1
http://vocab.getty.edu/term/kind/Pejorative,5
http://vocab.getty.edu/term/kind/AvoidUse,9
http://vocab.getty.edu/term/kind/Deprecated,9
