resource,lang,lemma,entity_id,explicit_marker,value,level
pwn,en,black,kaffir.n.02,usage_domain,['disparagement.n.01'],3
pwn,en,black,mammy.n.01,usage_domain,['disparagement.n.01'],1
pwn,en,black,pickaninny.n.01,usage_domain,"['disparagement.n.01', 'ethnic_slur.n.01']",1
pwn,en,caucasian,half-breed.n.01,usage_domain,['disparagement.n.01'],3
pwn,en,coolie,coolie.n.01,usage_domain,"['disparagement.n.01', 'ethnic_slur.n.01']",3
pwn,en,descent,chink.n.01,usage_domain,"['disparagement.n.01', 'ethnic_slur.n.01', 'slang.n.02']",1
pwn,en,descent,greaser.n.01,usage_domain,"['disparagement.n.01', 'ethnic_slur.n.01']",1
pwn,en,descent,jap.n.01,usage_domain,"['disparagement.n.01', 'slang.n.02']",1
pwn,en,descent,kraut.n.01,usage_domain,"['disparagement.n.01', 'slang.n.02']",1
pwn,en,descent,paddy.n.01,usage_domain,"['disparagement.n.01', 'ethnic_slur.n.01']",1
pwn,en,descent,spic.n.01,usage_domain,"['disparagement.n.01', 'ethnic_slur.n.01', 'slang.n.02']",1
pwn,en,descent,wop.n.01,usage_domain,"['disparagement.n.01', 'ethnic_slur.n.01', 'slang.n.02']",1
pwn,en,half-breed,half-breed.n.01,usage_domain,['disparagement.n.01'],3
pwn,en,headhunter,headhunter.n.01,usage_domain,['colloquialism.n.01'],1
pwn,en,homosexual,butch.s.02,usage_domain,['slang.n.02'],2
pwn,en,homosexual,fagot.n.01,usage_domain,['disparagement.n.01'],3
pwn,en,homosexual,straight.s.10,usage_domain,['colloquialism.n.01'],1
pwn,en,indian,half-breed.n.01,usage_domain,['disparagement.n.01'],3
pwn,en,kaffir,kaffir.n.02,usage_domain,['disparagement.n.01'],3
pwn,en,lilliputian,fiddling.s.01,usage_domain,['colloquialism.n.01'],2
pwn,en,mongoloid,mongoloid.a.03,usage_domain,['disparagement.n.01'],3
pwn,en,mongoloid,mongoloid.n.02,usage_domain,['disparagement.n.01'],3
pwn,en,native,redskin.n.01,usage_domain,"['disparagement.n.01', 'slang.n.02']",1
pwn,en,queer,fagot.n.01,usage_domain,['disparagement.n.01'],3
pwn,en,queer,fishy.s.02,usage_domain,['colloquialism.n.01'],2
pwn,en,race,burnup.n.01,usage_domain,['slang.n.02'],1
pwn,en,race,pumped-up.s.01,usage_domain,['colloquialism.n.01'],1
