,resource,lang,lemma,entity_id,explicit_marker,value,level
0,odwn,nl,exotisch,odwn-10-108298613-n,pragmatics_chronology,['oldfashioned'],1
1,odwn,nl,lilliputter,eng-30-10040344-n,pragmatics_connotation,['pejorative'],3
2,odwn,nl,homo,eng-30-10254965-n,pragmatics_connotation,['pejorative'],2
3,odwn,nl,homo,eng-30-10076033-n,pragmatics_connotation,"['pejorative', 'offensive']",2
4,odwn,nl,mongool,eng-30-10197525-n,pragmatics_connotation,"['pejorative', 'offensive']",3
5,odwn,nl,jap,odwn-10-103201483-n,pragmatics_connotation,['offensive'],3
6,odwn,nl,westers,eng-30-10386312-n,pragmatics_connotation,['pejorative'],1
7,odwn,nl,homoseksualiteit,eng-30-00856847-n,pragmatics_connotation,['pejorative'],3
8,odwn,nl,neger,eng-30-06201908-n,pragmatics_connotation,['pejorative'],2
9,odwn,nl,neger,eng-30-09638009-n,pragmatics_chronology,['oldfashioned'],3
10,odwn,nl,neger,eng-30-09638009-n,pragmatics_connotation,['offensive'],3
11,odwn,nl,afkomst,eng-30-07970721-n,pragmatics_chronology,['oldfashioned'],2
12,odwn,nl,blank,eng-30-05600637-n,pragmatics_chronology,['oldfashioned'],1
13,odwn,nl,blank,eng-30-05600637-n,pragmatics_connotation,['pejorative'],1
14,odwn,nl,knecht,eng-30-09815790-n,pragmatics_chronology,['oldfashioned'],3
15,odwn,nl,knecht,eng-30-09815790-n,pragmatics_connotation,['pejorative'],3
16,odwn,nl,jappenkamp,r_n-38586,pragmatics_connotation,['euphemistic'],2
17,odwn,nl,homoseksueel,eng-30-10076033-n,pragmatics_connotation,"['pejorative', 'offensive']",2
18,odwn,nl,stam,eng-30-07970721-n,pragmatics_chronology,['oldfashioned'],2
19,odwn,nl,zwart,eng-30-09638009-n,pragmatics_chronology,['oldfashioned'],3
20,odwn,nl,zwart,eng-30-09638009-n,pragmatics_connotation,['offensive'],3
21,odwn,nl,zwart,eng-30-09859038-n,pragmatics_connotation,['pejorative'],2
22,odwn,nl,zwart,odwn-10-103179400-n,pragmatics_connotation,['pejorative'],1
23,odwn,nl,zwart,eng-30-08549292-n,pragmatics_connotation,['pejorative'],1
24,odwn,nl,zwart,eng-30-01091905-n,pragmatics_chronology,['oldfashioned'],1
25,odwn,nl,traditioneel,r_n-41933,pragmatics_connotation,['pejorative'],1
26,odwn,nl,primitief,eng-30-10553402-n,pragmatics_connotation,['offensive'],3
27,odwn,nl,dwerg,eng-30-10040344-n,pragmatics_connotation,['pejorative'],3
28,odwn,nl,indisch,eng-30-02503517-n,pragmatics_connotation,['jocular'],2
29,odwn,nl,achterlijk,eng-30-10100761-n,pragmatics_connotation,"['pejorative', 'offensive']",1
30,odwn,nl,ras,odwn-10-105393011-n,pragmatics_connotation,['offensive'],1
31,odwn,nl,barbaar,eng-30-10553402-n,pragmatics_connotation,['offensive'],3
32,odwn,nl,barbaar,eng-30-00386390-v,pragmatics_chronology,['oldfashioned'],2
33,odwn,nl,barbaar,eng-30-10410815-n,pragmatics_chronology,['oldfashioned'],3
34,odwn,nl,barbaar,eng-30-10410815-n,pragmatics_connotation,"['pejorative', 'offensive']",3
35,odwn,nl,barbaar,eng-30-09879297-n,pragmatics_connotation,['pejorative'],3
36,odwn,nl,mohammedaan,odwn-10-107075238-n,pragmatics_chronology,['oldfashioned'],2
37,odwn,nl,moor,odwn-10-102610292-n,pragmatics_chronology,['oldfashioned'],3
38,odwn,nl,moor,eng-30-09638009-n,pragmatics_chronology,['oldfashioned'],3
39,odwn,nl,moor,eng-30-09638009-n,pragmatics_connotation,['offensive'],3
40,odwn,nl,gehandicapte,eng-30-05139094-n,pragmatics_chronology,['oldfashioned'],2
41,odwn,nl,gehandicapte,eng-30-10197525-n,pragmatics_connotation,"['pejorative', 'offensive']",3
42,odwn,nl,koelie,eng-30-10035809-n,pragmatics_connotation,['pejorative'],3
43,odwn,nl,kaffer,eng-30-10410815-n,pragmatics_chronology,['oldfashioned'],3
44,odwn,nl,kaffer,eng-30-10410815-n,pragmatics_connotation,"['pejorative', 'offensive']",3
45,odwn,nl,kaffer,odwn-10-100082478-n,pragmatics_connotation,['offensive'],3
46,odwn,nl,wit,eng-30-03672521-n,pragmatics_chronology,['oldfashioned'],1
