item,instance_of
http://www.wikidata.org/entity/L37606-S1,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/L7015-S3,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/L164494-S1,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/L1044337,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/L1096222,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q76475,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q171751,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q193607,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q193814,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q212452,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q225098,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q252375,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q253506,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q337914,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q356367,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q423621,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q587231,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q631956,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q641593,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q646022,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q704597,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q716885,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q741775,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q749446,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q838191,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q858215,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q898608,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q1066801,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q1067614,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q1135775,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q1138434,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q1141345,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q1192767,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q1340226,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q1382809,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q1455718,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q1497835,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q1499677,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q1503467,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q1508980,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q1631473,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q1688741,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q1752720,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q1790733,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q1797042,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q1937101,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q1942418,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q1964958,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q1974358,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q1975772,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q1988861,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q2165166,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q2281589,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q2415705,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q2460281,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q2660346,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q2916314,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q3000582,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q3050851,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q3052630,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q3054155,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q3066167,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q3175821,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q3190168,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q3195911,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q3293600,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q3365273,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q3433266,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q3543660,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q3613936,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q4117010,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q4308992,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q4375149,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q4481595,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q4666486,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q4783473,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q4889928,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q4960224,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q5089376,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q5101084,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q5255532,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q5365989,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q5616647,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q5762570,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q5764134,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q5913718,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q6009200,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q6192243,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q6206877,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q6301005,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q6630264,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q6785843,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q6957303,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q6983868,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q7581775,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q7737989,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q7749836,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q7813776,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q7832808,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q7845194,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q7877786,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q7972083,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q7984571,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q8017761,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q8025244,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q8190641,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q9340030,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q10494351,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q10495919,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q10516126,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q10527388,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q10605534,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q10883485,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q10893757,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q10969817,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q11078607,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q11263899,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q11317694,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q11327532,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q11502136,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q11657351,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q11883526,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q12034410,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q12154196,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q12173790,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q12208274,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q12315032,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q12340673,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q12478143,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q12618470,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q12619367,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q12646345,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q13198392,http://www.wikidata.org/entity/Q545779
http://www.wikidata.org/entity/Q16692308,http://www.wikidata.org/entity/Q545779
