,lemma,lang,aat_pref,aat_alt,aat_scopeNote,aat_pref_comment,aat_alt_comment,aat_total
0,aboriginal,en,4,11,37,0,0,52
1,allochtoon,en,0,0,0,0,0,0
2,baboo,en,0,0,0,0,0,0
3,barbarian,en,0,4,1,0,0,5
4,batavia,en,1,2,1,0,0,4
5,berber,en,8,7,38,0,0,53
6,black,en,106,284,601,1,0,992
7,bombay,en,1,3,4,0,0,8
8,burma,en,0,2,24,0,0,26
9,bush negro,en,0,0,0,0,0,0
10,calcutta,en,0,0,2,0,0,2
11,caucasian,en,8,10,15,0,0,33
12,colored,en,1,2,313,0,0,316
13,coolie,en,0,0,0,0,0,0
14,descent,en,0,0,40,0,0,40
15,developing nations,en,0,1,0,0,0,1
16,disabled,en,1,7,13,0,0,21
17,discover,en,0,0,7,0,0,7
18,dwarf,en,8,45,14,0,0,67
19,eskimo,en,7,30,10,0,0,47
20,ethnic groups,en,1,3,410,0,0,414
21,ethnicity,en,2,0,32,0,0,34
22,exotic,en,0,2,16,0,0,18
23,first world,en,0,1,10,0,0,11
24,footmen,en,0,0,1,0,0,1
25,full blood,en,0,0,0,0,0,0
26,gay,en,1,7,3,0,0,11
27,gypsy,en,1,8,4,0,0,13
28,half-blood,en,0,0,0,0,0,0
29,half-breed,en,0,0,0,0,0,0
30,handicap,en,0,0,4,0,0,4
31,headhunter,en,0,0,0,0,0,0
32,hermaphrodite,en,1,2,2,0,0,5
33,homo,en,6,2,13,0,0,21
34,homosexual,en,2,7,1,0,0,10
35,hottentot,en,0,1,2,0,0,3
36,immigrant,en,2,5,10,0,0,17
37,indian,en,49,205,424,0,1,679
38,indigenous,en,8,18,253,0,0,279
39,indo,en,9,29,42,0,0,80
40,inuit,en,8,15,11,0,0,34
41,kaffir,en,0,1,0,0,0,1
42,lilliputian,en,0,0,0,0,0,0
43,low-income countries,en,0,0,0,0,0,0
44,madras,en,1,0,5,0,0,6
45,maroon,en,2,1,5,0,0,8
46,medicine man,en,0,1,0,0,0,1
47,mestizo,en,0,1,1,0,0,2
48,mohammedan,en,0,1,0,0,0,1
49,mongoloid,en,0,0,4,0,0,4
50,moor,en,1,4,9,0,0,14
51,mulatto,en,0,0,1,0,0,1
52,métis,en,1,1,6,0,0,8
53,native,en,75,78,1073,3,1,1230
54,negro,en,1,5,0,0,0,6
55,oriental,en,5,23,28,0,1,57
56,page,en,15,37,163,0,0,215
57,primitive,en,3,4,45,0,0,52
58,primitivism,en,1,2,3,0,0,6
59,pygmy,en,3,17,8,0,0,28
60,queer,en,0,1,0,0,0,1
61,race,en,6,28,42,0,0,76
62,retarded,en,1,3,0,0,0,4
63,roots,en,4,2,62,0,0,68
64,second world,en,0,0,12,0,0,12
65,servant,en,6,14,26,0,0,46
66,slave,en,2,19,19,0,0,40
67,southern rhodesia,en,0,0,0,0,0,0
68,third world,en,0,1,2,0,0,3
69,traditional,en,7,14,325,1,0,347
70,trans,en,2,3,2,0,0,7
71,transvestite,en,0,1,1,0,0,2
72,tribe,en,3,16,195,0,2,216
73,western,en,49,125,515,0,0,689
74,white,en,103,312,832,1,1,1249
