,query_term,lang,aat_pref,aat_alt,aat_scopeNote,aat_pref_comment,aat_alt_comment,aat_total
0,batavias,en,0,0,0,0,0,0
1,batavia,en,1,2,1,0,0,4
2,southern rhodesia,en,0,0,0,0,0,0
3,madras,en,1,0,5,0,0,6
4,low-income country,en,0,0,0,0,0,0
5,low-income countries,en,0,0,0,0,0,0
6,headhunters,en,0,0,0,0,0,0
7,headhunter,en,0,0,0,0,0,0
8,immigrants,en,2,1,9,0,0,12
9,immigrant,en,0,4,1,0,0,5
10,barbarians,en,0,0,0,0,0,0
11,barbarian,en,0,4,1,0,0,5
12,moors,en,1,1,5,0,0,7
13,moor,en,0,3,4,0,0,7
14,indians,en,3,47,53,0,0,103
15,indian,en,46,158,371,0,1,576
16,homos,en,0,0,0,0,0,0
17,homo,en,6,2,13,0,0,21
18,exotics,en,0,0,0,0,0,0
19,exotic,en,0,2,16,0,0,18
20,allochtoons,en,0,0,0,0,0,0
21,allochtoon,en,0,0,0,0,0,0
22,medicine men,en,0,1,0,0,0,1
23,medicine man,en,0,0,0,0,0,0
24,third world,en,0,1,2,0,0,3
25,servants,en,6,7,20,0,0,33
26,servant,en,0,7,6,0,0,13
27,hottentots,en,0,0,2,0,0,2
28,hottentot,en,0,1,0,0,0,1
29,gypsies,en,0,0,3,0,0,3
30,gypsys,en,0,0,0,0,0,0
31,gypsy,en,1,8,1,0,0,10
32,coolies,en,0,0,0,0,0,0
33,coolie,en,0,0,0,0,0,0
34,whitest,en,0,0,0,0,0,0
35,whiter,en,0,0,3,0,0,3
36,whites,en,0,0,5,0,0,5
37,white,en,103,312,824,1,1,1241
38,caucasians,en,0,0,0,0,0,0
39,caucasian,en,8,10,15,0,0,33
40,kaffirs,en,0,0,0,0,0,0
41,kaffir,en,0,1,0,0,0,1
42,descent,en,0,0,40,0,0,40
43,mohammedans,en,0,0,0,0,0,0
44,mohammedan,en,0,1,0,0,0,1
45,mongoloids,en,0,0,0,0,0,0
46,mongoloid,en,0,0,4,0,0,4
47,discover,en,0,0,7,0,0,7
48,homosexuals,en,2,1,0,0,0,3
49,homosexual,en,0,6,1,0,0,7
50,baboos,en,0,0,0,0,0,0
51,baboo,en,0,0,0,0,0,0
52,pygmys,en,0,0,0,0,0,0
53,pygmy,en,3,17,8,0,0,28
54,pages,en,8,8,99,0,0,115
55,page,en,7,29,64,0,0,100
56,bush negroes,en,0,0,0,0,0,0
57,bush negros,en,0,0,0,0,0,0
58,bush negro,en,0,0,0,0,0,0
59,second world,en,0,0,12,0,0,12
60,natives,en,0,0,3,0,0,3
61,native,en,75,78,1070,3,1,1227
62,bombays,en,0,0,0,0,0,0
63,bombay,en,1,3,4,0,0,8
64,negros,en,0,0,0,0,0,0
65,negroes,en,0,0,0,0,0,0
66,negro,en,1,5,0,0,0,6
67,berbers,en,0,1,2,0,0,3
68,berber,en,8,6,36,0,0,50
69,mulattos,en,0,0,1,0,0,1
70,mulattoes,en,0,0,0,0,0,0
71,mulatto,en,0,0,0,0,0,0
72,disableds,en,0,0,0,0,0,0
73,disabled,en,1,7,13,0,0,21
74,roots,en,4,2,62,0,0,68
75,mestizoes,en,0,0,0,0,0,0
76,mestizos,en,0,0,0,0,0,0
77,mestizo,en,0,1,1,0,0,2
78,developing nation,en,0,0,0,0,0,0
79,developing nations,en,0,1,0,0,0,1
80,westerns,en,0,3,0,0,0,3
81,western,en,49,122,515,0,0,686
82,aboriginals,en,0,0,1,0,0,1
83,aboriginal,en,4,11,36,0,0,51
84,transvestites,en,0,0,0,0,0,0
85,transvestite,en,0,1,1,0,0,2
86,eskimos,en,0,1,3,0,0,4
87,eskimoes,en,0,0,0,0,0,0
88,eskimo,en,7,29,7,0,0,43
89,hermaphrodites,en,1,1,0,0,0,2
90,hermaphrodite,en,0,1,2,0,0,3
91,gayest,en,0,0,0,0,0,0
92,gays,en,0,0,0,0,0,0
93,gayer,en,0,0,0,0,0,0
94,gay,en,1,7,3,0,0,11
95,indos,en,0,0,0,0,0,0
96,indo,en,9,29,42,0,0,80
97,orientals,en,0,1,1,0,0,2
98,oriental,en,5,22,27,0,1,55
99,coloreds,en,0,0,0,0,0,0
100,colored,en,1,2,313,0,0,316
101,inuits,en,0,0,0,0,0,0
102,inuit,en,8,15,11,0,0,34
103,blacks,en,0,0,5,0,0,5
104,blacker,en,0,0,0,0,0,0
105,blackest,en,0,0,0,0,0,0
106,black,en,106,284,596,1,0,987
107,queers,en,0,0,0,0,0,0
108,queerest,en,0,0,0,0,0,0
109,queerer,en,0,0,0,0,0,0
110,queer,en,0,1,0,0,0,1
111,calcuttas,en,0,0,0,0,0,0
112,calcutta,en,0,0,2,0,0,2
113,ethnic group,en,0,3,395,0,0,398
114,ethnic groups,en,1,0,15,0,0,16
115,maroons,en,0,0,0,0,0,0
116,maroon,en,2,1,5,0,0,8
117,transs,en,0,0,0,0,0,0
118,trans,en,2,3,2,0,0,7
119,half-breeds,en,0,0,0,0,0,0
120,half-breed,en,0,0,0,0,0,0
121,lilliputians,en,0,0,0,0,0,0
122,lilliputian,en,0,0,0,0,0,0
123,dwarfer,en,0,0,0,0,0,0
124,dwarves,en,0,1,0,0,0,1
125,dwarfs,en,1,1,2,0,0,4
126,dwarfest,en,0,0,0,0,0,0
127,dwarf,en,7,43,12,0,0,62
128,half-bloods,en,0,0,0,0,0,0
129,half-blood,en,0,0,0,0,0,0
130,burma,en,0,2,24,0,0,26
131,races,en,2,8,18,0,0,28
132,race,en,4,20,24,0,0,48
133,handicaps,en,0,0,1,0,0,1
134,handicap,en,0,0,3,0,0,3
135,primitives,en,0,0,0,0,0,0
136,primitive,en,3,4,45,0,0,52
137,retarded,en,1,3,0,0,0,4
138,footman,en,0,0,0,0,0,0
139,footmen,en,0,0,1,0,0,1
140,slaves,en,0,2,17,0,0,19
141,slave,en,2,17,2,0,0,21
142,first world,en,0,1,10,0,0,11
143,ethnicities,en,0,0,0,0,0,0
144,ethnicity,en,2,0,32,0,0,34
145,primitivism,en,1,2,3,0,0,6
146,indigenous,en,8,18,253,0,0,279
147,traditionals,en,0,0,0,0,0,0
148,traditional,en,7,14,325,1,0,347
149,full blood,en,0,0,0,0,0,0
150,metis,en,1,0,2,0,0,3
151,métis,en,0,1,4,0,0,5
152,tribes,en,1,2,89,0,1,93
153,tribe,en,2,14,106,0,1,123
