,lemma,lang,aat_pref,aat_alt,aat_scopeNote,aat_pref_comment,aat_alt_comment,aat_total
0,aboriginal,nl,2,1,18,0,0,21
1,achterlijk,nl,0,2,0,0,0,2
2,afkomst,nl,0,0,42,0,0,42
3,allochtoon,nl,0,0,0,0,0,0
4,baboe,nl,0,0,0,0,0,0
5,barbaar,nl,0,0,0,0,0,0
6,batavia,nl,1,0,0,0,0,1
7,bediende,nl,1,1,95,0,0,97
8,berber,nl,5,1,7,0,0,13
9,birma,nl,0,0,18,0,0,18
10,blank,nl,3,5,24,0,0,32
11,bombay,nl,1,0,3,0,0,4
12,boslandcreool,nl,0,0,0,0,0,0
13,bosneger,nl,0,0,0,0,0,0
14,calcutta,nl,0,0,2,0,0,2
15,derde wereld,nl,0,0,2,0,0,2
16,dwerg,nl,2,2,1,0,0,5
17,eerste wereld,nl,0,0,0,0,0,0
18,eskimo,nl,8,0,6,0,0,14
19,etniciteit,nl,1,0,12,0,0,13
20,etnische groep,nl,1,1,432,0,0,434
21,exotisch,nl,0,0,11,0,0,11
22,gay,nl,1,1,1,0,0,3
23,gehandicapte,nl,3,2,9,0,0,14
24,gekleurd,nl,4,1,182,0,0,187
25,halfbloed,nl,0,0,0,0,0,0
26,handicap,nl,0,0,7,0,0,7
27,hermafrodiet,nl,2,1,2,0,0,5
28,homo,nl,2,0,7,0,0,9
29,homoseksualiteit,nl,2,1,0,0,0,3
30,homoseksueel,nl,0,0,3,0,0,3
31,hottentot,nl,0,0,2,0,0,2
32,inboorling,nl,0,0,0,0,0,0
33,indiaan,nl,6,5,65,0,0,76
34,indisch,nl,9,3,26,0,0,38
35,indo,nl,10,2,24,0,0,36
36,inheems,nl,48,10,692,0,0,750
37,inlander,nl,0,0,0,0,0,0
38,inuk,nl,3,0,5,0,0,8
39,islamiet,nl,0,0,1,0,0,1
40,jap,nl,0,0,0,0,0,0
41,jappenkamp,nl,0,0,0,0,0,0
42,kaffer,nl,0,0,0,0,0,0
43,kaukasisch,nl,6,3,1,0,0,10
44,knecht,nl,0,2,6,0,0,8
45,koelie,nl,0,0,0,0,0,0
46,koppensneller,nl,0,0,0,0,0,0
47,lagelonenland,nl,0,0,0,0,0,0
48,lilliputter,nl,0,0,0,0,0,0
49,madras,nl,0,0,3,0,0,3
50,marron,nl,0,0,0,0,0,0
51,medicijnman,nl,0,0,0,0,0,0
52,mesties,nl,0,0,0,0,0,0
53,mohammedaan,nl,0,0,1,0,0,1
54,mongool,nl,15,4,8,0,0,27
55,moor,nl,2,1,9,0,0,12
56,mulat,nl,0,0,1,0,0,1
57,métis,nl,1,0,1,0,0,2
58,neger,nl,0,0,0,0,0,0
59,ontdekken,nl,0,0,9,0,0,9
60,ontwikkelingsland,nl,1,1,2,0,0,4
61,oriëntaals,nl,0,0,6,0,0,6
62,page,nl,1,1,2,0,0,4
63,politionele actie,nl,0,0,0,0,0,0
64,primitief,nl,3,0,32,0,0,35
65,primitivisme,nl,1,0,3,0,0,4
66,pygmee,nl,2,0,3,0,0,5
67,queer,nl,0,0,0,0,0,0
68,ras,nl,4,0,23,0,0,27
69,roots,nl,0,0,0,0,0,0
70,slaaf,nl,1,1,15,0,0,17
71,stam,nl,24,2,217,0,0,243
72,traditioneel,nl,3,0,310,0,0,313
73,trans,nl,1,2,0,0,0,3
74,travestiet,nl,0,0,2,0,0,2
75,tweede wereld,nl,0,0,0,0,0,0
76,volbloed,nl,0,0,0,0,0,0
77,westers,nl,9,4,124,0,0,137
78,wit,nl,54,13,663,0,0,730
79,zigeuner,nl,0,1,5,0,0,6
80,zuid-rhodesië,nl,0,0,0,0,0,0
81,zwart,nl,52,20,423,0,0,495
