,lemma,lang,odwn_le,odwn_sense_def,odwn_synset_def,odwn_sense_ex,odwn_total
0,aboriginal,nl,1,0,0,0,1
1,achterlijk,nl,4,0,0,1,5
2,afkomst,nl,4,6,6,9,25
3,allochtoon,nl,2,0,0,5,7
4,baboe,nl,2,0,0,0,2
5,barbaar,nl,4,0,0,3,7
6,batavia,nl,0,0,0,1,1
7,bediende,nl,2,9,8,14,33
8,berber,nl,3,0,0,0,3
9,birma,nl,2,0,0,1,3
10,blank,nl,1,7,5,17,30
11,bombay,nl,1,0,0,0,1
12,boslandcreool,nl,0,0,0,0,0
13,bosneger,nl,1,0,0,0,1
14,calcutta,nl,1,0,0,1,2
15,derde wereld,nl,0,1,1,4,6
16,dwerg,nl,3,0,0,2,5
17,eerste wereld,nl,0,0,0,0,0
18,eskimo,nl,2,0,2,4,8
19,etniciteit,nl,1,0,0,0,1
20,etnische groep,nl,0,0,0,1,1
21,exotisch,nl,0,1,1,5,7
22,gay,nl,1,0,0,0,1
23,gehandicapte,nl,1,5,4,13,23
24,gekleurd,nl,0,7,7,8,22
25,halfbloed,nl,4,0,0,0,4
26,handicap,nl,5,2,2,9,18
27,hermafrodiet,nl,2,0,0,0,2
28,homo,nl,2,3,3,15,23
29,homoseksualiteit,nl,2,0,0,0,2
30,homoseksueel,nl,2,6,5,2,15
31,hottentot,nl,1,0,0,0,1
32,inboorling,nl,2,0,0,1,3
33,indiaan,nl,2,5,5,8,20
34,indisch,nl,0,5,4,8,17
35,indo,nl,0,1,1,0,2
36,inheems,nl,0,2,2,2,6
37,inlander,nl,1,0,0,1,2
38,inuk,nl,1,0,0,0,1
39,islamiet,nl,1,1,0,1,3
40,jap,nl,1,0,0,0,1
41,jappenkamp,nl,1,1,0,1,3
42,kaffer,nl,2,0,0,1,3
43,kaukasisch,nl,1,0,0,0,1
44,knecht,nl,4,4,2,2,12
45,koelie,nl,3,0,0,0,3
46,koppensneller,nl,2,0,0,0,2
47,lagelonenland,nl,0,0,0,0,0
48,lilliputter,nl,1,0,0,0,1
49,madras,nl,1,0,0,0,1
50,marron,nl,0,0,0,0,0
51,medicijnman,nl,1,0,0,0,1
52,mesties,nl,1,0,0,0,1
53,mohammedaan,nl,1,3,2,0,6
54,mongool,nl,5,1,0,0,6
55,moor,nl,6,0,0,1,7
56,mulat,nl,2,0,0,0,2
57,métis,nl,0,0,0,0,0
58,neger,nl,2,5,4,1,12
59,ontdekken,nl,4,3,2,18,27
60,ontwikkelingsland,nl,2,4,3,3,12
61,oriëntaals,nl,0,0,0,0,0
62,page,nl,2,0,0,0,2
63,politionele actie,nl,0,0,0,1,1
64,primitief,nl,1,4,5,1,11
65,primitivisme,nl,0,0,0,0,0
66,pygmee,nl,2,0,0,1,3
67,queer,nl,0,0,0,0,0
68,ras,nl,6,16,16,5,43
69,roots,nl,0,0,0,0,0
70,slaaf,nl,7,6,7,7,27
71,stam,nl,7,6,6,19,38
72,traditioneel,nl,0,9,6,13,28
73,trans,nl,3,0,0,2,5
74,travestiet,nl,1,0,0,0,1
75,tweede wereld,nl,0,0,0,0,0
76,volbloed,nl,1,0,0,1,2
77,westers,nl,0,2,1,14,17
78,wit,nl,7,42,36,109,194
79,zigeuner,nl,2,3,3,4,12
80,zuid-rhodesië,nl,0,0,0,0,0
81,zwart,nl,7,49,41,93,190
