,lemma,lang,pwn_le,pwn_def,pwn_ex,pwn_total
0,aboriginal,en,3,3,3,9
1,allochtoon,en,0,0,0,0
2,baboo,en,1,0,0,1
3,barbarian,en,3,2,2,7
4,batavia,en,0,0,0,0
5,berber,en,3,6,0,9
6,black,en,22,601,99,722
7,bombay,en,1,1,1,3
8,burma,en,1,17,0,18
9,bush negro,en,0,0,0,0
10,calcutta,en,1,4,2,7
11,caucasian,en,4,11,1,16
12,colored,en,4,334,8,346
13,coolie,en,1,0,0,1
14,descent,en,6,71,1,78
15,developing nations,en,0,1,1,2
16,disabled,en,2,10,5,17
17,discover,en,8,24,5,37
18,dwarf,en,5,36,4,45
19,eskimo,en,2,9,2,13
20,ethnic groups,en,0,19,1,20
21,ethnicity,en,1,1,1,3
22,exotic,en,2,4,8,14
23,first world,en,0,0,2,2
24,footmen,en,1,1,1,3
25,full blood,en,0,0,0,0
26,gay,en,7,5,16,28
27,gypsy,en,4,7,4,15
28,half-blood,en,0,0,0,0
29,half-breed,en,2,0,0,2
30,handicap,en,6,4,2,12
31,headhunter,en,2,0,0,2
32,hermaphrodite,en,2,2,0,4
33,homo,en,2,7,3,12
34,homosexual,en,2,15,1,18
35,hottentot,en,1,0,0,1
36,immigrant,en,1,10,24,35
37,indian,en,4,301,14,319
38,indigenous,en,1,23,4,28
39,indo,en,0,29,2,31
40,inuit,en,1,2,1,4
41,kaffir,en,2,0,0,2
42,lilliputian,en,5,1,3,9
43,low-income countries,en,0,0,0,0
44,madras,en,3,3,0,6
45,maroon,en,6,13,1,20
46,medicine man,en,0,1,0,1
47,mestizo,en,1,0,1,2
48,mohammedan,en,2,0,0,2
49,mongoloid,en,5,1,1,7
50,moor,en,5,11,1,17
51,mulatto,en,1,1,0,2
52,métis,en,1,0,0,1
53,native,en,7,596,31,634
54,negro,en,2,3,2,7
55,oriental,en,1,15,5,21
56,page,en,9,67,37,113
57,primitive,en,7,117,13,137
58,primitivism,en,2,0,0,2
59,pygmy,en,2,7,0,9
60,queer,en,5,0,4,9
61,race,en,10,177,48,235
62,retarded,en,2,4,5,11
63,roots,en,1,192,14,207
64,second world,en,0,0,1,1
65,servant,en,2,26,16,44
66,slave,en,4,44,13,61
67,southern rhodesia,en,0,0,0,0
68,third world,en,0,0,1,1
69,traditional,en,2,64,16,82
70,trans,en,0,1,0,1
71,transvestite,en,2,0,0,2
72,tribe,en,4,60,17,81
73,western,en,6,718,20,744
74,white,en,25,1466,110,1601
