,query_term,lang,pwn_le,pwn_def,pwn_ex,pwn_total
0,batavias,en,0,0,0,0
1,batavia,en,0,0,0,0
2,southern rhodesia,en,0,0,0,0
3,madras,en,3,3,0,6
4,low-income country,en,0,0,0,0
5,low-income countries,en,0,0,0,0
6,headhunters,en,0,0,0,0
7,headhunter,en,2,0,0,2
8,immigrants,en,0,8,22,30
9,immigrant,en,1,2,2,5
10,barbarians,en,0,0,1,1
11,barbarian,en,3,2,1,6
12,moors,en,0,8,0,8
13,moor,en,5,3,1,9
14,indians,en,0,28,4,32
15,indian,en,4,273,10,287
16,homos,en,0,0,0,0
17,homo,en,2,7,3,12
18,exotics,en,0,0,0,0
19,exotic,en,2,4,8,14
20,allochtoons,en,0,0,0,0
21,allochtoon,en,0,0,0,0
22,medicine men,en,0,0,0,0
23,medicine man,en,0,1,0,1
24,third world,en,0,0,1,1
25,servants,en,0,5,10,15
26,servant,en,2,21,6,29
27,hottentots,en,0,0,0,0
28,hottentot,en,1,0,0,1
29,gypsies,en,0,3,3,6
30,gypsys,en,0,0,0,0
31,gypsy,en,4,4,1,9
32,coolies,en,0,0,0,0
33,coolie,en,1,0,0,1
34,whitest,en,0,0,0,0
35,whiter,en,0,1,0,1
36,whites,en,0,18,4,22
37,white,en,25,1447,106,1578
38,caucasians,en,0,0,0,0
39,caucasian,en,4,11,1,16
40,kaffirs,en,0,0,0,0
41,kaffir,en,2,0,0,2
42,descent,en,6,71,1,78
43,mohammedans,en,0,0,0,0
44,mohammedan,en,2,0,0,2
45,mongoloids,en,0,0,0,0
46,mongoloid,en,5,1,1,7
47,discover,en,8,24,5,37
48,homosexuals,en,0,2,1,3
49,homosexual,en,2,13,0,15
50,baboos,en,0,0,0,0
51,baboo,en,1,0,0,1
52,pygmys,en,0,0,0,0
53,pygmy,en,2,7,0,9
54,pages,en,0,30,15,45
55,page,en,9,37,22,68
56,bush negroes,en,0,0,0,0
57,bush negros,en,0,0,0,0
58,bush negro,en,0,0,0,0
59,second world,en,0,0,1,1
60,natives,en,0,5,7,12
61,native,en,7,591,24,622
62,bombays,en,0,0,0,0
63,bombay,en,1,1,1,3
64,negros,en,0,0,0,0
65,negroes,en,0,0,1,1
66,negro,en,2,3,1,6
67,berbers,en,1,1,0,2
68,berber,en,2,5,0,7
69,mulattos,en,0,0,0,0
70,mulattoes,en,0,0,0,0
71,mulatto,en,1,1,0,2
72,disableds,en,0,0,0,0
73,disabled,en,2,10,5,17
74,roots,en,1,192,14,207
75,mestizoes,en,0,0,0,0
76,mestizos,en,0,0,1,1
77,mestizo,en,1,0,0,1
78,developing nation,en,0,0,0,0
79,developing nations,en,0,1,1,2
80,westerns,en,0,0,1,1
81,western,en,6,718,19,743
82,aboriginals,en,0,0,0,0
83,aboriginal,en,3,3,3,9
84,transvestites,en,0,0,0,0
85,transvestite,en,2,0,0,2
86,eskimos,en,0,2,1,3
87,eskimoes,en,0,0,0,0
88,eskimo,en,2,7,1,10
89,hermaphrodites,en,0,0,0,0
90,hermaphrodite,en,2,2,0,4
91,gayest,en,0,0,0,0
92,gays,en,0,0,0,0
93,gayer,en,0,0,0,0
94,gay,en,7,5,16,28
95,indos,en,0,0,0,0
96,indo,en,0,29,2,31
97,orientals,en,0,0,0,0
98,oriental,en,1,15,5,21
99,coloreds,en,0,0,0,0
100,colored,en,4,334,8,346
101,inuits,en,0,0,0,0
102,inuit,en,1,2,1,4
103,blacks,en,0,7,1,8
104,blacker,en,0,0,0,0
105,blackest,en,0,1,1,2
106,black,en,22,593,97,712
107,queers,en,0,0,0,0
108,queerest,en,0,0,0,0
109,queerer,en,0,0,0,0
110,queer,en,5,0,4,9
111,calcuttas,en,0,0,0,0
112,calcutta,en,1,4,2,7
113,ethnic group,en,0,17,1,18
114,ethnic groups,en,0,2,0,2
115,maroons,en,0,0,0,0
116,maroon,en,6,13,1,20
117,transs,en,0,0,0,0
118,trans,en,0,1,0,1
119,half-breeds,en,0,0,0,0
120,half-breed,en,2,0,0,2
121,lilliputians,en,0,0,0,0
122,lilliputian,en,5,1,3,9
123,dwarfer,en,0,0,0,0
124,dwarves,en,0,0,0,0
125,dwarfs,en,0,1,1,2
126,dwarfest,en,0,0,0,0
127,dwarf,en,5,35,3,43
128,half-bloods,en,0,0,0,0
129,half-blood,en,0,0,0,0
130,burma,en,1,17,0,18
131,races,en,0,43,6,49
132,race,en,10,134,42,186
133,handicaps,en,0,1,0,1
134,handicap,en,6,3,2,11
135,primitives,en,0,0,0,0
136,primitive,en,7,117,13,137
137,retarded,en,2,4,5,11
138,footman,en,1,1,0,2
139,footmen,en,0,0,1,1
140,slaves,en,0,17,8,25
141,slave,en,4,27,5,36
142,first world,en,0,0,2,2
143,ethnicities,en,0,0,0,0
144,ethnicity,en,1,1,1,3
145,primitivism,en,2,0,0,2
146,indigenous,en,1,23,4,28
147,traditionals,en,0,0,0,0
148,traditional,en,2,64,16,82
149,full blood,en,0,0,0,0
150,metis,en,1,0,0,1
151,métis,en,0,0,0,0
152,tribes,en,0,29,9,38
153,tribe,en,4,31,8,43
