,lemma,lang,wd_pref,wd_aliases,wd_descr,wd_total
0,aboriginal,en,688,151,1170,2009
1,allochtoon,en,1,0,0,1
2,baboo,en,17,9,4,30
3,barbarian,en,264,50,46,360
4,batavia,en,208,51,213,472
5,berber,en,271,42,203,516
6,black,en,5421,2042,2311,9774
7,bombay,en,487,109,383,979
8,burma,en,1203,228,759,2190
9,bush negro,en,0,0,1,1
10,calcutta,en,542,194,367,1103
11,caucasian,en,444,109,152,705
12,colored,en,9424,79,162,9665
13,coolie,en,29,2,10,41
14,descent,en,8313,137,1105,9555
15,developing nations,en,32,0,6,38
16,disabled,en,848,70,206,1124
17,discover,en,213,39,61,313
18,dwarf,en,565,136,8739,9440
19,eskimo,en,279,52,74,405
20,ethnic groups,en,628,28,4089,4745
21,ethnicity,en,522,36,191,749
22,exotic,en,315,68,91,474
23,first world,en,289,24,532,845
24,footmen,en,48,1,10,59
25,full blood,en,2,5,1,8
26,gay,en,1687,776,1176,3639
27,gypsy,en,686,102,102,890
28,half-blood,en,46,1,1,48
29,half-breed,en,43,0,0,43
30,handicap,en,504,30,23,557
31,headhunter,en,48,8,7,63
32,hermaphrodite,en,44,4,41,89
33,homo,en,124,63,6248,6435
34,homosexual,en,92,67,219,378
35,hottentot,en,23,6,3,32
36,immigrant,en,858,88,355,1301
37,indian,en,3638,785,8340,12763
38,indigenous,en,1707,301,2702,4710
39,indo,en,3816,136,496,4448
40,inuit,en,155,19,277,451
41,kaffir,en,13,7,3,23
42,lilliputian,en,8,2,1,11
43,low-income countries,en,12,2,0,14
44,madras,en,433,100,343,876
45,maroon,en,455,40,97,592
46,medicine man,en,62,5,19,86
47,mestizo,en,38,8,11,57
48,mohammedan,en,38,6,4,48
49,mongoloid,en,9,3,2,14
50,moor,en,3335,328,940,4603
51,mulatto,en,33,5,18,56
52,métis,en,120,52,160,332
53,native,en,2579,408,2907,5894
54,negro,en,2755,420,1159,4334
55,oriental,en,2702,358,2642,5702
56,page,en,816,296,548,1660
57,primitive,en,607,211,364,1182
58,primitivism,en,24,2,1,27
59,pygmy,en,55,6,20,81
60,queer,en,532,115,196,843
61,race,en,4332,544,7171,12047
62,retarded,en,48,13,6,67
63,roots,en,870,126,360,1356
64,second world,en,237,29,664,930
65,servant,en,1454,149,8123,9726
66,slave,en,1478,282,1380,3140
67,southern rhodesia,en,271,13,19,303
68,third world,en,98,11,17,126
69,traditional,en,1986,513,5749,8248
70,trans,en,4804,2338,2101,9243
71,transvestite,en,13,4,20,37
72,tribe,en,2093,471,3116,5680
73,western,en,2823,3312,6306,12441
74,white,en,4604,1899,1715,8218
