,query_term,lang,wd_pref,wd_aliases,wd_descr,wd_total
0,politionele acties,nl,1,0,0,1
1,politionele actie,nl,2,1,0,3
2,birma,nl,35,11,3,49
3,exotische,nl,24,0,2,26
4,exotischere,nl,0,0,0,0
5,exotischer,nl,3,0,0,3
6,exotisch,nl,11,2,6,19
7,handicaps,nl,1,0,1,2
8,handicap,nl,31,5,10,46
9,medicijnmannen,nl,0,0,0,0
10,medicijnman,nl,5,1,3,9
11,lilliputters,nl,0,0,0,0
12,lilliputter,nl,1,2,0,3
13,homo's,nl,0,0,2,2
14,homo,nl,83,28,3121,3232
15,mongools,nl,26,5,49,80
16,mongolen,nl,10,1,0,11
17,mongool,nl,0,1,0,1
18,japs,nl,1,0,0,1
19,jappen,nl,1,0,0,1
20,jap,nl,24,3,0,27
21,islamieten,nl,0,1,0,1
22,islamiet,nl,0,1,0,1
23,westersere,nl,0,0,0,0
24,westerse,nl,34,16,29,79
25,westerser,nl,0,0,0,0
26,wester,nl,100,27,49,176
27,westerste,nl,0,0,0,0
28,westerst,nl,0,0,0,0
29,westers,nl,5,1,2,8
30,etniciteiten,nl,0,0,0,0
31,etniciteit,nl,2,2,10,14
32,homoseksualiteit,nl,20,1,4,25
33,negers,nl,3,2,0,5
34,neger,nl,27,3,8,38
35,bedienden,nl,13,1,0,14
36,bediendes,nl,0,0,0,0
37,bediend,nl,5,0,5,10
38,bediende,nl,59,5,139,203
39,hermafrodieten,nl,0,0,0,0
40,hermafrodiet,nl,4,1,0,5
41,inuit,nl,14,4,3,21
42,inuk,nl,4,1,0,5
43,indiaans,nl,2,2,6,10
44,indianen,nl,21,6,12,39
45,indiaan,nl,9,0,9165,9174
46,afkomsten,nl,0,0,0,0
47,afkomst,nl,4,12,126,142
48,blankst,nl,0,0,0,0
49,blanke,nl,25,5,4,34
50,blankste,nl,0,0,0,0
51,blankere,nl,0,0,0,0
52,blanker,nl,3,0,0,3
53,blanks,nl,6,0,1,7
54,blanken,nl,18,3,2,23
55,blank,nl,75,13,28,116
56,bombay,nl,82,20,105,207
57,knechten,nl,4,0,0,4
58,knechts,nl,5,1,0,6
59,knecht,nl,52,6,4,62
60,jappenkampen,nl,0,1,0,1
61,jappenkamp,nl,3,0,3,6
62,homoseksueels,nl,0,0,0,0
63,homoseksuelen,nl,3,0,3,6
64,homoseksueelst,nl,0,0,0,0
65,homoseksueelste,nl,0,0,0,0
66,homoseksueler,nl,0,0,0,0
67,homoseksuelere,nl,0,0,0,0
68,homoseksuele,nl,6,1,3,10
69,homoseksueel,nl,2,3,5,10
70,stammen,nl,13,7,12,32
71,stam,nl,43,13,149,205
72,oriëntaal,nl,0,0,0,0
73,oriëntaalsere,nl,0,0,0,0
74,oriëntaler,nl,0,0,0,0
75,oriëntaalste,nl,0,0,0,0
76,oriëntaalser,nl,0,0,0,0
77,oriëntale,nl,0,0,0,0
78,oriëntalere,nl,0,0,0,0
79,oriëntaalse,nl,5,1,0,6
80,oriëntaalst,nl,0,0,0,0
81,oriëntaals,nl,10,1,3,14
82,batavia,nl,89,21,44,154
83,halfbloeden,nl,0,0,0,0
84,halfbloed,nl,4,1,0,5
85,boslandcreolen,nl,0,0,0,0
86,boslandcreool,nl,0,1,0,1
87,queer,nl,71,0,28,99
88,zigeuners,nl,17,5,0,22
89,zigeuner,nl,11,1,0,12
90,bosnegers,nl,0,1,0,1
91,bosneger,nl,0,1,0,1
92,ontwikkelingslanden,nl,1,3,5,9
93,ontwikkelingsland,nl,1,0,1,2
94,zwartste,nl,0,0,0,0
95,zwarten,nl,6,1,0,7
96,zwartst,nl,0,0,0,0
97,zwartere,nl,0,0,0,0
98,zwarte,nl,732,176,68,976
99,zwarter,nl,0,0,0,0
100,zwarts,nl,7,10,1,18
101,zwart,nl,312,49,162,523
102,traditioneelste,nl,0,0,0,0
103,traditioneels,nl,0,0,0,0
104,traditioneelst,nl,0,0,0,0
105,traditionelere,nl,0,0,0,0
106,traditionele,nl,287,40,129,456
107,traditioneler,nl,0,0,0,0
108,traditioneel,nl,99,20,139,258
109,mestiezen,nl,0,1,0,1
110,mesties,nl,2,0,0,2
111,primitieve,nl,18,3,4,25
112,primitiefste,nl,0,0,0,0
113,primitievere,nl,0,0,0,0
114,primitiefst,nl,0,0,0,0
115,primitiefs,nl,0,0,0,0
116,primitiever,nl,0,0,0,0
117,primitief,nl,9,5,3,17
118,ontdekken,nl,14,0,1,15
119,koppensnellers,nl,2,0,0,2
120,koppensneller,nl,0,0,0,0
121,lagelonenlanden,nl,0,0,0,0
122,lagelonenland,nl,1,0,0,1
123,inlanders,nl,2,0,0,2
124,inlander,nl,2,2,10,14
125,dwergen,nl,15,7,4,26
126,dwerg,nl,49,13,73,135
127,gaye,nl,14,5,111,130
128,gayer,nl,7,0,0,7
129,gayst,nl,0,0,0,0
130,gays,nl,16,0,6,22
131,gayste,nl,0,0,0,0
132,gay,nl,262,30,124,416
133,baboes,nl,0,0,0,0
134,baboe,nl,2,1,0,3
135,indische,nl,249,74,112,435
136,indischere,nl,0,0,0,0
137,indischer,nl,1,0,0,1
138,indisch,nl,70,37,31,138
139,berbers,nl,8,0,1,9
140,berber,nl,18,2,0,20
141,pygmeeën,nl,3,0,1,4
142,pygmee,nl,0,1,0,1
143,gekleurdste,nl,0,0,0,0
144,gekleurde,nl,9,0,9,18
145,gekleurdst,nl,0,0,0,0
146,gekleurder,nl,0,0,0,0
147,gekleurds,nl,0,0,0,0
148,gekleurdere,nl,0,0,0,0
149,gekleurd,nl,3,0,6,9
150,roots,nl,164,7,62,233
151,kaukasischer,nl,0,0,0,0
152,kaukasischere,nl,0,0,0,0
153,kaukasische,nl,18,12,2,32
154,kaukasisch,nl,6,4,45,55
155,achterlijkst,nl,0,0,0,0
156,achterlijkste,nl,0,0,0,0
157,achterlijker,nl,0,0,0,0
158,achterlijkheid,nl,0,0,0,0
159,achterlijkere,nl,0,0,0,0
160,achterlijken,nl,0,0,0,0
161,achterlijke,nl,0,0,0,0
162,achterlijks,nl,0,0,0,0
163,achterlijk,nl,1,0,0,1
164,mulatten,nl,1,1,0,2
165,mulat,nl,7,1,0,8
166,rast,nl,31,1,0,32
167,rassere,nl,0,0,0,0
168,rassen,nl,10,4,5,19
169,rasse,nl,5,0,0,5
170,rasser,nl,2,0,0,2
171,raste,nl,1,0,0,1
172,ras,nl,542,38,83,663
173,etnische groepen,nl,3,0,1,4
174,etnische groep,nl,4,1,9240,9245
175,eerste wereld,nl,1,0,0,1
176,aboriginals,nl,1,2,3,6
177,aboriginal,nl,44,5,8,57
178,travestieten,nl,0,0,0,0
179,travestiet,nl,0,1,3,4
180,barbaren,nl,3,1,0,4
181,barbaar,nl,5,0,0,5
182,derde wereld,nl,5,0,0,5
183,slaven,nl,29,2,9,40
184,slaaf,nl,14,5,26,45
185,primitivismen,nl,0,0,0,0
186,primitivisme,nl,1,1,0,2
187,eskimo's,nl,3,0,1,4
188,eskimo,nl,62,5,28,95
189,pages,nl,41,51,8,100
190,page,nl,13,8,2,23
191,zuid-rhodesië,nl,11,0,6,17
192,inboorlingen,nl,0,0,0,0
193,inboorling,nl,1,0,0,1
194,hottentotten,nl,0,1,0,1
195,hottentot,nl,0,1,0,1
196,calcutta,nl,129,47,269,445
197,indo's,nl,0,1,0,1
198,indo,nl,71,21,66,158
199,mohammedanen,nl,1,1,0,2
200,mohammedaan,nl,0,1,0,1
201,madras,nl,63,3,61,127
202,moors,nl,38,2,19,59
203,moren,nl,9,7,4,20
204,moor,nl,498,30,116,644
205,gehandicapten,nl,17,1,28,46
206,gehandicapte,nl,3,4,3,10
207,koelies,nl,1,0,0,1
208,koelie,nl,1,0,0,1
209,volbloeden,nl,0,0,0,0
210,volbloed,nl,5,2,0,7
211,metis,nl,20,2,8,30
212,métis,nl,5,2,2,9
213,marrons,nl,10,0,4,14
214,marron,nl,18,2,11,31
215,kaffers,nl,0,0,1,1
216,kaffer,nl,2,0,0,2
217,allochtoons,nl,0,0,0,0
218,allochtoner,nl,0,0,0,0
219,allochtone,nl,2,0,0,2
220,allochtonere,nl,0,0,0,0
221,allochtoonst,nl,0,0,0,0
222,allochtoonste,nl,0,0,0,0
223,allochtonen,nl,1,0,0,1
224,allochtoon,nl,2,1,0,3
225,tweede wereld,nl,2,1,0,3
226,wits,nl,11,3,0,14
227,witten,nl,39,16,256,311
228,witte,nl,1107,338,287,1732
229,witter,nl,9,3,12,24
230,wittere,nl,0,0,1,1
231,witst,nl,0,0,0,0
232,witste,nl,1,0,0,1
233,wit,nl,487,79,8952,9518
234,inheemsere,nl,0,0,0,0
235,inheemste,nl,0,0,0,0
236,inheemse,nl,36,10,32,78
237,inheemst,nl,0,0,0,0
238,inheemser,nl,0,0,0,0
239,inheems,nl,9,1,31,41
240,transen,nl,0,0,0,0
241,trans,nl,348,56,40,444
