,lemma,lang,aat_pref,aat_alt,aat_scopeNote,aat_pref_comment,aat_alt_comment,aat_total
0,aboriginal,en,0,1,0,0,0,1
1,allochtoon,en,0,0,0,0,0,0
2,baboo,en,0,0,0,0,0,0
3,barbarian,en,0,0,0,0,0,0
4,batavia,en,0,0,0,0,0,0
5,berber,en,1,1,0,0,0,2
6,black,en,1,0,0,0,0,1
7,bombay,en,0,0,0,0,0,0
8,burma,en,0,0,0,0,0,0
9,bush negro,en,0,0,0,0,0,0
10,calcutta,en,0,0,0,0,0,0
11,caucasian,en,1,0,0,0,0,1
12,colored,en,0,0,0,0,0,0
13,coolie,en,0,0,0,0,0,0
14,descent,en,0,0,0,0,0,0
15,developing nations,en,0,1,0,0,0,1
16,disabled,en,0,2,0,0,0,2
17,discover,en,0,0,0,0,0,0
18,dwarf,en,1,4,0,0,0,5
19,eskimo,en,1,1,0,0,0,2
20,ethnic groups,en,1,1,0,0,0,2
21,ethnicity,en,1,0,0,0,0,1
22,exotic,en,0,0,0,0,0,0
23,first world,en,0,1,1,0,0,2
24,footmen,en,0,0,0,0,0,0
25,full blood,en,0,0,0,0,0,0
26,gay,en,0,1,0,0,0,1
27,gypsy,en,0,1,0,0,0,1
28,half-blood,en,0,0,0,0,0,0
29,half-breed,en,0,0,0,0,0,0
30,handicap,en,0,0,0,0,0,0
31,headhunter,en,0,0,0,0,0,0
32,hermaphrodite,en,1,1,1,0,0,3
33,homo,en,0,0,0,0,0,0
34,homosexual,en,1,1,0,0,0,2
35,hottentot,en,0,1,1,0,0,2
36,immigrant,en,1,3,0,0,0,4
37,indian,en,0,3,1,0,0,4
38,indigenous,en,1,4,0,0,0,5
39,indo,en,1,3,1,0,0,5
40,inuit,en,1,0,0,0,0,1
41,kaffir,en,0,0,0,0,0,0
42,lilliputian,en,0,0,0,0,0,0
43,low-income countries,en,0,0,0,0,0,0
44,madras,en,0,0,0,0,0,0
45,maroon,en,1,1,1,0,0,3
46,medicine man,en,0,1,0,0,0,1
47,mestizo,en,0,0,0,0,0,0
48,mohammedan,en,0,1,0,0,0,1
49,mongoloid,en,0,0,0,0,0,0
50,moor,en,0,1,0,0,0,1
51,mulatto,en,0,0,0,0,0,0
52,métis,en,1,1,1,0,0,3
53,native,en,1,4,1,0,0,6
54,negro,en,0,1,0,0,0,1
55,oriental,en,0,1,0,0,0,1
56,page,en,0,0,0,0,0,0
57,primitive,en,1,1,0,0,0,2
58,primitivism,en,1,1,0,0,0,2
59,pygmy,en,1,1,1,0,0,3
60,queer,en,0,1,0,0,0,1
61,race,en,1,2,0,0,0,3
62,retarded,en,0,1,0,0,0,1
63,roots,en,0,0,0,0,0,0
64,second world,en,0,0,0,0,0,0
65,servant,en,1,3,0,0,0,4
66,slave,en,0,4,0,0,0,4
67,southern rhodesia,en,0,0,0,0,0,0
68,third world,en,0,1,0,0,0,1
69,traditional,en,1,2,0,0,0,3
70,trans,en,0,0,0,0,0,0
71,transvestite,en,0,1,1,0,0,2
72,tribe,en,1,1,0,0,0,2
73,western,en,0,0,0,0,0,0
74,white,en,0,0,0,0,0,0
