,query_term,lang,aat_pref,aat_alt,aat_scopeNote,aat_pref_comment,aat_alt_comment,aat_total
0,batavias,en,0,0,0,0,0,0
1,batavia,en,0,0,0,0,0,0
2,southern rhodesia,en,0,0,0,0,0,0
3,madras,en,0,0,0,0,0,0
4,low-income country,en,0,0,0,0,0,0
5,low-income countries,en,0,0,0,0,0,0
6,headhunters,en,0,0,0,0,0,0
7,headhunter,en,0,0,0,0,0,0
8,immigrants,en,1,1,0,0,0,2
9,immigrant,en,0,2,0,0,0,2
10,barbarians,en,0,0,0,0,0,0
11,barbarian,en,0,0,0,0,0,0
12,moors,en,0,0,0,0,0,0
13,moor,en,0,1,0,0,0,1
14,indians,en,0,0,0,0,0,0
15,indian,en,0,3,1,0,0,4
16,homos,en,0,0,0,0,0,0
17,homo,en,0,0,0,0,0,0
18,exotics,en,0,0,0,0,0,0
19,exotic,en,0,0,0,0,0,0
20,allochtoons,en,0,0,0,0,0,0
21,allochtoon,en,0,0,0,0,0,0
22,medicine men,en,0,1,0,0,0,1
23,medicine man,en,0,0,0,0,0,0
24,third world,en,0,1,0,0,0,1
25,servants,en,1,1,0,0,0,2
26,servant,en,0,2,0,0,0,2
27,hottentots,en,0,0,1,0,0,1
28,hottentot,en,0,1,0,0,0,1
29,gypsies,en,0,0,0,0,0,0
30,gypsys,en,0,0,0,0,0,0
31,gypsy,en,0,1,0,0,0,1
32,coolies,en,0,0,0,0,0,0
33,coolie,en,0,0,0,0,0,0
34,whitest,en,0,0,0,0,0,0
35,whiter,en,0,0,0,0,0,0
36,whites,en,0,0,0,0,0,0
37,white,en,0,0,0,0,0,0
38,caucasians,en,0,0,0,0,0,0
39,caucasian,en,1,0,0,0,0,1
40,kaffirs,en,0,0,0,0,0,0
41,kaffir,en,0,0,0,0,0,0
42,descent,en,0,0,0,0,0,0
43,mohammedans,en,0,0,0,0,0,0
44,mohammedan,en,0,1,0,0,0,1
45,mongoloids,en,0,0,0,0,0,0
46,mongoloid,en,0,0,0,0,0,0
47,discover,en,0,0,0,0,0,0
48,homosexuals,en,1,0,0,0,0,1
49,homosexual,en,0,1,0,0,0,1
50,baboos,en,0,0,0,0,0,0
51,baboo,en,0,0,0,0,0,0
