,query_term,lang,pwn_le,pwn_def,pwn_ex,pwn_total
0,batavias,en,0,0,0,0
1,batavia,en,0,0,0,0
2,southern rhodesia,en,0,0,0,0
3,madras,en,1,1,0,2
4,low-income country,en,0,0,0,0
5,low-income countries,en,0,0,0,0
6,headhunters,en,0,0,0,0
7,headhunter,en,1,0,0,1
8,immigrants,en,0,0,0,0
9,immigrant,en,1,0,0,1
10,barbarians,en,0,0,0,0
11,barbarian,en,3,0,1,4
12,moors,en,0,0,0,0
13,moor,en,1,0,0,1
14,indians,en,0,0,0,0
15,indian,en,1,0,1,2
16,homos,en,0,0,0,0
17,homo,en,1,0,0,1
18,exotics,en,0,0,0,0
19,exotic,en,2,0,5,7
20,allochtoons,en,0,0,0,0
21,allochtoon,en,0,0,0,0
22,medicine men,en,0,0,0,0
23,medicine man,en,0,0,0,0
24,third world,en,0,0,0,0
25,servants,en,0,0,0,0
26,servant,en,1,0,0,1
27,hottentots,en,0,0,0,0
28,hottentot,en,0,0,0,0
29,gypsies,en,0,0,0,0
30,gypsys,en,0,0,0,0
31,gypsy,en,2,1,0,3
32,coolies,en,0,0,0,0
33,coolie,en,1,0,0,1
34,whitest,en,0,0,0,0
35,whiter,en,0,0,0,0
36,whites,en,0,1,0,1
37,white,en,3,0,3,6
38,caucasians,en,0,0,0,0
39,caucasian,en,2,2,0,4
40,kaffirs,en,0,0,0,0
41,kaffir,en,1,0,0,1
42,descent,en,3,0,0,3
43,mohammedans,en,0,0,0,0
44,mohammedan,en,2,0,0,2
45,mongoloids,en,0,0,0,0
46,mongoloid,en,5,1,1,7
47,discover,en,1,0,0,1
48,homosexuals,en,0,0,0,0
49,homosexual,en,2,0,0,2
50,baboos,en,0,0,0,0
51,baboo,en,0,0,0,0
52,pygmys,en,0,0,0,0
53,pygmy,en,2,0,0,2
54,pages,en,0,0,0,0
55,page,en,2,0,0,2
56,bush negroes,en,0,0,0,0
57,bush negros,en,0,0,0,0
58,bush negro,en,0,0,0,0
59,second world,en,0,0,0,0
60,natives,en,0,0,1,1
61,native,en,4,0,4,8
62,bombays,en,0,0,0,0
63,bombay,en,1,0,0,1
64,negros,en,0,0,0,0
65,negroes,en,0,0,0,0
66,negro,en,2,0,1,3
67,berbers,en,0,0,0,0
68,berber,en,1,0,0,1
69,mulattos,en,0,0,0,0
70,mulattoes,en,0,0,0,0
71,mulatto,en,1,0,0,1
72,disableds,en,0,0,0,0
73,disabled,en,2,0,2,4
74,roots,en,0,0,0,0
75,mestizoes,en,0,0,0,0
76,mestizos,en,0,0,0,0
77,mestizo,en,1,0,0,1
78,developing nation,en,0,0,0,0
79,developing nations,en,0,0,0,0
80,westerns,en,0,0,0,0
81,western,en,1,1,2,4
82,aboriginals,en,0,0,0,0
83,aboriginal,en,2,0,2,4
84,transvestites,en,0,0,0,0
85,transvestite,en,2,0,0,2
86,eskimos,en,0,0,0,0
87,eskimoes,en,0,0,0,0
88,eskimo,en,1,1,0,2
89,hermaphrodites,en,0,0,0,0
90,hermaphrodite,en,1,0,0,1
91,gayest,en,0,0,0,0
92,gays,en,0,0,0,0
93,gayer,en,0,0,0,0
94,gay,en,2,0,0,2
95,indos,en,0,0,0,0
96,indo,en,0,0,0,0
97,orientals,en,0,0,0,0
98,oriental,en,1,0,1,2
99,coloreds,en,0,0,0,0
100,colored,en,1,0,0,1
101,inuits,en,0,0,0,0
102,inuit,en,1,1,0,2
103,blacks,en,0,0,0,0
104,blacker,en,0,0,0,0
105,blackest,en,0,0,0,0
106,black,en,2,0,1,3
107,queers,en,0,0,0,0
108,queerest,en,0,0,0,0
109,queerer,en,0,0,0,0
110,queer,en,2,0,0,2
111,calcuttas,en,0,0,0,0
112,calcutta,en,1,0,0,1
113,ethnic group,en,0,0,0,0
114,ethnic groups,en,0,0,0,0
115,maroons,en,0,0,0,0
116,maroon,en,0,0,0,0
117,transs,en,0,0,0,0
118,trans,en,0,0,0,0
119,half-breeds,en,0,0,0,0
120,half-breed,en,1,0,0,1
121,lilliputians,en,0,0,0,0
122,lilliputian,en,1,1,0,2
123,dwarfer,en,0,0,0,0
124,dwarves,en,0,0,0,0
125,dwarfs,en,0,0,0,0
126,dwarfest,en,0,0,0,0
127,dwarf,en,1,0,0,1
128,half-bloods,en,0,0,0,0
129,half-blood,en,0,0,0,0
130,burma,en,1,0,0,1
131,races,en,0,0,1,1
132,race,en,1,0,0,1
133,handicaps,en,0,0,0,0
134,handicap,en,2,0,0,2
135,primitives,en,0,0,0,0
136,primitive,en,4,0,4,8
137,retarded,en,2,1,2,5
138,footman,en,1,0,0,1
139,footmen,en,0,0,0,0
140,slaves,en,0,0,0,0
141,slave,en,1,0,0,1
142,first world,en,0,0,0,0
143,ethnicities,en,0,0,0,0
144,ethnicity,en,1,0,1,2
145,primitivism,en,2,0,0,2
146,indigenous,en,1,0,1,2
147,traditionals,en,0,0,0,0
148,traditional,en,1,0,2,3
149,full blood,en,0,0,0,0
150,metis,en,0,0,0,0
151,métis,en,0,0,0,0
152,tribes,en,0,0,0,0
153,tribe,en,3,0,0,3
