,lemma,lang,wd_pref,wd_aliases,wd_descr,wd_total
0,aboriginal,en,0,1,0,1
1,allochtoon,en,1,0,0,1
2,baboo,en,0,0,0,0
3,barbarian,en,1,0,0,1
4,batavia,en,1,0,0,1
5,berber,en,1,1,0,2
6,black,en,1,4,0,5
7,bombay,en,0,1,0,1
8,burma,en,0,2,0,2
9,bush negro,en,0,0,0,0
10,calcutta,en,0,1,0,1
11,caucasian,en,1,0,0,1
12,colored,en,1,0,0,1
13,coolie,en,1,0,0,1
14,descent,en,1,0,1,2
15,developing nations,en,0,0,0,0
16,disabled,en,0,3,0,3
17,discover,en,0,0,0,0
18,dwarf,en,0,0,0,0
19,eskimo,en,1,1,0,2
20,ethnic groups,en,1,1,0,2
21,ethnicity,en,1,1,0,2
22,exotic,en,0,0,0,0
23,first world,en,1,0,0,1
24,footmen,en,1,0,0,1
25,full blood,en,0,0,0,0
26,gay,en,1,2,0,3
27,gypsy,en,0,2,0,2
28,half-blood,en,0,0,0,0
29,half-breed,en,1,0,0,1
30,handicap,en,0,2,0,2
31,headhunter,en,0,0,0,0
32,hermaphrodite,en,1,0,0,1
33,homo,en,0,0,0,0
34,homosexual,en,0,3,1,4
35,hottentot,en,1,0,0,1
36,immigrant,en,1,0,0,1
37,indian,en,0,4,0,4
38,indigenous,en,1,2,0,3
39,indo,en,1,3,1,5
40,inuit,en,1,1,0,2
41,kaffir,en,1,1,0,2
42,lilliputian,en,0,1,0,1
43,low-income countries,en,0,0,0,0
44,madras,en,0,1,0,1
45,maroon,en,1,0,0,1
46,medicine man,en,1,0,0,1
47,mestizo,en,1,2,0,3
48,mohammedan,en,1,0,0,1
49,mongoloid,en,1,0,0,1
50,moor,en,1,0,0,1
51,mulatto,en,1,0,0,1
52,métis,en,1,1,0,2
53,native,en,0,0,0,0
54,negro,en,1,0,0,1
55,oriental,en,0,0,0,0
56,page,en,1,1,0,2
57,primitive,en,1,2,1,4
58,primitivism,en,1,0,0,1
59,pygmy,en,1,0,0,1
60,queer,en,1,0,0,1
61,race,en,1,3,0,4
62,retarded,en,0,1,0,1
63,roots,en,0,0,0,0
64,second world,en,1,0,0,1
65,servant,en,0,3,0,3
66,slave,en,0,1,0,1
67,southern rhodesia,en,1,0,0,1
68,third world,en,1,0,0,1
69,traditional,en,0,0,0,0
70,trans,en,0,5,0,5
71,transvestite,en,0,1,0,1
72,tribe,en,1,1,0,2
73,western,en,1,3,0,4
74,white,en,1,5,0,6
