,query_term,lang,wd_pref,wd_aliases,wd_descr,wd_total
0,batavias,en,0,0,0,0
1,batavia,en,1,0,0,1
2,southern rhodesia,en,1,0,0,1
3,madras,en,0,1,0,1
4,low-income country,en,0,0,0,0
5,low-income countries,en,0,0,0,0
6,headhunters,en,0,0,0,0
7,headhunter,en,0,0,0,0
8,immigrants,en,0,0,0,0
9,immigrant,en,1,0,0,1
10,barbarians,en,0,0,0,0
11,barbarian,en,1,0,0,1
12,moors,en,1,0,0,1
13,moor,en,0,0,0,0
14,indians,en,0,4,0,4
15,indian,en,0,0,0,0
16,homos,en,0,0,0,0
17,homo,en,0,0,0,0
18,exotics,en,0,0,0,0
19,exotic,en,0,0,0,0
20,allochtoons,en,0,0,0,0
21,allochtoon,en,1,0,0,1
22,medicine men,en,0,0,0,0
23,medicine man,en,1,0,0,1
24,third world,en,1,0,0,1
25,servants,en,0,0,0,0
26,servant,en,0,3,0,3
27,hottentots,en,0,0,0,0
28,hottentot,en,1,0,0,1
29,gypsies,en,0,1,0,1
30,gypsys,en,0,0,0,0
31,gypsy,en,0,1,0,1
32,coolies,en,0,0,0,0
33,coolie,en,1,0,0,1
34,whitest,en,0,0,0,0
35,whiter,en,0,0,0,0
36,whites,en,0,1,0,1
37,white,en,1,4,0,5
38,caucasians,en,0,0,0,0
39,caucasian,en,1,0,0,1
40,kaffirs,en,0,1,0,1
41,kaffir,en,1,0,0,1
42,descent,en,1,0,1,2
43,mohammedans,en,0,0,0,0
44,mohammedan,en,1,0,0,1
45,mongoloids,en,0,0,0,0
46,mongoloid,en,1,0,0,1
47,discover,en,0,0,0,0
48,homosexuals,en,0,1,0,1
49,homosexual,en,0,2,1,3
50,baboos,en,0,0,0,0
51,baboo,en,0,0,0,0
52,pygmys,en,0,0,0,0
53,pygmy,en,1,0,0,1
54,pages,en,0,0,0,0
55,page,en,1,1,0,2
56,bush negroes,en,0,0,0,0
57,bush negros,en,0,0,0,0
58,bush negro,en,0,0,0,0
59,second world,en,1,0,0,1
60,natives,en,0,0,0,0
61,native,en,0,0,0,0
62,bombays,en,0,0,0,0
63,bombay,en,0,1,0,1
64,negros,en,0,0,0,0
65,negroes,en,0,0,0,0
66,negro,en,1,0,0,1
67,berbers,en,1,0,0,1
68,berber,en,0,1,0,1
69,mulattos,en,0,0,0,0
70,mulattoes,en,0,0,0,0
71,mulatto,en,1,0,0,1
72,disableds,en,0,0,0,0
73,disabled,en,0,3,0,3
74,roots,en,0,0,0,0
75,mestizoes,en,0,0,0,0
76,mestizos,en,0,1,0,1
77,mestizo,en,1,1,0,2
78,developing nation,en,0,0,0,0
79,developing nations,en,0,0,0,0
80,westerns,en,0,0,0,0
81,western,en,1,3,0,4
82,aboriginals,en,0,0,0,0
83,aboriginal,en,0,1,0,1
84,transvestites,en,0,0,0,0
85,transvestite,en,0,1,0,1
86,eskimos,en,0,1,0,1
87,eskimoes,en,0,0,0,0
88,eskimo,en,1,0,0,1
89,hermaphrodites,en,0,0,0,0
90,hermaphrodite,en,1,0,0,1
91,gayest,en,0,0,0,0
92,gays,en,0,0,0,0
93,gayer,en,0,0,0,0
94,gay,en,1,2,0,3
95,indos,en,0,0,0,0
96,indo,en,1,3,1,5
97,orientals,en,0,0,0,0
98,oriental,en,0,0,0,0
99,coloreds,en,0,0,0,0
100,colored,en,1,0,0,1
101,inuits,en,0,1,0,1
102,inuit,en,1,0,0,1
103,blacks,en,0,1,0,1
104,blacker,en,0,0,0,0
105,blackest,en,0,0,0,0
106,black,en,1,3,0,4
107,queers,en,0,0,0,0
108,queerest,en,0,0,0,0
109,queerer,en,0,0,0,0
110,queer,en,1,0,0,1
111,calcuttas,en,0,0,0,0
112,calcutta,en,0,1,0,1
113,ethnic group,en,1,0,0,1
114,ethnic groups,en,0,1,0,1
115,maroons,en,1,0,0,1
116,maroon,en,0,0,0,0
117,transs,en,0,0,0,0
118,trans,en,0,5,0,5
119,half-breeds,en,0,0,0,0
120,half-breed,en,1,0,0,1
121,lilliputians,en,0,0,0,0
122,lilliputian,en,0,1,0,1
123,dwarfer,en,0,0,0,0
124,dwarves,en,0,0,0,0
125,dwarfs,en,0,0,0,0
126,dwarfest,en,0,0,0,0
127,dwarf,en,0,0,0,0
128,half-bloods,en,0,0,0,0
129,half-blood,en,0,0,0,0
130,burma,en,0,2,0,2
131,races,en,0,2,0,2
132,race,en,1,1,0,2
133,handicaps,en,0,0,0,0
134,handicap,en,0,2,0,2
135,primitives,en,0,0,0,0
136,primitive,en,1,2,1,4
137,retarded,en,0,1,0,1
138,footman,en,1,0,0,1
139,footmen,en,0,0,0,0
140,slaves,en,0,0,0,0
141,slave,en,0,1,0,1
142,first world,en,1,0,0,1
143,ethnicities,en,0,0,0,0
144,ethnicity,en,1,1,0,2
145,primitivism,en,1,0,0,1
146,indigenous,en,1,2,0,3
147,traditionals,en,0,0,0,0
148,traditional,en,0,0,0,0
149,full blood,en,0,0,0,0
150,metis,en,0,1,0,1
151,métis,en,1,0,0,1
152,tribes,en,0,0,0,0
153,tribe,en,1,1,0,2
