,lemma,lang,wd_pref,wd_aliases,wd_descr,wd_total
0,aboriginal,nl,0,2,0,2
1,achterlijk,nl,0,0,0,0
2,afkomst,nl,0,1,0,1
3,allochtoon,nl,1,0,0,1
4,baboe,nl,0,1,0,1
5,barbaar,nl,1,1,0,2
6,batavia,nl,1,1,0,2
7,bediende,nl,0,1,0,1
8,berber,nl,1,0,0,1
9,birma,nl,0,1,0,1
10,blank,nl,1,0,0,1
11,bombay,nl,0,1,0,1
12,boslandcreool,nl,0,1,0,1
13,bosneger,nl,0,2,0,2
14,calcutta,nl,1,0,0,1
15,derde wereld,nl,1,0,0,1
16,dwerg,nl,1,0,0,1
17,eerste wereld,nl,1,0,0,1
18,eskimo,nl,2,1,0,3
19,etniciteit,nl,1,0,0,1
20,etnische groep,nl,1,0,0,1
21,exotisch,nl,0,0,0,0
22,gay,nl,1,0,0,1
23,gehandicapte,nl,1,1,0,2
24,gekleurd,nl,1,0,0,1
25,halfbloed,nl,0,0,0,0
26,handicap,nl,1,0,0,1
27,hermafrodiet,nl,1,0,0,1
28,homo,nl,0,1,0,1
29,homoseksualiteit,nl,1,0,0,1
30,homoseksueel,nl,0,1,0,1
31,hottentot,nl,0,2,0,2
32,inboorling,nl,0,0,0,0
33,indiaan,nl,1,4,0,5
34,indisch,nl,0,1,0,1
35,indo,nl,0,3,0,3
36,inheems,nl,1,3,0,4
37,inlander,nl,1,1,0,2
38,inuk,nl,1,1,0,2
39,islamiet,nl,0,2,0,2
40,jap,nl,1,0,0,1
41,jappenkamp,nl,2,2,0,4
42,kaffer,nl,1,0,0,1
43,kaukasisch,nl,1,1,0,2
44,knecht,nl,0,0,0,0
45,koelie,nl,1,0,0,1
46,koppensneller,nl,0,0,0,0
47,lagelonenland,nl,1,0,0,1
48,lilliputter,nl,0,1,0,1
49,madras,nl,0,1,0,1
50,marron,nl,1,0,0,1
51,medicijnman,nl,0,1,0,1
52,mesties,nl,1,1,0,2
53,mohammedaan,nl,0,2,0,2
54,mongool,nl,1,0,0,1
55,moor,nl,1,1,0,2
56,mulat,nl,1,1,0,2
57,métis,nl,1,0,0,1
58,neger,nl,1,1,0,2
59,ontdekken,nl,0,0,0,0
60,ontwikkelingsland,nl,1,1,0,2
61,oriëntaals,nl,0,0,0,0
62,page,nl,1,0,0,1
63,politionele actie,nl,1,0,0,1
64,primitief,nl,0,0,0,0
65,primitivisme,nl,1,0,0,1
66,pygmee,nl,1,1,0,2
67,queer,nl,1,0,0,1
68,ras,nl,1,1,0,2
69,roots,nl,0,0,0,0
70,slaaf,nl,1,1,0,2
71,stam,nl,1,0,0,1
72,traditioneel,nl,0,0,0,0
73,trans,nl,0,0,0,0
74,travestiet,nl,0,1,0,1
75,tweede wereld,nl,1,0,0,1
76,volbloed,nl,0,0,0,0
77,westers,nl,1,0,0,1
78,wit,nl,0,1,0,1
79,zigeuner,nl,1,0,0,1
80,zuid-rhodesië,nl,1,0,0,1
81,zwart,nl,1,2,0,3
