,lemma,lang,aat_pref,aat_alt,aat_scopeNote,aat_pref_comment,aat_alt_comment,aat_total
0,aboriginal,en,0,2,8,0,0,10
1,barbarian,en,0,4,1,0,0,5
2,batavia,en,1,2,1,0,0,4
3,berber,en,0,2,10,0,0,12
4,black,en,2,3,9,0,0,14
5,bombay,en,1,3,4,0,0,8
6,burma,en,0,0,10,0,0,10
7,calcutta,en,0,0,2,0,0,2
8,caucasian,en,6,6,8,0,0,20
9,colored,en,0,0,10,0,0,10
10,descent,en,0,0,10,0,0,10
11,developing nations,en,0,1,0,0,0,1
12,disabled,en,1,7,6,0,0,14
13,discover,en,0,0,7,0,0,7
14,dwarf,en,2,13,6,0,0,21
15,eskimo,en,4,14,7,0,0,25
16,ethnic groups,en,0,3,7,0,0,10
17,ethnicity,en,2,0,9,0,0,11
18,exotic,en,0,0,10,0,0,10
19,first world,en,0,1,10,0,0,11
20,footmen,en,0,0,1,0,0,1
21,gay,en,1,7,3,0,0,11
22,gypsy,en,0,4,4,0,0,8
23,handicap,en,0,0,4,0,0,4
24,hermaphrodite,en,1,1,1,0,0,3
25,homo,en,2,1,3,0,0,6
26,homosexual,en,2,5,1,0,0,8
27,hottentot,en,0,0,2,0,0,2
28,immigrant,en,2,1,8,0,0,11
29,indian,en,1,4,9,0,0,14
30,indigenous,en,1,4,9,0,0,14
31,indo,en,1,3,10,0,0,14
32,inuit,en,3,5,8,0,0,16
33,kaffir,en,0,1,0,0,0,1
34,madras,en,1,0,5,0,0,6
35,maroon,en,2,1,5,0,0,8
36,medicine man,en,0,1,0,0,0,1
37,mestizo,en,0,1,1,0,0,2
38,mohammedan,en,0,1,0,0,0,1
39,mongoloid,en,0,0,4,0,0,4
40,moor,en,1,1,8,0,0,10
41,mulatto,en,0,0,1,0,0,1
42,métis,en,1,0,6,0,0,7
43,native,en,1,4,9,1,0,15
44,negro,en,1,5,0,0,0,6
45,oriental,en,0,5,6,0,0,11
46,page,en,1,2,10,0,0,13
47,primitive,en,2,3,7,0,0,12
48,primitivism,en,1,2,3,0,0,6
49,pygmy,en,3,7,4,0,0,14
50,queer,en,0,1,0,0,0,1
51,race,en,0,3,8,0,0,11
52,retarded,en,1,3,0,0,0,4
53,second world,en,0,0,10,0,0,10
54,servant,en,4,5,8,0,0,17
55,slave,en,1,6,7,0,0,14
56,third world,en,0,1,2,0,0,3
57,traditional,en,1,2,9,0,0,12
58,trans,en,2,3,2,0,0,7
59,transvestite,en,0,1,1,0,0,2
60,tribe,en,1,0,8,0,1,10
61,western,en,0,0,10,0,0,10
62,white,en,1,0,10,0,0,11
