,query_term,lang,aat_pref,aat_alt,aat_scopeNote,aat_pref_comment,aat_alt_comment,aat_total
0,aboriginal,en,0,2,7,0,0,9
1,aboriginals,en,0,0,1,0,0,1
2,barbarian,en,0,4,1,0,0,5
3,batavia,en,1,2,1,0,0,4
4,berber,en,0,2,10,0,0,12
5,black,en,2,3,8,0,0,13
6,blacks,en,0,0,1,0,0,1
7,bombay,en,1,3,4,0,0,8
8,burma,en,0,0,10,0,0,10
9,calcutta,en,0,0,2,0,0,2
10,caucasian,en,6,6,8,0,0,20
11,colored,en,0,0,10,0,0,10
12,descent,en,0,0,10,0,0,10
13,developing nations,en,0,1,0,0,0,1
14,disabled,en,1,7,6,0,0,14
15,discover,en,0,0,7,0,0,7
16,dwarf,en,2,12,4,0,0,18
17,dwarfs,en,0,0,2,0,0,2
18,dwarves,en,0,1,0,0,0,1
19,eskimo,en,4,14,4,0,0,22
20,eskimos,en,0,0,3,0,0,3
21,ethnic group,en,0,3,3,0,0,6
22,ethnic groups,en,0,0,4,0,0,4
23,ethnicity,en,2,0,9,0,0,11
24,exotic,en,0,0,10,0,0,10
25,first world,en,0,1,10,0,0,11
26,footmen,en,0,0,1,0,0,1
27,gay,en,1,7,3,0,0,11
28,gypsies,en,0,0,3,0,0,3
29,gypsy,en,0,4,1,0,0,5
30,handicap,en,0,0,3,0,0,3
31,handicaps,en,0,0,1,0,0,1
32,hermaphrodite,en,0,0,1,0,0,1
33,hermaphrodites,en,1,1,0,0,0,2
34,homo,en,2,1,3,0,0,6
35,homosexual,en,0,4,1,0,0,5
36,homosexuals,en,2,1,0,0,0,3
37,hottentots,en,0,0,2,0,0,2
38,immigrants,en,2,1,8,0,0,11
39,indian,en,1,3,4,0,0,8
40,indians,en,0,1,5,0,0,6
41,indigenous,en,1,4,9,0,0,14
42,indo,en,1,3,10,0,0,14
43,inuit,en,3,5,8,0,0,16
44,kaffir,en,0,1,0,0,0,1
45,madras,en,1,0,5,0,0,6
46,maroon,en,2,1,5,0,0,8
47,medicine men,en,0,1,0,0,0,1
48,mestizo,en,0,1,1,0,0,2
49,metis,en,1,0,2,0,0,3
50,mohammedan,en,0,1,0,0,0,1
51,mongoloid,en,0,0,4,0,0,4
52,moor,en,0,1,4,0,0,5
53,moors,en,1,0,4,0,0,5
54,mulattos,en,0,0,1,0,0,1
55,métis,en,0,0,4,0,0,4
56,native,en,1,4,9,1,0,15
57,negro,en,1,5,0,0,0,6
58,oriental,en,0,4,6,0,0,10
59,orientals,en,0,1,0,0,0,1
60,page,en,0,0,7,0,0,7
61,pages,en,1,2,3,0,0,6
62,primitive,en,2,3,7,0,0,12
63,primitivism,en,1,2,3,0,0,6
64,pygmy,en,3,7,4,0,0,14
65,queer,en,0,1,0,0,0,1
66,race,en,0,1,7,0,0,8
67,races,en,0,2,1,0,0,3
68,retarded,en,1,3,0,0,0,4
69,second world,en,0,0,10,0,0,10
70,servant,en,0,0,1,0,0,1
71,servants,en,4,5,7,0,0,16
72,slave,en,1,4,0,0,0,5
73,slaves,en,0,2,7,0,0,9
74,third world,en,0,1,2,0,0,3
75,traditional,en,1,2,9,0,0,12
76,trans,en,2,3,2,0,0,7
77,transvestite,en,0,1,1,0,0,2
78,tribe,en,0,0,2,0,0,2
79,tribes,en,1,0,6,0,1,8
80,western,en,0,0,10,0,0,10
81,white,en,1,0,10,0,0,11
