,lemma,lang,aat_pref,aat_alt,aat_scopeNote,aat_pref_comment,aat_alt_comment,aat_total
0,aboriginal,nl,1,0,9,0,0,10
1,achterlijk,nl,0,2,0,0,0,2
2,afkomst,nl,0,0,10,0,0,10
3,batavia,nl,1,0,0,0,0,1
4,bediende,nl,1,0,9,0,0,10
5,berber,nl,1,0,7,0,0,8
6,birma,nl,0,0,10,0,0,10
7,blank,nl,1,0,9,0,0,10
8,bombay,nl,0,0,3,0,0,3
9,calcutta,nl,0,0,1,0,0,1
10,derde wereld,nl,0,0,2,0,0,2
11,dwerg,nl,2,1,1,0,0,4
12,eskimo,nl,5,0,4,0,0,9
13,etniciteit,nl,1,0,9,0,0,10
14,etnische groep,nl,1,0,9,0,0,10
15,gay,nl,1,1,1,0,0,3
16,gehandicapte,nl,3,0,7,0,0,10
17,gekleurd,nl,0,0,10,0,0,10
18,handicap,nl,0,0,7,0,0,7
19,hermafrodiet,nl,2,0,2,0,0,4
20,homo,nl,2,0,7,0,0,9
21,homoseksualiteit,nl,2,1,0,0,0,3
22,homoseksueel,nl,0,0,3,0,0,3
23,hottentot,nl,0,0,1,0,0,1
24,indiaan,nl,1,2,8,0,0,11
25,indisch,nl,1,0,9,0,0,10
26,indo,nl,1,0,10,0,0,11
27,inheems,nl,2,0,9,0,0,11
28,inuk,nl,0,0,5,0,0,5
29,islamiet,nl,0,0,1,0,0,1
30,kaukasisch,nl,3,1,0,0,0,4
31,knecht,nl,0,1,6,0,0,7
32,madras,nl,0,0,3,0,0,3
33,mohammedaan,nl,0,0,1,0,0,1
34,mongool,nl,5,0,7,0,0,12
35,moor,nl,2,0,9,0,0,11
36,mulat,nl,0,0,1,0,0,1
37,métis,nl,1,0,1,0,0,2
38,ontdekken,nl,0,0,9,0,0,9
39,ontwikkelingsland,nl,1,0,2,0,0,3
40,page,nl,1,1,0,0,0,2
41,primitief,nl,1,0,9,0,0,10
42,primitivisme,nl,1,0,3,0,0,4
43,pygmee,nl,2,0,3,0,0,5
44,ras,nl,2,0,8,0,0,10
45,slaaf,nl,1,0,9,0,0,10
46,stam,nl,1,0,10,0,0,11
47,trans,nl,1,0,0,0,0,1
48,travestiet,nl,0,0,2,0,0,2
49,westers,nl,3,2,9,0,0,14
50,wit,nl,1,1,9,0,0,11
51,zigeuner,nl,0,1,5,0,0,6
52,zwart,nl,0,0,10,0,0,10
