,query_term,lang,aat_pref,aat_alt,aat_scopeNote,aat_pref_comment,aat_alt_comment,aat_total
0,aboriginal,nl,1,0,2,0,0,3
1,aboriginals,nl,0,0,7,0,0,7
2,achterlijken,nl,0,1,0,0,0,1
3,achterlijkheid,nl,0,1,0,0,0,1
4,afkomst,nl,0,0,10,0,0,10
5,batavia,nl,1,0,0,0,0,1
6,bediend,nl,0,0,1,0,0,1
7,bediende,nl,0,0,2,0,0,2
8,bedienden,nl,1,0,6,0,0,7
9,berber,nl,0,0,1,0,0,1
10,berbers,nl,1,0,6,0,0,7
11,birma,nl,0,0,10,0,0,10
12,blanke,nl,1,0,9,0,0,10
13,bombay,nl,0,0,3,0,0,3
14,calcutta,nl,0,0,1,0,0,1
15,derde wereld,nl,0,0,2,0,0,2
16,dwerg,nl,1,1,1,0,0,3
17,dwergen,nl,1,0,0,0,0,1
18,eskimo,nl,5,0,2,0,0,7
19,eskimo's,nl,0,0,2,0,0,2
20,etniciteit,nl,1,0,9,0,0,10
21,etnische groep,nl,0,0,8,0,0,8
22,etnische groepen,nl,1,0,1,0,0,2
23,gay,nl,1,1,1,0,0,3
24,gehandicapte,nl,0,0,1,0,0,1
25,gehandicapten,nl,3,0,6,0,0,9
26,gekleurd,nl,0,0,5,0,0,5
27,gekleurde,nl,0,0,5,0,0,5
28,handicap,nl,0,0,5,0,0,5
29,handicaps,nl,0,0,2,0,0,2
30,hermafrodiet,nl,1,0,2,0,0,3
31,hermafrodieten,nl,1,0,0,0,0,1
32,homo,nl,2,0,7,0,0,9
33,homoseksualiteit,nl,2,1,0,0,0,3
34,homoseksueel,nl,0,0,1,0,0,1
35,homoseksuele,nl,0,0,1,0,0,1
36,homoseksuelen,nl,0,0,1,0,0,1
37,hottentotten,nl,0,0,1,0,0,1
38,indiaans,nl,1,2,2,0,0,5
39,indianen,nl,0,0,6,0,0,6
40,indisch,nl,1,0,0,0,0,1
41,indische,nl,0,0,9,0,0,9
42,indo,nl,1,0,10,0,0,11
43,inheems,nl,0,0,1,0,0,1
44,inheemse,nl,2,0,8,0,0,10
45,inuit,nl,0,0,5,0,0,5
46,islamieten,nl,0,0,1,0,0,1
47,kaukasisch,nl,2,0,0,0,0,2
48,kaukasische,nl,1,1,0,0,0,2
49,knecht,nl,0,0,1,0,0,1
50,knechten,nl,0,1,5,0,0,6
51,madras,nl,0,0,3,0,0,3
52,metis,nl,1,0,1,0,0,2
53,mohammedanen,nl,0,0,1,0,0,1
54,mongolen,nl,2,0,4,0,0,6
55,mongools,nl,3,0,3,0,0,6
56,moor,nl,0,0,2,0,0,2
57,moors,nl,2,0,4,0,0,6
58,moren,nl,0,0,3,0,0,3
59,mulatten,nl,0,0,1,0,0,1
60,ontdekken,nl,0,0,9,0,0,9
61,ontwikkelingslanden,nl,1,0,2,0,0,3
62,page,nl,1,1,0,0,0,2
63,primitief,nl,0,0,1,0,0,1
64,primitieve,nl,1,0,7,0,0,8
65,primitiever,nl,0,0,1,0,0,1
66,primitivisme,nl,1,0,3,0,0,4
67,pygmee,nl,1,0,2,0,0,3
68,pygmeeën,nl,1,0,1,0,0,2
69,ras,nl,2,0,6,0,0,8
70,rassen,nl,0,0,2,0,0,2
71,slaaf,nl,0,0,2,0,0,2
72,slaven,nl,1,0,7,0,0,8
73,stam,nl,0,0,2,0,0,2
74,stammen,nl,1,0,8,0,0,9
75,trans,nl,1,0,0,0,0,1
76,travestieten,nl,0,0,2,0,0,2
77,westerse,nl,3,2,9,0,0,14
78,wit,nl,0,0,4,0,0,4
79,witte,nl,1,1,5,0,0,7
80,zigeuner,nl,0,0,1,0,0,1
81,zigeuners,nl,0,1,4,0,0,5
82,zwart,nl,0,0,4,0,0,4
83,zwarte,nl,0,0,6,0,0,6
