,lemma,lang,odwn_le,odwn_sense_def,odwn_synset_def,odwn_sense_ex,odwn_total
0,aboriginal,nl,1,0,0,0,1
1,achterlijk,nl,3,0,0,0,3
2,afkomst,nl,3,5,5,9,22
3,allochtoon,nl,1,0,0,5,6
4,baboe,nl,1,0,0,0,1
5,barbaar,nl,3,0,0,2,5
6,bediende,nl,2,1,1,10,14
7,berber,nl,2,0,0,0,2
8,birma,nl,2,0,0,1,3
9,blank,nl,1,1,1,8,11
10,bosneger,nl,1,0,0,0,1
11,derde wereld,nl,0,1,1,4,6
12,dwerg,nl,1,0,0,2,3
13,eskimo,nl,1,0,0,1,2
14,etniciteit,nl,1,0,0,0,1
15,etnische groep,nl,0,0,0,1,1
16,gay,nl,1,0,0,0,1
17,gehandicapte,nl,0,2,1,12,15
18,gekleurd,nl,0,4,3,6,13
19,halfbloed,nl,3,0,0,0,3
20,handicap,nl,5,2,2,9,18
21,hermafrodiet,nl,2,0,0,0,2
22,homo,nl,1,2,2,8,13
23,homoseksualiteit,nl,2,0,0,0,2
24,homoseksueel,nl,1,3,2,2,8
25,inboorling,nl,1,0,0,1,2
26,indiaan,nl,1,2,2,7,12
27,indisch,nl,0,4,3,7,14
28,indo,nl,0,1,1,0,2
29,inheems,nl,0,1,1,2,4
30,inlander,nl,0,0,0,1,1
31,inuk,nl,1,0,0,0,1
32,islamiet,nl,1,1,0,1,3
33,jap,nl,1,0,0,0,1
34,jappenkamp,nl,1,1,0,1,3
35,kaffer,nl,2,0,0,1,3
36,kaukasisch,nl,1,0,0,0,1
37,knecht,nl,3,3,2,2,10
38,koelie,nl,2,0,0,0,2
39,koppensneller,nl,1,0,0,0,1
40,lilliputter,nl,1,0,0,0,1
41,medicijnman,nl,1,0,0,0,1
42,mesties,nl,1,0,0,0,1
43,mohammedaan,nl,1,3,2,0,6
44,mongool,nl,2,0,0,0,2
45,moor,nl,3,0,0,1,4
46,mulat,nl,2,0,0,0,2
47,neger,nl,2,5,4,1,12
48,ontdekken,nl,4,3,2,14,23
49,ontwikkelingsland,nl,1,3,3,3,10
50,page,nl,2,0,0,0,2
51,politionele actie,nl,0,0,0,1,1
52,primitief,nl,0,3,4,1,8
53,pygmee,nl,0,0,0,1,1
54,ras,nl,2,8,8,3,21
55,slaaf,nl,4,3,4,5,16
56,stam,nl,1,1,2,11,15
57,trans,nl,2,0,0,1,3
58,travestiet,nl,1,0,0,0,1
59,westers,nl,0,1,0,9,10
60,wit,nl,0,1,1,8,10
61,zigeuner,nl,0,2,2,2,6
62,zwart,nl,3,3,3,7,16
