,lemma,lang,pwn_le,pwn_def,pwn_ex,pwn_total
0,aboriginal,en,3,3,3,9
1,barbarian,en,3,2,2,7
2,berber,en,3,6,0,9
3,black,en,2,6,5,13
4,bombay,en,1,1,1,3
5,burma,en,1,9,0,10
6,calcutta,en,1,4,1,6
7,caucasian,en,3,8,1,12
8,colored,en,3,6,3,12
9,coolie,en,1,0,0,1
10,descent,en,3,7,0,10
11,developing nations,en,0,1,1,2
12,disabled,en,2,6,3,11
13,discover,en,7,4,1,12
14,dwarf,en,2,6,3,11
15,eskimo,en,2,8,2,12
16,ethnic groups,en,0,9,1,10
17,ethnicity,en,1,1,1,3
18,exotic,en,2,4,8,14
19,first world,en,0,0,2,2
20,footmen,en,1,1,1,3
21,gay,en,3,2,7,12
22,gypsy,en,3,5,3,11
23,half-breed,en,2,0,0,2
24,handicap,en,6,3,1,10
25,headhunter,en,1,0,0,1
26,hermaphrodite,en,2,1,0,3
27,homo,en,2,3,1,6
28,homosexual,en,2,8,0,10
29,hottentot,en,1,0,0,1
30,immigrant,en,1,4,5,10
31,indian,en,2,8,3,13
32,indigenous,en,1,8,2,11
33,indo,en,0,10,0,10
34,inuit,en,1,2,1,4
35,kaffir,en,2,0,0,2
36,lilliputian,en,4,1,3,8
37,madras,en,2,3,0,5
38,maroon,en,4,5,1,10
39,medicine man,en,0,1,0,1
40,mestizo,en,1,0,1,2
41,mohammedan,en,2,0,0,2
42,mongoloid,en,5,1,1,7
43,moor,en,2,8,0,10
44,mulatto,en,1,1,0,2
45,métis,en,1,0,0,1
46,native,en,2,7,4,13
47,negro,en,2,3,2,7
48,oriental,en,1,7,3,11
49,page,en,2,1,7,10
50,primitive,en,4,4,5,13
51,primitivism,en,2,0,0,2
52,pygmy,en,2,3,0,5
53,queer,en,5,0,4,9
54,race,en,1,7,2,10
55,retarded,en,2,4,5,11
56,second world,en,0,0,1,1
57,servant,en,1,6,3,10
58,slave,en,1,5,7,13
59,third world,en,0,0,1,1
60,traditional,en,2,8,3,13
61,trans,en,0,1,0,1
62,transvestite,en,2,0,0,2
63,tribe,en,1,9,0,10
64,western,en,1,8,4,13
65,white,en,1,5,7,13
