,query_term,lang,pwn_le,pwn_def,pwn_ex,pwn_total
0,aboriginal,en,3,3,3,9
1,barbarian,en,3,2,1,6
2,barbarians,en,0,0,1,1
3,berber,en,2,5,0,7
4,berbers,en,1,1,0,2
5,black,en,2,6,5,13
6,bombay,en,1,1,1,3
7,burma,en,1,9,0,10
8,calcutta,en,1,4,1,6
9,caucasian,en,3,8,1,12
10,colored,en,3,6,3,12
11,coolie,en,1,0,0,1
12,descent,en,3,7,0,10
13,developing nations,en,0,1,1,2
14,disabled,en,2,6,3,11
15,discover,en,7,4,1,12
16,dwarf,en,2,6,3,11
17,eskimo,en,2,6,1,9
18,eskimos,en,0,2,1,3
19,ethnic group,en,0,7,1,8
20,ethnic groups,en,0,2,0,2
21,ethnicity,en,1,1,1,3
22,exotic,en,2,4,8,14
23,first world,en,0,0,2,2
24,footman,en,1,1,0,2
25,footmen,en,0,0,1,1
26,gay,en,3,2,7,12
27,gypsies,en,0,3,3,6
28,gypsy,en,3,2,0,5
29,half-breed,en,2,0,0,2
30,handicap,en,6,2,1,9
31,handicaps,en,0,1,0,1
32,headhunter,en,1,0,0,1
33,hermaphrodite,en,2,1,0,3
34,homo,en,2,3,1,6
35,homosexual,en,2,7,0,9
36,homosexuals,en,0,1,0,1
37,hottentot,en,1,0,0,1
38,immigrant,en,1,1,0,2
39,immigrants,en,0,3,5,8
40,indian,en,2,7,3,12
41,indians,en,0,1,0,1
42,indigenous,en,1,8,2,11
43,indo,en,0,10,0,10
44,inuit,en,1,2,1,4
45,kaffir,en,2,0,0,2
46,lilliputian,en,4,1,3,8
47,madras,en,2,3,0,5
48,maroon,en,4,5,1,10
49,medicine man,en,0,1,0,1
50,mestizo,en,1,0,0,1
51,mestizos,en,0,0,1,1
52,metis,en,1,0,0,1
53,mohammedan,en,2,0,0,2
54,mongoloid,en,5,1,1,7
55,moor,en,2,2,0,4
56,moors,en,0,6,0,6
57,mulatto,en,1,1,0,2
58,native,en,2,7,3,12
59,natives,en,0,0,1,1
60,negro,en,2,3,1,6
61,negroes,en,0,0,1,1
62,oriental,en,1,7,3,11
63,page,en,2,0,4,6
64,pages,en,0,1,3,4
65,primitive,en,4,4,5,13
66,primitivism,en,2,0,0,2
67,pygmy,en,2,3,0,5
68,queer,en,5,0,4,9
69,race,en,1,4,1,6
70,races,en,0,3,1,4
71,retarded,en,2,4,5,11
72,second world,en,0,0,1,1
73,servant,en,1,4,1,6
74,servants,en,0,2,2,4
75,slave,en,1,2,3,6
76,slaves,en,0,3,4,7
77,third world,en,0,0,1,1
78,traditional,en,2,8,3,13
79,trans,en,0,1,0,1
80,transvestite,en,2,0,0,2
81,tribe,en,1,3,0,4
82,tribes,en,0,6,0,6
83,western,en,1,8,4,13
84,white,en,1,2,7,10
85,whites,en,0,3,0,3
