,lemma,lang,wd_pref,wd_aliases,wd_descr,wd_total
0,aboriginal,en,2,6,4,12
1,allochtoon,en,1,0,0,1
2,barbarian,en,5,6,1,12
3,batavia,en,6,0,7,13
4,berber,en,7,5,5,17
5,black,en,7,7,4,18
6,bombay,en,5,6,1,12
7,burma,en,3,18,3,24
8,calcutta,en,4,9,0,13
9,caucasian,en,5,3,2,10
10,colored,en,1,4,7,12
11,coolie,en,8,1,2,11
12,descent,en,7,1,5,13
13,developing nations,en,7,0,3,10
14,disabled,en,3,10,3,16
15,discover,en,8,0,2,10
16,dwarf,en,5,3,5,13
17,eskimo,en,6,1,5,12
18,ethnic groups,en,4,1,7,12
19,ethnicity,en,3,0,7,10
20,exotic,en,6,1,5,12
21,first world,en,7,2,4,13
22,footmen,en,8,0,2,10
23,gay,en,4,10,6,20
24,gypsy,en,6,5,1,12
25,half-breed,en,10,0,0,10
26,handicap,en,4,6,3,13
27,headhunter,en,1,1,2,4
28,hermaphrodite,en,5,2,4,11
29,homo,en,3,2,5,10
30,homosexual,en,3,3,4,10
31,hottentot,en,8,2,1,11
32,immigrant,en,4,6,3,13
33,indian,en,2,15,1,18
34,indigenous,en,6,9,4,19
35,indo,en,4,5,8,17
36,inuit,en,5,1,6,12
37,kaffir,en,2,4,1,7
38,lilliputian,en,2,2,0,4
39,madras,en,6,7,1,14
40,maroon,en,7,3,2,12
41,medicine man,en,7,1,2,10
42,mestizo,en,7,1,2,10
43,mohammedan,en,10,1,0,11
44,mongoloid,en,7,2,1,10
45,moor,en,8,0,2,10
46,mulatto,en,9,1,1,11
47,métis,en,3,4,3,10
48,native,en,3,6,5,14
49,negro,en,5,11,0,16
50,oriental,en,5,11,1,17
51,page,en,7,1,3,11
52,primitive,en,7,1,5,13
53,primitivism,en,10,1,0,11
54,pygmy,en,7,0,4,11
55,queer,en,4,9,3,16
56,race,en,2,11,5,18
57,retarded,en,5,3,2,10
58,second world,en,8,2,2,12
59,servant,en,5,7,2,14
60,slave,en,3,7,3,13
61,southern rhodesia,en,10,1,0,11
62,third world,en,7,1,2,10
63,traditional,en,5,2,5,12
64,trans,en,3,29,1,33
65,transvestite,en,4,1,5,10
66,tribe,en,5,15,3,23
67,western,en,4,5,5,14
68,white,en,4,5,7,16
