,query_term,lang,wd_pref,wd_aliases,wd_descr,wd_total
0,aboriginal,en,2,5,4,11
1,aboriginals,en,0,1,0,1
2,allochtoon,en,1,0,0,1
3,barbarian,en,2,3,0,5
4,barbarians,en,3,3,1,7
5,batavia,en,6,0,7,13
6,berber,en,4,5,5,14
7,berbers,en,3,0,0,3
8,black,en,7,6,4,17
9,blacks,en,0,1,0,1
10,bombay,en,5,6,1,12
11,burma,en,3,18,3,24
12,calcutta,en,4,9,0,13
13,caucasian,en,5,3,2,10
14,colored,en,1,4,7,12
15,coolie,en,7,1,1,9
16,coolies,en,1,0,1,2
17,descent,en,7,1,5,13
18,developing nation,en,1,0,0,1
19,developing nations,en,6,0,3,9
20,disabled,en,3,10,3,16
21,discover,en,8,0,2,10
22,dwarf,en,5,3,4,12
23,dwarfs,en,0,0,1,1
24,eskimo,en,6,1,5,12
25,ethnic group,en,2,0,5,7
26,ethnic groups,en,2,1,2,5
27,ethnicity,en,3,0,7,10
28,exotic,en,6,1,5,12
29,first world,en,7,2,4,13
30,footman,en,6,0,1,7
31,footmen,en,2,0,1,3
32,gay,en,4,10,6,20
33,gypsies,en,1,2,0,3
34,gypsy,en,5,3,1,9
35,half-breed,en,10,0,0,10
36,handicap,en,3,2,3,8
37,handicaps,en,1,4,0,5
38,headhunter,en,0,1,1,2
39,headhunters,en,1,0,1,2
40,hermaphrodite,en,5,2,4,11
41,homo,en,2,2,5,9
42,homos,en,1,0,0,1
43,homosexual,en,3,1,4,8
44,homosexuals,en,0,2,0,2
45,hottentot,en,4,1,0,5
46,hottentots,en,4,1,1,6
47,immigrant,en,3,5,2,10
48,immigrants,en,1,1,1,3
49,indian,en,0,2,1,3
50,indians,en,2,13,0,15
51,indigenous,en,6,9,4,19
52,indo,en,4,5,8,17
53,inuit,en,5,0,6,11
54,inuits,en,0,1,0,1
55,kaffir,en,2,3,1,6
56,kaffirs,en,0,1,0,1
57,lilliputian,en,1,2,0,3
58,lilliputians,en,1,0,0,1
59,madras,en,6,7,1,14
60,maroon,en,3,0,1,4
61,maroons,en,4,3,1,8
62,medicine man,en,5,1,2,8
63,medicine men,en,2,0,0,2
64,mestizo,en,4,0,2,6
65,mestizos,en,3,1,0,4
66,metis,en,1,4,0,5
67,mohammedan,en,8,1,0,9
68,mohammedans,en,2,0,0,2
69,mongoloid,en,7,2,1,10
70,moor,en,6,0,1,7
71,moors,en,2,0,1,3
72,mulatto,en,8,1,0,9
73,mulattoes,en,0,0,1,1
74,mulattos,en,1,0,0,1
75,métis,en,2,0,3,5
76,native,en,3,6,5,14
77,negro,en,5,9,0,14
78,negroes,en,0,2,0,2
79,oriental,en,5,11,1,17
80,page,en,2,1,1,4
81,pages,en,5,0,2,7
82,primitive,en,7,1,5,13
83,primitivism,en,10,1,0,11
84,pygmy,en,7,0,4,11
85,queer,en,4,9,3,16
86,race,en,1,9,4,14
87,races,en,1,2,1,4
88,retarded,en,5,3,2,10
89,second world,en,8,2,2,12
90,servant,en,4,6,0,10
91,servants,en,1,1,2,4
92,slave,en,2,5,0,7
93,slaves,en,1,2,3,6
94,southern rhodesia,en,10,1,0,11
95,third world,en,7,1,2,10
96,traditional,en,5,2,5,12
97,trans,en,3,29,1,33
98,transvestite,en,3,0,5,8
99,transvestites,en,1,1,0,2
100,tribe,en,3,15,2,20
101,tribes,en,2,0,1,3
102,western,en,4,5,5,14
103,white,en,4,4,6,14
104,whites,en,0,1,1,2
