,lemma,lang,wd_pref,wd_aliases,wd_descr,wd_total
0,aboriginal,nl,4,2,4,10
1,achterlijk,nl,1,0,0,1
2,afkomst,nl,2,4,4,10
3,allochtoon,nl,5,1,0,6
4,baboe,nl,2,1,0,3
5,barbaar,nl,5,1,0,6
6,batavia,nl,6,4,4,14
7,bediende,nl,3,1,6,10
8,berber,nl,10,1,0,11
9,birma,nl,9,1,0,10
10,blank,nl,7,0,4,11
11,bombay,nl,1,3,7,11
12,boslandcreool,nl,0,1,0,1
13,bosneger,nl,0,1,0,1
14,calcutta,nl,2,0,8,10
15,derde wereld,nl,5,0,0,5
16,dwerg,nl,9,1,0,10
17,eerste wereld,nl,1,0,0,1
18,eskimo,nl,8,0,2,10
19,etniciteit,nl,2,2,7,11
20,etnische groep,nl,3,0,7,10
21,gay,nl,6,5,0,11
22,gehandicapte,nl,7,4,0,11
23,gekleurd,nl,6,0,4,10
24,halfbloed,nl,1,0,0,1
25,handicap,nl,6,2,3,11
26,hermafrodiet,nl,3,1,0,4
27,homo,nl,3,4,5,12
28,homoseksualiteit,nl,9,0,2,11
29,homoseksueel,nl,4,3,3,10
30,hottentot,nl,0,1,0,1
31,indiaan,nl,5,3,2,10
32,indisch,nl,5,4,2,11
33,indo,nl,6,7,4,17
34,inheems,nl,5,5,3,13
35,inlander,nl,3,1,0,4
36,inuk,nl,7,2,1,10
37,islamiet,nl,0,1,0,1
38,jap,nl,8,1,0,9
39,jappenkamp,nl,2,1,2,5
40,kaffer,nl,1,0,0,1
41,kaukasisch,nl,5,8,2,15
42,knecht,nl,8,3,1,12
43,koelie,nl,2,0,0,2
44,lagelonenland,nl,1,0,0,1
45,lilliputter,nl,0,1,0,1
46,madras,nl,1,1,8,10
47,marron,nl,7,2,1,10
48,medicijnman,nl,5,1,2,8
49,mesties,nl,1,1,0,2
50,mohammedaan,nl,1,1,0,2
51,mongool,nl,9,3,0,12
52,moor,nl,9,0,1,10
53,mulat,nl,0,1,0,1
54,métis,nl,6,1,1,8
55,neger,nl,7,3,0,10
56,ontdekken,nl,6,0,1,7
57,ontwikkelingsland,nl,1,3,5,9
58,page,nl,3,5,2,10
59,politionele actie,nl,3,1,0,4
60,primitief,nl,6,2,3,11
61,primitivisme,nl,1,1,0,2
62,pygmee,nl,3,0,0,3
63,queer,nl,9,0,1,10
64,ras,nl,7,2,3,12
65,slaaf,nl,5,2,5,12
66,stam,nl,3,4,4,11
67,trans,nl,9,0,1,10
68,travestiet,nl,0,1,1,2
69,tweede wereld,nl,2,1,0,3
70,westers,nl,6,0,4,10
71,wit,nl,6,5,0,11
72,zigeuner,nl,6,5,0,11
73,zuid-rhodesië,nl,6,0,4,10
74,zwart,nl,5,5,3,13
