,query_term,lang,wd_pref,wd_aliases,wd_descr,wd_total
0,aboriginal,nl,3,0,2,5
1,aboriginals,nl,1,2,2,5
2,achterlijk,nl,1,0,0,1
3,afkomst,nl,2,4,4,10
4,allochtone,nl,2,0,0,2
5,allochtonen,nl,1,0,0,1
6,allochtoon,nl,2,1,0,3
7,baboe,nl,2,1,0,3
8,barbaar,nl,3,0,0,3
9,barbaren,nl,2,1,0,3
10,batavia,nl,6,4,4,14
11,bediende,nl,0,1,6,7
12,bedienden,nl,3,0,0,3
13,berber,nl,5,1,0,6
14,berbers,nl,5,0,0,5
15,birma,nl,9,1,0,10
16,blank,nl,2,0,2,4
17,blanke,nl,3,0,0,3
18,blanken,nl,2,0,2,4
19,bombay,nl,1,3,7,11
20,boslandcreool,nl,0,1,0,1
21,bosnegers,nl,0,1,0,1
22,calcutta,nl,2,0,8,10
23,derde wereld,nl,5,0,0,5
24,dwerg,nl,7,1,0,8
25,dwergen,nl,2,0,0,2
26,eerste wereld,nl,1,0,0,1
27,eskimo,nl,5,0,1,6
28,eskimo's,nl,3,0,1,4
29,etniciteit,nl,2,2,7,11
30,etnische groep,nl,2,0,7,9
31,etnische groepen,nl,1,0,0,1
32,gay,nl,6,5,0,11
33,gehandicapte,nl,1,3,0,4
34,gehandicapten,nl,6,1,0,7
35,gekleurd,nl,1,0,1,2
36,gekleurde,nl,5,0,3,8
37,halfbloed,nl,1,0,0,1
38,handicap,nl,6,2,3,11
39,hermafrodiet,nl,3,1,0,4
40,homo,nl,3,4,5,12
41,homoseksualiteit,nl,9,0,2,11
42,homoseksueel,nl,1,2,2,5
43,homoseksuele,nl,3,1,1,5
44,hottentotten,nl,0,1,0,1
45,indiaans,nl,0,1,0,1
46,indianen,nl,5,2,2,9
47,indisch,nl,0,3,0,3
48,indische,nl,5,1,2,8
49,indo,nl,6,6,4,16
50,indo's,nl,0,1,0,1
51,inheemse,nl,5,5,3,13
52,inlander,nl,1,1,0,2
53,inlanders,nl,2,0,0,2
54,inuit,nl,6,2,1,9
55,inuk,nl,1,0,0,1
56,islamieten,nl,0,1,0,1
57,jap,nl,8,1,0,9
58,jappenkamp,nl,2,0,2,4
59,jappenkampen,nl,0,1,0,1
60,kaffer,nl,1,0,0,1
61,kaukasisch,nl,0,0,2,2
62,kaukasische,nl,5,8,0,13
63,knecht,nl,8,3,1,12
64,koelie,nl,1,0,0,1
65,koelies,nl,1,0,0,1
66,lagelonenland,nl,1,0,0,1
67,lilliputter,nl,0,1,0,1
68,madras,nl,1,1,8,10
69,marron,nl,2,2,1,5
70,marrons,nl,5,0,0,5
71,medicijnman,nl,5,1,2,8
72,mesties,nl,1,0,0,1
73,mestiezen,nl,0,1,0,1
74,metis,nl,5,0,0,5
75,mohammedanen,nl,1,1,0,2
76,mongolen,nl,6,1,0,7
77,mongools,nl,3,2,0,5
78,moor,nl,8,0,0,8
79,moren,nl,1,0,1,2
80,mulatten,nl,0,1,0,1
81,métis,nl,1,1,1,3
82,neger,nl,6,1,0,7
83,negers,nl,1,2,0,3
84,ontdekken,nl,6,0,1,7
85,ontwikkelingsland,nl,0,0,1,1
86,ontwikkelingslanden,nl,1,3,4,8
87,page,nl,2,0,0,2
88,pages,nl,1,5,2,8
89,politionele actie,nl,2,1,0,3
90,politionele acties,nl,1,0,0,1
91,primitief,nl,2,2,0,4
92,primitieve,nl,4,0,3,7
93,primitivisme,nl,1,1,0,2
94,pygmeeën,nl,3,0,0,3
95,queer,nl,9,0,1,10
96,ras,nl,7,2,3,12
97,slaaf,nl,2,1,3,6
98,slaven,nl,3,1,2,6
99,stam,nl,2,3,3,8
100,stammen,nl,1,1,1,3
101,trans,nl,9,0,1,10
102,travestiet,nl,0,1,1,2
103,tweede wereld,nl,2,1,0,3
104,wester,nl,1,0,0,1
105,westerse,nl,5,0,4,9
106,wit,nl,3,2,0,5
107,witte,nl,3,3,0,6
108,zigeuner,nl,1,1,0,2
109,zigeuners,nl,5,4,0,9
110,zuid-rhodesië,nl,6,0,4,10
111,zwart,nl,1,3,2,6
112,zwarte,nl,3,2,1,6
113,zwarten,nl,1,0,0,1
