term,mean_rm,mean_wm
aboriginal,0.7196342336849351,0.712178103320847
aboriginals,nan,nan
achterlijk,nan,nan
achterlijke,0.48970142836444075,0.5201570628365353
achterlijken,nan,nan
achterlijker,nan,nan
achterlijkere,nan,nan
achterlijkheid,0.841022311209285,0.5639182758293748
achterlijks,nan,nan
achterlijkst,nan,nan
achterlijkste,nan,nan
afkomst,0.8278908604360491,0.6262003223309759
afkomsten,nan,nan
allochtone,nan,nan
allochtonen,0.7574765485538982,0.7137439344571498
allochtoner,nan,nan
allochtonere,nan,nan
allochtoon,0.8207727854557784,0.6937394880971595
allochtoons,nan,nan
allochtoonst,nan,nan
allochtoonste,nan,nan
baboe,0.534999851885027,0.30169873550935467
baboes,nan,nan
barbaar,0.8813843238967134,0.5257713101627367
barbaren,0.8002503078757672,0.5813547677925703
batavia,0.3861799176712377,0.5371068602079204
bediend,0.5353762028591698,0.4704044032045735
bediende,0.6484702396125895,0.5169616773136096
bedienden,nan,nan
bediendes,nan,nan
berber,0.5508196393906408,0.49251631061205037
berbers,0.7907735117689395,0.6097488167347948
birma,0.6998363927763543,0.5325177335732068
blank,0.7207385558088596,0.7238397535787728
blanke,0.6606716848818718,0.5633833516872984
blanken,0.868368627181813,0.7520991198468567
blanker,nan,nan
blankere,nan,nan
blanks,nan,nan
blankst,nan,nan
blankste,nan,nan
bombay,0.2642766709114435,0.17682099677858604
boslandcreolen,nan,nan
boslandcreool,nan,nan
bosneger,0.7276477828082207,0.6330594862446115
bosnegers,nan,nan
calcutta,0.4401779237903156,0.37290552127370286
derde wereld,0.711963066582011,0.7089359754977066
dwerg,0.5583467213793817,0.37703088669761603
dwergen,0.6210167675945231,0.4308512398092697
eerste wereld,nan,nan
eskimo,0.45968859730287975,0.48845288702427525
eskimo's,0.4851007981240972,0.4738844998622165
etniciteit,0.8070785092281949,0.8290908569888068
etniciteiten,nan,nan
etnische groep,nan,nan
etnische groepen,0.8352394456776826,0.7475498680515253
exotisch,0.0,0.6480632797664361
exotische,0.0,0.6929242462289977
exotischer,nan,nan
exotischere,nan,nan
gay,0.9494424190759884,0.8424867291517517
gaye,nan,nan
gayer,nan,nan
gays,nan,nan
gayst,nan,nan
gayste,nan,nan
gehandicapte,0.7042485807523755,0.6740196020671223
gehandicapten,0.7593883234978321,0.6710213903841735
gekleurd,0.5982423345588749,0.6212059740080997
gekleurde,0.6346192398172259,0.6282791798941662
gekleurder,nan,nan
gekleurdere,nan,nan
gekleurds,nan,nan
gekleurdst,nan,nan
gekleurdste,nan,nan
halfbloed,0.684247529787965,0.6078236454488017
halfbloeden,nan,nan
handicap,0.8986057267121353,0.8022606477432926
handicaps,0.8126042656793347,0.7147804120318599
hermafrodiet,0.632018765656051,0.5303235801233528
hermafrodieten,nan,nan
homo,0.8000920599405608,0.7376912164617632
homo's,0.7676257820870918,0.7504622365179839
homoseksualiteit,0.8958883798577866,0.72329309332878
homoseksueel,0.9037027727730959,0.5954594017554922
homoseksueels,nan,nan
homoseksueelst,nan,nan
homoseksueelste,nan,nan
homoseksuele,0.853431222353661,0.6055775911466272
homoseksuelen,0.6292708020426133,0.5667656739617309
homoseksueler,nan,nan
homoseksuelere,nan,nan
hottentot,0.0,0.0
hottentotten,nan,nan
inboorling,0.84772337509905,0.736119988639083
inboorlingen,1.0,0.736477916175623
indiaan,0.5354991526153527,0.5592920932946303
indiaans,0.5359167360206807,0.5643480002497923
indianen,0.6578637730995236,0.6480588957478026
indisch,0.57388084727278,0.5830781067614763
indische,0.5830138946757499,0.6020799193194118
indischer,nan,nan
indischere,nan,nan
indo,0.6741643741673518,0.6830406354767753
indo's,nan,nan
inheems,nan,nan
inheemse,0.5691756013214416,0.6434091065165258
inheemser,nan,nan
inheemsere,nan,nan
