,term,overlap_wd,overlap_aat,odwn_overlap
0,aboriginal,0.8,1.0,1.0
1,aboriginals,1.0,0.8,
2,achterlijk,1.0,,
3,afkomst,0.3,0.5,1.0
4,allochtone,1.0,,
5,allochtonen,1.0,,1.0
6,allochtoon,1.0,,1.0
7,baboe,1.0,,1.0
8,barbaar,1.0,,1.0
9,barbaren,1.0,,1.0
10,batavia,0.3,1.0,1.0
11,bediend,1.0,0.4,1.0
12,bediende,0.0,0.8,0.9
13,bedienden,0.7,0.6,
14,berber,0.8,1.0,1.0
15,berbers,1.0,1.0,1.0
16,birma,0.2,0.9,1.0
17,blank,0.6,1.0,1.0
18,blanke,1.0,0.6,0.9
19,blanken,0.9,1.0,1.0
20,blanker,1.0,,
21,blanks,1.0,,
22,bombay,0.3,1.0,1.0
23,boslandcreool,1.0,,
24,bosneger,1.0,,1.0
25,bosnegers,1.0,,
26,calcutta,0.2,1.0,1.0
27,derde wereld,1.0,1.0,1.0
28,dwerg,0.8,1.0,1.0
29,dwergen,0.9,1.0,1.0
30,eerste wereld,1.0,,
31,eskimo,0.9,1.0,1.0
32,eskimo's,1.0,1.0,1.0
33,etniciteit,0.9,0.9,1.0
34,etnische groep,0.6,0.5,
35,etnische groepen,1.0,1.0,1.0
36,exotisch,0.3,1.0,1.0
37,exotische,0.4,1.0,1.0
38,exotischer,1.0,,
39,gay,0.9,1.0,1.0
40,gaye,0.7,,
41,gayer,1.0,,
42,gays,1.0,,
43,gehandicapte,1.0,1.0,1.0
44,gehandicapten,0.8,1.0,1.0
45,gekleurd,1.0,0.6,1.0
46,gekleurde,0.8,0.2,1.0
47,halfbloed,1.0,,1.0
48,handicap,0.9,1.0,1.0
49,handicaps,1.0,1.0,1.0
50,hermafrodiet,1.0,1.0,1.0
51,homo,0.6,1.0,1.0
52,homo's,1.0,,1.0
53,homoseksualiteit,0.7,1.0,1.0
54,homoseksueel,1.0,1.0,1.0
55,homoseksuele,1.0,1.0,1.0
56,homoseksuelen,1.0,1.0,1.0
57,hottentot,1.0,,1.0
58,hottentotten,1.0,1.0,
59,inboorling,1.0,,1.0
60,indiaan,0.0,1.0,1.0
61,indiaans,1.0,1.0,1.0
62,indianen,0.8,0.5,1.0
63,indisch,0.6,1.0,1.0
64,indische,0.3,1.0,1.0
65,indischer,1.0,,
66,indo,0.7,0.7,1.0
67,indo's,1.0,,
68,inheems,0.4,0.1,
69,inheemse,0.0,0.1,1.0
70,inlander,1.0,,1.0
71,inlanders,1.0,,1.0
72,inuit,1.0,1.0,1.0
73,inuk,1.0,,
74,islamiet,1.0,,1.0
75,islamieten,1.0,1.0,1.0
76,jap,0.3,,1.0
77,jappen,1.0,,
78,jappenkamp,1.0,,1.0
79,jappenkampen,1.0,,1.0
80,japs,1.0,,
81,kaffer,1.0,,1.0
82,kaffers,1.0,,
83,kaukasisch,0.8,1.0,
84,kaukasische,1.0,1.0,1.0
85,knecht,0.3,1.0,1.0
86,knechten,1.0,1.0,1.0
87,knechts,1.0,,
88,koelie,1.0,,1.0
89,koelies,1.0,,
90,koppensnellers,1.0,,
91,lagelonenland,1.0,,
92,lilliputter,1.0,,1.0
93,madras,0.3,1.0,1.0
94,marron,0.9,,
95,marrons,0.9,,
96,medicijnman,1.0,,1.0
97,mesties,1.0,,1.0
98,mestiezen,1.0,,
99,metis,0.9,1.0,
100,mohammedaan,1.0,,1.0
101,mohammedanen,1.0,1.0,1.0
102,mongolen,1.0,1.0,
103,mongool,1.0,,1.0
104,mongools,0.7,1.0,1.0
105,moor,0.2,1.0,1.0
106,moors,0.6,1.0,1.0
107,moren,0.7,1.0,1.0
108,mulat,1.0,,1.0
109,mulatten,1.0,1.0,
110,métis,1.0,,
111,neger,0.7,,1.0
112,negers,1.0,,1.0
113,ontdekken,0.9,1.0,0.8
114,ontwikkelingsland,1.0,1.0,1.0
115,ontwikkelingslanden,1.0,1.0,1.0
116,oriëntaals,0.6,1.0,
117,oriëntaalse,1.0,1.0,
118,page,0.9,1.0,1.0
119,pages,0.4,1.0,
120,politionele actie,1.0,,
121,politionele acties,1.0,,1.0
122,primitief,0.9,1.0,1.0
123,primitieve,0.7,0.7,1.0
124,primitivisme,1.0,1.0,
125,pygmee,1.0,1.0,1.0
126,pygmeeën,1.0,1.0,1.0
127,queer,0.7,,
128,ras,0.7,1.0,1.0
129,rasse,1.0,,
130,rassen,0.9,1.0,1.0
131,rasser,1.0,,
132,rast,0.8,,
133,raste,1.0,,
134,roots,0.0,,
135,slaaf,0.8,1.0,1.0
136,slaven,0.9,0.9,1.0
137,stam,0.6,0.4,0.8
138,stammen,0.9,0.4,1.0
139,traditioneel,0.0,0.2,1.0
140,traditionele,0.0,0.1,0.7
141,trans,0.1,1.0,1.0
142,travestiet,1.0,,1.0
143,tweede wereld,1.0,,
144,volbloed,1.0,,1.0
145,wester,0.5,,
146,westers,1.0,0.9,1.0
147,westerse,0.8,0.5,1.0
148,wit,0.4,0.1,0.6
149,wits,1.0,,
150,witste,1.0,,
151,witte,0.1,0.0,0.4
152,witten,0.9,1.0,1.0
153,witter,1.0,1.0,1.0
154,wittere,1.0,,
155,zigeuner,1.0,1.0,1.0
156,zigeuners,0.9,1.0,1.0
157,zuid-rhodesië,0.8,,
158,zwart,0.2,0.2,0.5
159,zwarte,0.1,0.1,0.2
160,zwarten,1.0,1.0,1.0
161,zwarts,0.9,,
