term,hit_id,bow,cs_rm,cs_wm,cs_rm_wm
batavias,,,,,
batavia,,,,,
southern rhodesia,,,,,
madras,tamil_nadu.n.01,"['southeastern', 'nadu', 'bay', 'state', 'south', 'tamil', 'andhra', 'madras', 'formerly', 'bengal', 'india']",0.8280998302563403,0.6443478403290809,0.8157570254475359
madras,chennai.n.01,"['nadu', 'bay', 'city', 'chennai', 'tamil', 'madras', 'formerly']",0.795376658044045,0.6016129744455311,0.7553385431727008
madras,madras.n.03,"['patterned', 'cotton', 'cloth', 'madras', 'light']",0.37788843852364784,0.41523618745030494,0.436850060522244
madras,savara.n.02,"['language', 'southeastern', 'spoken', 'north', 'dravidian', 'savara', 'madras', 'india']",0.6848603603048306,0.6992152751896682,0.7471084113353545
madras,chennai.n.01,"['nadu', 'bay', 'city', 'chennai', 'tamil', 'madras', 'formerly']",0.795376658044045,0.6016129744455311,0.7553385431727008
madras,tamil_nadu.n.01,"['southeastern', 'nadu', 'bay', 'state', 'south', 'tamil', 'andhra', 'madras', 'formerly', 'bengal', 'india']",0.8280998302563403,0.6443478403290809,0.8157570254475359
low-income country,,,,,
low-income countries,,,,,
headhunters,,,,,
headhunter,headhunter.n.01,"['recruiter', 'headhunter', 'corporation', 'especially', 'personnel']",0.4611147651367205,0.7630591050152146,0.7398295042492248
headhunter,headhunter.n.02,"['savage', 'headhunter', 'trophy', 'cut', 'head', 'enemy', 'preserve', 'shrinker']",1,0.4509951944905026,0.7880558210356946
immigrants,bullpen.n.02,"['bullpen', 'trial', 'refugee', 'sentence', 'confined', 'large', 'prisoner', 'centre', 'people', 'cell', 'illegal', 'detention', 'temporarily', 'awaiting', 'immigrant', 'together']",0.817320105200372,0.6052420953443843,0.8256614681611917
immigrants,american_party.n.01,"['know', 'active', 'american', 'catholic', 'former', 'united', 'political', 'roman', 'party', 'keep', 'power', 'hand', 'immigrant', 'nothing']",0.8033713696805339,0.5910632294042208,0.8058482942347918
immigrants,immigration.n.02,"['colony', 'immigration', 'specified', 'interval', 'increased', 'arriving', 'body', 'strengthened', 'immigrant']",0.8451498580026775,0.6678676369986217,0.8590502281833556
immigrants,immigrant_class.n.01,"['class', 'status', 'spite', 'lumped', 'low', 'background', 'different', 'recent', 'cultural', 'socioeconomic', 'immigrant', 'together']",0.7596324817160057,0.5968551826560128,0.7804058314892601
immigrants,cajun.n.01,"['nova', 'louisianian', 'cajun', 'acadian', 'descended', 'immigrant', 'come', 'scotia']",0.6652987886409862,0.49207014836121754,0.6529337096311884
immigrants,coyote.n.02,"['usually', 'smuggles', 'state', 'coyote', 'illegal', 'united', 'mexican', 'someone', 'across', 'border', 'immigrant']",0.828739693057313,0.6173618015419317,0.8404795502564815
immigrants,padrone.n.02,"['employer', 'exploit', 'italian', 'padrone', 'immigrant']",0.7772059096192216,0.500046280006936,0.7621771630985671
immigrants,immigrate.v.02,"['immigrated', 'immigrant', 'introduce', 'many', 'america', 'immigrate', 'send', 'colonist', 'britain']",0.8262094213140163,0.5546699853449648,0.8091622249149356
immigrant,immigrant.n.01,"['settle', 'order', 'country', 'person', 'born', 'immigrant', 'come']",0.8805861901544659,0.6688168469990218,0.8474311208696002
immigrant,old_country.n.01,"['country', 'old', 'immigrant', 'origin']",0.652357346978301,0.5291843594591826,0.647704080638837
immigrant,skinhead.n.01,"['people', 'skin', 'violent', 'several', 'anti', 'perception', 'engage', 'lead', 'young', 'racist', 'immigrant', 'predominantly', 'activity', 'group', 'white', 'supremacist', 'shave', 'skinhead', 'consisting', 'british', 'american', 'member']",0.7524297857765312,0.5612093651737944,0.7608893719109552
barbarians,,,,,
barbarian,savage.n.01,"['savage', 'people', 'member', 'barbarian', 'uncivilized']",0.8060002243443996,0.5844653979287954,0.7883058501074202
barbarian,peasant.n.03,"['churl', 'uncouth', 'ill', 'boor', 'refinement', 'barbarian', 'tike', 'bred', 'culture', 'lacking', 'crude', 'tyke', 'peasant', 'goth', 'person']",0.9106035161536001,0.5775232042540515,0.8788455769148941
barbarian,barbarian.s.01,"['meade', 'people', 'barbarian', 'tribe', 'invader', 'uncivilised', 'efficient', 'especially', 'margaret', 'wild', 'savage', 'fighting', 'civilizing', 'practice', 'without', 'uncivilized', 'barbaric', 'crude', 'weapon']",0.9446853532695411,0.7116432482195396,0.9352252339852656
