lemma,source_1,source_2,source_3
batavia,"['Batavia', 'capital of the Dutch East Indies (1621...1942), now the city of Jakarta', 'capital city', 'toponym']",[],[]
southern rhodesia,"['Southern Rhodesia', 'self-governing British colony from 1923 to 1980', 'crown colony', 'colony']",[],[]
madras,"['Chennai', 'Madras', 'megacity and capital of Tamil Nadu, India', 'city', 'big city', 'million city', 'state capital', 'business cluster']",[],"['Madras', 'a city in Tamil Nadu on the Bay of Bengal; formerly Madras', 'Chennai']"
low-income countries,[],[],[]
headhunter,[],[],"['headhunter', 'a savage who cuts off and preserves the heads of enemies as trophies', 'head-shrinker']"
immigrant,"['immigrant', 'refugee or foreigner seeking or has gained citizenship in the current land of residency', 'migrant']","['immigrants', '', 'immigrant', ""immigrant's"", ""immigrants'"", 'People who enter a country or region from another to settle there. For those who depart from their native or usual country or region to live elsewhere, use ""emigrants.""']","['immigrant', 'a person who comes to a country where they were not born in order to settle there']"
barbarian,"['barbarian', 'person perceived to be either uncivilized or primitive based on stereotypes', 'ethnic slur', 'people']",[],"['churl', 'barbarian invaders', 'barbaric practices', 'savage', 'wild tribes', 'peasant', 'fighting is crude and uncivilized especially if the weapons are efficient', 'wild', 'barbaric', 'tike', 'uncivilized', 'a member of an uncivilized people', 'Goth', 'without civilizing influences; ; ; ; -Margaret Meade', 'barbarian', 'tyke', 'boor', 'a crude uncouth ill-bred person lacking culture or refinement', 'uncivilised', 'a savage people']"
moor,"['Moors', 'Moriscos', 'Moriscoes', 'Medieval Muslim inhabitants of the Maghreb, Iberian Peninsula, Sicily and Malta', 'ethnic group']","['Maure', '', 'Maures', 'Moor (culture or style)', 'Mauri (Arab-Berber culture or style)', 'Style and culture of a people of mixed Arab-Berber descent inhabiting the Western Sahara, neighboring parts of Morocco, Mali, Algeria, and the Islamic Republic of Mauritania. To refer to the products, style and culture of people living within the boundaries of Mauritania proper use ""Mauritanian.""']","['one of the Muslim people of north Africa; of mixed Arab and Berber descent; converted to Islam in the 8th century; conqueror of Spain in the 8th century', 'Moor']"
indian,"['Native Americans in the United States', 'Native Americans', 'American Indians', 'Indians', 'U.S. Indians', 'United States Indians', 'First Americans', 'indigenous Americans', 'indigenous peoples of the United States', 'Amerindian Americans', 'indigenous peoples of the United States', 'ethnic group by residency', 'indigenous peoples of North America', 'Americans']","['Native American', '', 'American Indian', 'Indigenous American', 'Indian (Native American)', 'Native (Native American)', 'American, Native', 'Indian, American', 'Native Americans', 'Whenever possible, use the specific tribal name. The general term ""Native American"" is widely used in the United States, but many groups now prefer ""American Indian"" or ""Indigenous American."" This concept is typically reserved to refer narrowly to the cultures of the native peoples of the United States and Canada, excluding the Eskimos and Aleuts. For the indigenous peoples of Canada use the term ""First Nations."" For the broader concept of the cultures of any native peoples of Central America, South America, North America, or the West Indies who are considered to belong to the Mongoloid division of the human species, use ""Amerindian (culture).""']","['Amerindic', 'of or pertaining to Native Americans or their culture or languages', 'Amerind', 'Native American religions', 'Indian arrowheads', 'Native_American', 'Indian']"
homo,[],[],"['homo', 'gay', 'homosexual', 'homophile', 'someone who is sexually attracted to persons of the same sex']"
