lemma,lang,resource,entity_id
batavia,en,wikidata,Q1199713
southern rhodesia,en,wikidata,Q750583
madras,en,wikidata,Q1352
immigrant,en,wikidata,Q12547146
barbarian,en,wikidata,Q134313
moor,en,wikidata,Q169260
indian,en,wikidata,Q49297
indian,en,wikidata,Q49297
indian,en,wikidata,Q49297
indian,en,wikidata,Q49297
allochtoon,en,wikidata,Q2008347
medicine man,en,wikidata,Q266750
third world,en,wikidata,Q180194
servant,en,wikidata,Q54128
servant,en,wikidata,Q54128
servant,en,wikidata,Q54128
hottentot,en,wikidata,Q1631241
gypsy,en,wikidata,Q8060
gypsy,en,wikidata,Q8060
coolie,en,wikidata,Q548135
white,en,wikidata,Q235155
white,en,wikidata,Q235155
white,en,wikidata,Q235155
white,en,wikidata,Q235155
white,en,wikidata,Q235155
white,en,wikidata,Q235155
caucasian,en,wikidata,Q7129609
kaffir,en,wikidata,Q1285250
kaffir,en,wikidata,Q1285250
descent,en,wikidata,Q89659343
descent,en,wikidata,Q89659343
mohammedan,en,wikidata,Q2367463
mongoloid,en,wikidata,Q207912
homosexual,en,wikidata,Q592
homosexual,en,wikidata,Q592
homosexual,en,wikidata,Q592
homosexual,en,wikidata,Q592
pygmy,en,wikidata,Q171927
page,en,wikidata,Q855855
page,en,wikidata,Q855855
second world,en,wikidata,Q233472
bombay,en,wikidata,Q1156
negro,en,wikidata,Q1130557
berber,en,wikidata,Q45315
berber,en,wikidata,Q45315
mulatto,en,wikidata,Q191923
disabled,en,wikidata,Q15978181
disabled,en,wikidata,Q15978181
disabled,en,wikidata,Q15978181
mestizo,en,wikidata,Q106713
mestizo,en,wikidata,Q106713
mestizo,en,wikidata,Q106713
western,en,wikidata,Q160381
western,en,wikidata,Q160381
western,en,wikidata,Q160381
western,en,wikidata,Q160381
aboriginal,en,wikidata,Q103817
transvestite,en,wikidata,Q112918934
eskimo,en,wikidata,Q131242
eskimo,en,wikidata,Q131242
hermaphrodite,en,wikidata,Q303479
gay,en,wikidata,Q592
gay,en,wikidata,Q592
gay,en,wikidata,Q592
indo,en,wikidata,Q475027
indo,en,wikidata,Q475027
indo,en,wikidata,Q475027
indo,en,wikidata,Q475027
indo,en,wikidata,Q475027
colored,en,wikidata,Q5149038
inuit,en,wikidata,Q189975
inuit,en,wikidata,Q189975
black,en,wikidata,Q817393
black,en,wikidata,Q817393
black,en,wikidata,Q817393
black,en,wikidata,Q817393
black,en,wikidata,Q817393
queer,en,wikidata,Q51415
calcutta,en,wikidata,Q1348
ethnic groups,en,wikidata,Q41710
ethnic groups,en,wikidata,Q41710
maroon,en,wikidata,Q445485
trans,en,wikidata,Q189125
trans,en,wikidata,Q189125
trans,en,wikidata,Q189125
trans,en,wikidata,Q189125
trans,en,wikidata,Q189125
half-breed,en,wikidata,Q17144151
lilliputian,en,wikidata,Q2419953
burma,en,wikidata,Q836
burma,en,wikidata,Q836
race,en,wikidata,Q3254959
race,en,wikidata,Q3254959
race,en,wikidata,Q3254959
race,en,wikidata,Q3254959
handicap,en,wikidata,Q12131
handicap,en,wikidata,Q12131
primitive,en,wikidata,Q13165863
primitive,en,wikidata,Q13165863
primitive,en,wikidata,Q13165863
primitive,en,wikidata,Q13165863
retarded,en,wikidata,Q18394147
footmen,en,wikidata,Q4382663
slave,en,wikidata,Q12773225
first world,en,wikidata,Q876830
ethnicity,en,wikidata,Q5404323
ethnicity,en,wikidata,Q5404323
primitivism,en,wikidata,Q848365
indigenous,en,wikidata,Q103817
indigenous,en,wikidata,Q103817
indigenous,en,wikidata,Q103817
métis,en,wikidata,Q262457
métis,en,wikidata,Q262457
tribe,en,wikidata,Q133311
tribe,en,wikidata,Q133311
politionele actie,nl,wikidata,Q278039
birma,nl,wikidata,Q836
handicap,nl,wikidata,Q12131
medicijnman,nl,wikidata,Q42042
lilliputter,nl,wikidata,Q2419953
homo,nl,wikidata,Q104969456
mongool,nl,wikidata,Q207912
jap,nl,wikidata,Q1192767
islamiet,nl,wikidata,Q47740
islamiet,nl,wikidata,Q47740
westers,nl,wikidata,Q160381
etniciteit,nl,wikidata,Q5404323
homoseksualiteit,nl,wikidata,Q6636
neger,nl,wikidata,Q1130557
neger,nl,wikidata,Q1130557
bediende,nl,wikidata,Q833860
hermafrodiet,nl,wikidata,Q303479
inuk,nl,wikidata,Q189975
inuk,nl,wikidata,Q189975
indiaan,nl,wikidata,Q36747
indiaan,nl,wikidata,Q36747
indiaan,nl,wikidata,Q36747
indiaan,nl,wikidata,Q36747
indiaan,nl,wikidata,Q36747
afkomst,nl,wikidata,Q1642895
blank,nl,wikidata,Q235155
bombay,nl,wikidata,Q1156
jappenkamp,nl,wikidata,Q2432369
jappenkamp,nl,wikidata,Q2432369
jappenkamp,nl,wikidata,Q2432369
jappenkamp,nl,wikidata,Q2432369
homoseksueel,nl,wikidata,Q592
stam,nl,wikidata,Q133311
batavia,nl,wikidata,Q1199713
batavia,nl,wikidata,Q1199713
boslandcreool,nl,wikidata,Q445485
queer,nl,wikidata,Q51415
zigeuner,nl,wikidata,Q76475
bosneger,nl,wikidata,Q445485
bosneger,nl,wikidata,Q445485
ontwikkelingsland,nl,wikidata,Q177323
ontwikkelingsland,nl,wikidata,Q177323
zwart,nl,wikidata,Q817393
zwart,nl,wikidata,Q817393
zwart,nl,wikidata,Q817393
mesties,nl,wikidata,Q106713
mesties,nl,wikidata,Q106713
lagelonenland,nl,wikidata,Q2639564
inlander,nl,wikidata,Q1945590
inlander,nl,wikidata,Q1945590
dwerg,nl,wikidata,Q2419953
gay,nl,wikidata,Q592
baboe,nl,wikidata,Q936969
indisch,nl,wikidata,Q188161
berber,nl,wikidata,Q45315
pygmee,nl,wikidata,Q171927
pygmee,nl,wikidata,Q171927
gekleurd,nl,wikidata,Q2072081
kaukasisch,nl,wikidata,Q7129609
kaukasisch,nl,wikidata,Q7129609
mulat,nl,wikidata,Q191923
mulat,nl,wikidata,Q191923
ras,nl,wikidata,Q3254959
ras,nl,wikidata,Q3254959
etnische groep,nl,wikidata,Q41710
eerste wereld,nl,wikidata,Q876830
aboriginal,nl,wikidata,Q170355
aboriginal,nl,wikidata,Q170355
travestiet,nl,wikidata,Q486680
barbaar,nl,wikidata,Q134313
barbaar,nl,wikidata,Q134313
derde wereld,nl,wikidata,Q180194
slaaf,nl,wikidata,Q12773225
slaaf,nl,wikidata,Q12773225
primitivisme,nl,wikidata,Q848365
eskimo,nl,wikidata,Q131242
eskimo,nl,wikidata,Q131242
eskimo,nl,wikidata,Q131242
page,nl,wikidata,Q855855
zuid-rhodesië,nl,wikidata,Q750583
hottentot,nl,wikidata,Q219252
hottentot,nl,wikidata,Q219252
calcutta,nl,wikidata,Q1348
indo,nl,wikidata,Q2116909
indo,nl,wikidata,Q2116909
indo,nl,wikidata,Q2116909
mohammedaan,nl,wikidata,Q47740
mohammedaan,nl,wikidata,Q47740
madras,nl,wikidata,Q1352
moor,nl,wikidata,Q169260
moor,nl,wikidata,Q169260
gehandicapte,nl,wikidata,Q15978181
gehandicapte,nl,wikidata,Q15978181
koelie,nl,wikidata,Q548135
métis,nl,wikidata,Q262457
marron,nl,wikidata,Q445485
kaffer,nl,wikidata,Q1285250
allochtoon,nl,wikidata,Q2008347
tweede wereld,nl,wikidata,Q233472
wit,nl,wikidata,Q235155
inheems,nl,wikidata,Q103817
inheems,nl,wikidata,Q103817
inheems,nl,wikidata,Q103817
inheems,nl,wikidata,Q103817
immigrant,en,aat,300025844
immigrant,en,aat,300025844
immigrant,en,aat,300025844
immigrant,en,aat,300025844
moor,en,aat,300375152
indian,en,aat,300017437
indian,en,aat,300017437
indian,en,aat,300017437
indian,en,aat,300017437
medicine man,en,aat,300218522
third world,en,aat,300379994
servant,en,aat,300025874
servant,en,aat,300025874
servant,en,aat,300025874
servant,en,aat,300025874
hottentot,en,aat,300016575
hottentot,en,aat,300016575
gypsy,en,aat,300404070
caucasian,en,aat,300244536
mohammedan,en,aat,300073715
homosexual,en,aat,300435115
homosexual,en,aat,300435115
pygmy,en,aat,300016430
pygmy,en,aat,300016430
pygmy,en,aat,300016430
native,en,aat,300017437
native,en,aat,300017437
native,en,aat,300017437
native,en,aat,300017437
native,en,aat,300017437
native,en,aat,300017437
negro,en,aat,300018125
berber,en,aat,300016593
berber,en,aat,300016593
disabled,en,aat,300025921
disabled,en,aat,300025921
developing nations,en,aat,300379994
aboriginal,en,aat,300379660
transvestite,en,aat,300400510
transvestite,en,aat,300400510
eskimo,en,aat,300017447
eskimo,en,aat,300017447
hermaphrodite,en,aat,300386060
hermaphrodite,en,aat,300386060
hermaphrodite,en,aat,300386060
gay,en,aat,300055188
indo,en,aat,300386794
indo,en,aat,300386794
indo,en,aat,300386794
indo,en,aat,300386794
indo,en,aat,300386794
oriental,en,aat,300018279
inuit,en,aat,300017455
black,en,aat,300435249
queer,en,aat,300055188
ethnic groups,en,aat,300191997
ethnic groups,en,aat,300191997
maroon,en,aat,300443390
maroon,en,aat,300443390
maroon,en,aat,300443390
dwarf,en,aat,300236748
dwarf,en,aat,300236748
dwarf,en,aat,300236748
dwarf,en,aat,300236748
dwarf,en,aat,300236748
race,en,aat,300256475
race,en,aat,300256475
race,en,aat,300256475
primitive,en,aat,300056500
primitive,en,aat,300056500
retarded,en,aat,300025925
slave,en,aat,300230899
slave,en,aat,300230899
slave,en,aat,300230899
slave,en,aat,300230899
first world,en,aat,300449024
first world,en,aat,300449024
ethnicity,en,aat,300250435
primitivism,en,aat,300056548
primitivism,en,aat,300056548
indigenous,en,aat,300379660
indigenous,en,aat,300379660
indigenous,en,aat,300379660
indigenous,en,aat,300379660
indigenous,en,aat,300379660
traditional,en,aat,300435679
traditional,en,aat,300435679
traditional,en,aat,300435679
métis,en,aat,300265512
métis,en,aat,300265512
métis,en,aat,300265512
tribe,en,aat,300049946
tribe,en,aat,300049946
mongool,nl,aat,300387497
mongool,nl,aat,300387497
etniciteit,nl,aat,300250435
homoseksualiteit,nl,aat,300055188
bediende,nl,aat,300025874
bediende,nl,aat,300025874
hermafrodiet,nl,aat,300386060
hermafrodiet,nl,aat,300386060
inuk,nl,aat,300017455
indiaan,nl,aat,300017437
indiaan,nl,aat,300017437
indiaan,nl,aat,300017437
stam,nl,aat,300049946
stam,nl,aat,300049946
