,lemma,lang,resource,entity_id
0,batavia,en,wikidata,Q1199713
1,southern rhodesia,en,wikidata,Q750583
2,madras,en,wikidata,Q1352
3,immigrant,en,wikidata,Q12547146
4,barbarian,en,wikidata,Q134313
5,moor,en,wikidata,Q169260
6,indian,en,wikidata,Q49297
10,allochtoon,en,wikidata,Q2008347
11,medicine man,en,wikidata,Q266750
12,third world,en,wikidata,Q180194
13,servant,en,wikidata,Q54128
16,hottentot,en,wikidata,Q1631241
17,gypsy,en,wikidata,Q8060
19,coolie,en,wikidata,Q548135
20,white,en,wikidata,Q235155
26,caucasian,en,wikidata,Q7129609
27,kaffir,en,wikidata,Q1285250
29,descent,en,wikidata,Q89659343
31,mohammedan,en,wikidata,Q2367463
32,mongoloid,en,wikidata,Q207912
33,homosexual,en,wikidata,Q592
37,pygmy,en,wikidata,Q171927
38,page,en,wikidata,Q855855
40,second world,en,wikidata,Q233472
41,bombay,en,wikidata,Q1156
42,negro,en,wikidata,Q1130557
43,berber,en,wikidata,Q45315
45,mulatto,en,wikidata,Q191923
46,disabled,en,wikidata,Q15978181
49,mestizo,en,wikidata,Q106713
52,western,en,wikidata,Q160381
56,aboriginal,en,wikidata,Q103817
57,transvestite,en,wikidata,Q112918934
58,eskimo,en,wikidata,Q131242
60,hermaphrodite,en,wikidata,Q303479
61,gay,en,wikidata,Q592
64,indo,en,wikidata,Q475027
69,colored,en,wikidata,Q5149038
70,inuit,en,wikidata,Q189975
72,black,en,wikidata,Q817393
77,queer,en,wikidata,Q51415
78,calcutta,en,wikidata,Q1348
79,ethnic groups,en,wikidata,Q41710
81,maroon,en,wikidata,Q445485
82,trans,en,wikidata,Q189125
87,half-breed,en,wikidata,Q17144151
88,lilliputian,en,wikidata,Q2419953
89,burma,en,wikidata,Q836
91,race,en,wikidata,Q3254959
95,handicap,en,wikidata,Q12131
97,primitive,en,wikidata,Q13165863
101,retarded,en,wikidata,Q18394147
102,footmen,en,wikidata,Q4382663
103,slave,en,wikidata,Q12773225
104,first world,en,wikidata,Q876830
105,ethnicity,en,wikidata,Q5404323
107,primitivism,en,wikidata,Q848365
108,indigenous,en,wikidata,Q103817
111,métis,en,wikidata,Q262457
113,tribe,en,wikidata,Q133311
115,politionele actie,nl,wikidata,Q278039
116,birma,nl,wikidata,Q836
117,handicap,nl,wikidata,Q12131
118,medicijnman,nl,wikidata,Q42042
119,lilliputter,nl,wikidata,Q2419953
120,homo,nl,wikidata,Q104969456
121,mongool,nl,wikidata,Q207912
122,jap,nl,wikidata,Q1192767
123,islamiet,nl,wikidata,Q47740
125,westers,nl,wikidata,Q160381
126,etniciteit,nl,wikidata,Q5404323
127,homoseksualiteit,nl,wikidata,Q6636
128,neger,nl,wikidata,Q1130557
130,bediende,nl,wikidata,Q833860
131,hermafrodiet,nl,wikidata,Q303479
132,inuk,nl,wikidata,Q189975
134,indiaan,nl,wikidata,Q36747
139,afkomst,nl,wikidata,Q1642895
140,blank,nl,wikidata,Q235155
141,bombay,nl,wikidata,Q1156
142,jappenkamp,nl,wikidata,Q2432369
146,homoseksueel,nl,wikidata,Q592
147,stam,nl,wikidata,Q133311
148,batavia,nl,wikidata,Q1199713
150,boslandcreool,nl,wikidata,Q445485
