lemma,lang,wd_pref,wd_aliases,wd_descr,wd_total,aat_pref,aat_alt,aat_scopeNote,aat_total,pwn_le,pwn_def,pwn_examples,pwn_total,total_hits
aboriginal,en,0.0,1.0,0.0,1,0.0,1.0,0.0,1,2.0,0.0,2.0,4,6
allochtoon,en,1.0,0.0,0.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1
baboo,en,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0
barbarian,en,1.0,0.0,0.0,1,0.0,0.0,0.0,0,3.0,0.0,1.0,4,5
batavia,en,1.0,0.0,0.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1
berber,en,1.0,1.0,0.0,2,1.0,1.0,0.0,2,1.0,0.0,0.0,1,5
black,en,1.0,4.0,0.0,5,1.0,0.0,0.0,1,2.0,0.0,1.0,3,9
bombay,en,0.0,1.0,0.0,1,0.0,0.0,0.0,0,1.0,0.0,0.0,1,2
burma,en,0.0,2.0,0.0,2,0.0,0.0,0.0,0,1.0,0.0,0.0,1,3
bush negro,en,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0
calcutta,en,0.0,1.0,0.0,1,0.0,0.0,0.0,0,1.0,0.0,0.0,1,2
caucasian,en,1.0,0.0,0.0,1,1.0,0.0,0.0,1,2.0,2.0,0.0,4,6
colored,en,1.0,0.0,0.0,1,0.0,0.0,0.0,0,1.0,0.0,0.0,1,2
coolie,en,1.0,0.0,0.0,1,0.0,0.0,0.0,0,1.0,0.0,0.0,1,2
descent,en,1.0,0.0,1.0,2,0.0,0.0,0.0,0,3.0,0.0,0.0,3,5
developing nations,en,0.0,0.0,0.0,0,0.0,1.0,0.0,1,0.0,0.0,0.0,0,1
disabled,en,0.0,3.0,0.0,3,0.0,2.0,0.0,2,2.0,0.0,2.0,4,9
discover,en,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,1,1
dwarf,en,0.0,0.0,0.0,0,1.0,4.0,0.0,5,1.0,0.0,0.0,1,6
eskimo,en,1.0,1.0,0.0,2,1.0,1.0,0.0,2,1.0,1.0,0.0,2,6
ethnic groups,en,1.0,1.0,0.0,2,1.0,1.0,0.0,2,0.0,0.0,0.0,0,4
ethnicity,en,1.0,1.0,0.0,2,1.0,0.0,0.0,1,1.0,0.0,1.0,2,5
exotic,en,0.0,0.0,0.0,0,0.0,0.0,0.0,0,2.0,0.0,5.0,7,7
first world,en,1.0,0.0,0.0,1,0.0,1.0,1.0,2,0.0,0.0,0.0,0,3
footmen,en,1.0,0.0,0.0,1,0.0,0.0,0.0,0,1.0,0.0,0.0,1,2
full blood,en,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0
gay,en,1.0,2.0,0.0,3,0.0,1.0,0.0,1,2.0,0.0,0.0,2,6
gypsy,en,0.0,2.0,0.0,2,0.0,1.0,0.0,1,2.0,1.0,0.0,3,6
half-blood,en,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0
half-breed,en,1.0,0.0,0.0,1,0.0,0.0,0.0,0,1.0,0.0,0.0,1,2
handicap,en,0.0,2.0,0.0,2,0.0,0.0,0.0,0,2.0,0.0,0.0,2,4
headhunter,en,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,1,1
hermaphrodite,en,1.0,0.0,0.0,1,1.0,1.0,1.0,3,1.0,0.0,0.0,1,5
homo,en,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,1,1
homosexual,en,0.0,3.0,1.0,4,1.0,1.0,0.0,2,2.0,0.0,0.0,2,8
hottentot,en,1.0,0.0,0.0,1,0.0,1.0,1.0,2,0.0,0.0,0.0,0,3
immigrant,en,1.0,0.0,0.0,1,1.0,3.0,0.0,4,1.0,0.0,0.0,1,6
indian,en,0.0,4.0,0.0,4,0.0,3.0,1.0,4,1.0,0.0,1.0,2,10
indigenous,en,1.0,2.0,0.0,3,1.0,4.0,0.0,5,1.0,0.0,1.0,2,10
indo,en,1.0,3.0,1.0,5,1.0,3.0,1.0,5,0.0,0.0,0.0,0,10
inuit,en,1.0,1.0,0.0,2,1.0,0.0,0.0,1,1.0,1.0,0.0,2,5
kaffir,en,1.0,1.0,0.0,2,0.0,0.0,0.0,0,1.0,0.0,0.0,1,3
lilliputian,en,0.0,1.0,0.0,1,0.0,0.0,0.0,0,1.0,1.0,0.0,2,3
low-income countries,en,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0
madras,en,0.0,1.0,0.0,1,0.0,0.0,0.0,0,1.0,1.0,0.0,2,3
maroon,en,1.0,0.0,0.0,1,1.0,1.0,1.0,3,0.0,0.0,0.0,0,4
medicine man,en,1.0,0.0,0.0,1,0.0,1.0,0.0,1,0.0,0.0,0.0,0,2
mestizo,en,1.0,2.0,0.0,3,0.0,0.0,0.0,0,1.0,0.0,0.0,1,4
mohammedan,en,1.0,0.0,0.0,1,0.0,1.0,0.0,1,2.0,0.0,0.0,2,4
mongoloid,en,1.0,0.0,0.0,1,0.0,0.0,0.0,0,5.0,1.0,1.0,7,8
moor,en,1.0,0.0,0.0,1,0.0,1.0,0.0,1,1.0,0.0,0.0,1,3
mulatto,en,1.0,0.0,0.0,1,0.0,0.0,0.0,0,1.0,0.0,0.0,1,2
métis,en,1.0,1.0,0.0,2,1.0,1.0,1.0,3,0.0,0.0,0.0,0,5
native,en,0.0,0.0,0.0,0,1.0,4.0,1.0,6,4.0,0.0,5.0,9,15
negro,en,1.0,0.0,0.0,1,0.0,1.0,0.0,1,2.0,0.0,1.0,3,5
oriental,en,0.0,0.0,0.0,0,0.0,1.0,0.0,1,1.0,0.0,1.0,2,3
page,en,1.0,1.0,0.0,2,0.0,0.0,0.0,0,2.0,0.0,0.0,2,4
primitive,en,1.0,2.0,1.0,4,1.0,1.0,0.0,2,4.0,0.0,4.0,8,14
primitivism,en,1.0,0.0,0.0,1,1.0,1.0,0.0,2,2.0,0.0,0.0,2,5
pygmy,en,1.0,0.0,0.0,1,1.0,1.0,1.0,3,2.0,0.0,0.0,2,6
queer,en,1.0,0.0,0.0,1,0.0,1.0,0.0,1,2.0,0.0,0.0,2,4
race,en,1.0,3.0,0.0,4,1.0,2.0,0.0,3,1.0,0.0,1.0,2,9
retarded,en,0.0,1.0,0.0,1,0.0,1.0,0.0,1,2.0,1.0,2.0,5,7
roots,en,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0
second world,en,1.0,0.0,0.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1
servant,en,0.0,3.0,0.0,3,1.0,3.0,0.0,4,1.0,0.0,0.0,1,8
slave,en,0.0,1.0,0.0,1,0.0,4.0,0.0,4,1.0,0.0,0.0,1,6
southern rhodesia,en,1.0,0.0,0.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1
third world,en,1.0,0.0,0.0,1,0.0,1.0,0.0,1,0.0,0.0,0.0,0,2
traditional,en,0.0,0.0,0.0,0,1.0,2.0,0.0,3,1.0,0.0,2.0,3,6
trans,en,0.0,5.0,0.0,5,0.0,0.0,0.0,0,0.0,0.0,0.0,0,5
transvestite,en,0.0,1.0,0.0,1,0.0,1.0,1.0,2,2.0,0.0,0.0,2,5
tribe,en,1.0,1.0,0.0,2,1.0,1.0,0.0,2,3.0,0.0,0.0,3,7
western,en,1.0,3.0,0.0,4,0.0,0.0,0.0,0,1.0,1.0,2.0,4,8
white,en,1.0,5.0,0.0,6,0.0,0.0,0.0,0,3.0,1.0,3.0,7,13
