lemma,lang,wd_pref,wd_aliases,wd_descr,wd_total,aat_pref,aat_alt,aat_scopeNote,aat_total,odwn_le,odwn_sense_examples,odwn_sense_definition,odwn_total,total_hits
aboriginal,nl,0.0,2.0,0.0,2,1.0,0.0,0.0,1,1.0,0.0,0.0,1,4
achterlijk,nl,0.0,0.0,0.0,0,0.0,1.0,0.0,1,1.0,0.0,0.0,1,2
afkomst,nl,0.0,1.0,0.0,1,0.0,0.0,0.0,0,2.0,4.0,0.0,6,7
allochtoon,nl,1.0,0.0,0.0,1,0.0,0.0,0.0,0,1.0,1.0,0.0,2,3
baboe,nl,0.0,1.0,0.0,1,0.0,0.0,0.0,0,1.0,0.0,0.0,1,2
barbaar,nl,1.0,1.0,0.0,2,0.0,0.0,0.0,0,3.0,2.0,0.0,5,7
batavia,nl,1.0,1.0,0.0,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0,2
bediende,nl,0.0,1.0,0.0,1,1.0,1.0,0.0,2,1.0,1.0,0.0,2,5
berber,nl,1.0,0.0,0.0,1,1.0,0.0,0.0,1,1.0,0.0,0.0,1,3
birma,nl,0.0,1.0,0.0,1,0.0,0.0,0.0,0,1.0,0.0,0.0,1,2
blank,nl,1.0,0.0,0.0,1,0.0,0.0,0.0,0,1.0,2.0,0.0,3,4
bombay,nl,0.0,1.0,0.0,1,0.0,0.0,0.0,0,1.0,0.0,0.0,1,2
boslandcreool,nl,0.0,1.0,0.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1
bosneger,nl,0.0,2.0,0.0,2,0.0,0.0,0.0,0,1.0,0.0,0.0,1,3
calcutta,nl,1.0,0.0,0.0,1,0.0,0.0,0.0,0,1.0,0.0,0.0,1,2
derde wereld,nl,1.0,0.0,0.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1
dwerg,nl,1.0,0.0,0.0,1,1.0,1.0,0.0,2,1.0,0.0,0.0,1,4
eerste wereld,nl,1.0,0.0,0.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1
eskimo,nl,2.0,1.0,0.0,3,1.0,0.0,0.0,1,1.0,0.0,0.0,1,5
etniciteit,nl,1.0,0.0,0.0,1,1.0,0.0,0.0,1,1.0,0.0,0.0,1,3
etnische groep,nl,1.0,0.0,0.0,1,1.0,1.0,0.0,2,0.0,0.0,0.0,0,3
exotisch,nl,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0
gay,nl,1.0,0.0,0.0,1,0.0,0.0,0.0,0,1.0,0.0,0.0,1,2
gehandicapte,nl,1.0,1.0,0.0,2,1.0,1.0,0.0,2,1.0,5.0,0.0,6,10
gekleurd,nl,1.0,0.0,0.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1
halfbloed,nl,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,1,1
handicap,nl,1.0,0.0,0.0,1,0.0,0.0,0.0,0,1.0,6.0,0.0,7,8
hermafrodiet,nl,1.0,0.0,0.0,1,1.0,1.0,0.0,2,1.0,0.0,0.0,1,4
homo,nl,0.0,1.0,0.0,1,0.0,0.0,0.0,0,1.0,3.0,0.0,4,5
