query_term,lang,wd_pref,wd_aliases,wd_descr,wd_total,aat_pref,aat_alt,aat_scopeNote,aat_total,odwn_le,odwn_sense_examples,odwn_sense_definition,odwn_total,total_hits
politionele acties,nl,1,,,1,,,,0,,,,0,1
politionele actie,nl,,,,0,,,,0,,,,0,0
birma,nl,,1,,1,,,,0,1,,,1,2
exotische,nl,,,,0,,,,0,,,,0,0
exotischere,nl,,,,0,,,,0,,,,0,0
exotischer,nl,,,,0,,,,0,,,,0,0
exotisch,nl,,,,0,,,,0,,,,0,0
handicaps,nl,,,,0,,,,0,,,,0,0
handicap,nl,1,,,1,,,,0,1,6,,7,8
medicijnmannen,nl,,,,0,,,,0,,,,0,0
medicijnman,nl,,1,,1,,,,0,1,,,1,2
lilliputters,nl,,,,0,,,,0,,,,0,0
lilliputter,nl,,1,,1,,,,0,1,,,1,2
homo's,nl,,,,0,,,,0,,,,0,0
homo,nl,,1,,1,,,,0,1,3,,4,5
mongools,nl,1,,,1,1,,1,2,,,,0,3
mongolen,nl,,,,0,,,,0,,,,0,0
mongool,nl,,,,0,,,,0,2,,,2,2
japs,nl,,,,0,,,,0,,,,0,0
jappen,nl,,,,0,,,,0,,,,0,0
jap,nl,1,,,1,,,,0,1,,,1,2
islamieten,nl,,1,,1,,,,0,,,,0,1
islamiet,nl,,1,,1,,,,0,1,,,1,2
westersere,nl,,,,0,,,,0,,,,0,0
westerse,nl,1,,,1,,,,0,,,,0,1
westerser,nl,,,,0,,,,0,,,,0,0
wester,nl,,,,0,,,,0,,,,0,0
westerste,nl,,,,0,,,,0,,,,0,0
westerst,nl,,,,0,,,,0,,,,0,0
westers,nl,,,,0,,,,0,,,,0,0
etniciteiten,nl,,,,0,,,,0,,,,0,0
etniciteit,nl,1,,,1,1,,,1,1,,,1,3
homoseksualiteit,nl,1,,,1,1,,,1,2,,,2,4
negers,nl,,1,,1,,,,0,,,,0,1
neger,nl,1,,,1,,,,0,1,,,1,2
bedienden,nl,,,,0,1,,,1,,,,0,1
bediendes,nl,,,,0,,,,0,,,,0,0
bediend,nl,,,,0,,,,0,,,,0,0
bediende,nl,,1,,1,,1,,1,1,1,,2,4
hermafrodieten,nl,,,,0,1,,,1,,,,0,1
hermafrodiet,nl,1,,,1,,1,,1,1,,,1,3
inuit,nl,1,,,1,1,,,1,1,,,1,3
inuk,nl,,1,,1,,,,0,,,,0,1
indiaans,nl,,1,,1,1,1,,2,,,,0,3
indianen,nl,1,3,,4,,,,0,,,,0,4
indiaan,nl,,,,0,,,1,1,1,,,1,2
afkomsten,nl,,,,0,,,,0,,,,0,0
afkomst,nl,,1,,1,,,,0,2,4,,6,7
blankst,nl,,,,0,,,,0,,,,0,0
blanke,nl,,,,0,,,,0,1,,,1,1
blankste,nl,,,,0,,,,0,,,,0,0
blankere,nl,,,,0,,,,0,,,,0,0
blanker,nl,,,,0,,,,0,,,,0,0
blanks,nl,,,,0,,,,0,,,,0,0
blanken,nl,1,,,1,,,,0,,2,,2,3
blank,nl,,,,0,,,,0,,,,0,0
bombay,nl,,1,,1,,,,0,1,,,1,2
knechten,nl,,,,0,,,,0,,1,,1,1
