,entity_id,term,text_1,text_2,text_3,text_4,text_5
0,300018988,calcutta,Kalighat,[],"A style of watercolor painting used by artists working in Calcutta, India in the nineteenth century; the works produced were sold inexpensively to pilgrims to the nearby Kalighat temple. This style demonstrates the European influence on Indian folk art; not only was the English technique of transparent watercolor adopted, but European subjects and events were sometimes depicted. Overall, these rapidly produced paintings are characterized by bold colors, broad sweeping brush lines, simplified forms, and little or no backgrounds. Popular Hindu deities are most commonly depicted although scenes of contemporary life are found as well. The style, which arose to compete with inexpensive colored lithographs, soon lost the contest. Although it quickly disappeared, the Kalighat style was influential for a number of modern Indian painters.",,[]
1,300379994,developing nations,developing countries,"['developing country', 'Third World', 'emerging nations', 'developing nations', 'least-developed countries', 'less-developed countries', 'LDCs', 'countries, developing']",Refers to countries with low per capita income and an undeveloped industrial base relative to other countries.,,[]
2,300232777,handicap,class boats,"['class boat', 'classboat', 'boats, class', 'classboats']",Sailboats sufficiently alike or having differences under sufficient restrictions to enable them to race against each other as a class without the necessity of handicap allowances.,,[]
3,300375528,kaffir,Sorghum bicolor (species),"['sorghum (S. bicolor, species)', 'durra (species)', 'broomcorn (species)', 'broom-corn (species)', 'black amber (species)', 'grain sorghum (species)', 'Indian millet (species)', 'Sudan grass (species)', 'guinea corn (species)', 'wild cane (species)', 'shatter cane (species)', 'shattercane (species)', 'chicken corn (species)', 'sorghum guineense (species)', 'milo (S. bicolor, species)', 'kafir (species)', 'kaffir (species)', 'feterita (species)', 'kaoliang (species)', 'jowari (species)']","Species of grass native to northern Africa, but cultivated widely for its edible grain. Sorghum has been cultivated since ancient times for its grain (couscous), as a source of syrup (molasses). It is also made into alcoholic beverages, as well as for biofuels. The tall, stiff, pithy stems are used for brooms, baskets, and construction. A reddish purple dye, guineense, is extracted from the leaves and stems, used for dyeing Niger goatskins.",,[]
4,300218522,medicine man,shamans,"['shaman', ""shamans'"", ""shaman's"", 'medicine men', 'medicine women', 'men, medicine', 'women, medicine']","Those who act as intermediaries between the natural and supernatural worlds, serving as healers and priests, foretelling the future, and controlling spiritual forces for the welfare of the community.",,[]
5,300107836,mestizo,Arequipa,[],"Refers to a style of architecture built from the 16th to the 19th centuries in the mountainous region of southern Peru. It is characterized by the use of local volcanic tufa or sillar and an integration of Creole, Mestizo, and Pre-Columbian styles and motifs such as maize, cantuta flowers, birds, fish, and mythic figures into Baroque relief. In sculpture, it refers to 17th century Mestizo Baroque relief styles characterized by careful incisions in the surface that generate a tapestry-like effect.",,[]
6,300018103,mestizo,Provincial Highland,"['Highland, Provincial', 'Mestizo']","Refers to the culture, and the style of architecture prevalent in southern Chiapas, Mexico, southern Guatemala and Honduras, and western El Salvador. The style reflects Classic Mesoamerican monumentality and Teotichuacan ceramic detailing, and utilizes decorative Mesoamerican green volcanic glass. It is distinguished from more elaborate Lowland Maya styles in the lack of stele-altars and colonnaded areas, the reticent use of corbel arches for substructural tombs, and the scarcity of polychrome ceramics, lofty corbel-vaulted temple designs, and structures measuring celestial cycles.",,[]
7,300389501,mongoloid,Uralic (language family),"['Uralic languages (language family)', 'Uralian languages (language family)', 'urj']","Large language family of Eurasia, comprising languages and major dialects spoken by Caucasoid and Mongoloid populations in a territory extending from northern and central Europe in the west, to western and southern Siberia.",,[]
8,300014934,retarded,retarded hemihydrate plaster,"['class B gypsum plaster', 'gypsum plaster, class B', 'hemihydrate plaster, retarded', 'plaster, class B gypsum', 'plaster, retarded hemihydrate']",Hemihydrate plaster with slower setting action created by the addition of retarders such as keratin.,,[]
12,300262022,third world,hybridity,[],"Generally meaning the state of being of mixed origin. In a social or cultural context, refers to the concept of individual or group self-identity or creative activity deriving from the interaction of two different societies or cultures, often within the context of Third World people encountering Western or Westernized people, or the formerly colonized meeting the colonizers.",,[]
13,300264523,discover,divining rods,"['divining rod', 'dowsing rods', 'dowsing rod', 'rods, divining', 'divining-rods', 'divining-rod', 'dowsing-rods', 'dowsing-rod', 'divining-staffs', 'divining-wands', 'divining-sticks', 'virgula divina', 'baculus divinatorius']","Devices comprising sticks or rods; used by people working above ground in an attempt to discover water, minerals, treasure, archaeological remains, graves, or other things below ground. Use of rods for these purposes has ancient origins; devices similar to those used today are first documented in 16th-century Europe. Traditionally Y-shaped twigs, often of hazel, rown, or willow  which, when their two prongs are grasped, twist and dip in the hands of the dowser as he or she approaches the substances or objects sought for.  Alternatively, the rods consist of two metal rods held parallel a few inches apart, that swing across each other when nearing the sought-after substance or objects. In controlled studies, the success rate of finding anything below ground by using these devices is no better than chance.",,[]
14,300449024,first world,developed countries,"['developed country', 'developed world', 'First World']","Describes nations of the world that are considered economically and technologically advanced. Generally consider this more current and accurate than ""First World.""",,[]
16,300199725,gypsy,Dutch ovens (cookware),"['Dutch oven (cookware)', 'dutch oven (cookware)', 'ovens, Dutch (cookware)', 'bake kettle', 'bake kettles', 'bake oven (Dutch oven)', 'bake ovens (Dutch ovens)', 'dinner pot', 'dinner pots', 'Dutch pot (cookware)', 'Dutch pots (cookware)', 'gypsy pot', 'gypsy pots', 'stew pot', 'stew pots', 'oven, Dutch (cookware)']","Cast iron kettles, usually set on three legs, with a tight-fitting lid on which coals may be placed when baking in an open fire.",,[]
18,300435114,homosexual,male homosexuals,"['male homosexual (person)', 'homosexuals, male']",Males having sexual attraction or sexual relations with other men.,,[]
20,300020944,moor,Mudéjar (architectural and decorative arts style),"[""Mud'ejar (architectural and decorative arts style)"", 'Mudéjare']","Refers to the style of architecture and decorative arts that developed in Spain and Portugal during the period when the Moors gradually lost control of the Iberian peninsula, roughly during the 12th to 15th centuries.  The term is derived from the Arabic word for vassal and was originally applied to the work executed by Moslem craftsmen working for Christian masters in brick, plaster, wood, and tile work, though it is now applied to all later Medieval Spanish work in the Islamic tradition, and includes bookbinding, textiles, ceramics, ivory, furniture, and wood and metal inlay work. The style is characterized by Muslim forms and motifs such as arabesques, Kufic inscriptions, stalactite work, azulejo, and horseshoe arches.",,[]
21,300386886,moor,moors (landforms),"['moor (landform)', 'moorlands']","Areas of uncultivated dry or wet land that are populated with low vegetation, such as grass and shrubs, and often flat with poor drainage systems. Often associated with regions within the British Isles. Distinct from ""bogs,"" in which the land is regularly wet and comprised of peaty soil.",,[]
22,300438369,métis,dog blankets ( Native American blankets),"['dog blanket ( Native American blanket)', 'blankets, dog ( Native American blankets)']","Blankets comprising a cloth or velvet covering with cloth ties on the underside made to cover the front and sides of a dog's body. Usually richly decorated in floral beadwork and cloth fringe, with bells placed along the center cut of the blanket. Used to protect sled dogs and to herald the sled's arrival. Originated with the Métis and later spread to Athabaskan communities.",,[]
