entity_id,term,text_1,text_2,text_3,text_4,text_5,check,cannot_decide
odwn-10-101180571-n,aboriginal,aboriginal,oorspronkelijke bewoner van Australië,[],['aboriginal'],['oorspronkelijke bewoner van Australië'],TRUE,FALSE
eng-30-07970721-n,afkomst,geslacht,mensen met gemeenschappelijke afkomst,"['het geslacht van de Bourbons', 'stammen uit een nobel/adellijk geslacht', 'van een voornaam geslacht', 'tot een rijk/adellijk/aanzienlijk/oud geslacht behoren']","['familie', 'geslacht', 'huis', 'maagschap', 'staak', 'stam', 'tak']","['verzameling van bloedverwanten', 'mensen met gemeenschappelijke afkomst', 'geslacht van mensen', 'familietak', 'alle mensen van één geslacht', 'deel v.e. familie']",TRUE,FALSE
eng-30-10390902-n,barbaar,barbaar,,[],['barbaar'],[],FALSE,TRUE
eng-30-10582154-n,bediende,bediende,huisbediende,['een bediende in livrei'],"['hulpje', 'hulp', 'bediende']",['huisbediende'],TRUE,FALSE
eng-30-02396205-v,bediende,aanstellen,in een functie benoemen,"['er werd een nieuwe bediende aangesteld', 'een bediende aanstellen', 'de gewezen wereldreiziger werd als burgemeester aangesteld', 'iemand als [burgemeester] aanstellen']","['aanstellen', 'aanwijzen', 'benoemen', 'designeren', 'maken']","['in een functie benoemen', 'functie of status verlenen', 'een ambt toekennen', 'in een positie brengen']",FALSE,FALSE
odwn-10-101393848-n,bediende,livrei,uniform voor huispersoneel,['(een bediende) in livrei'],['livrei'],['uniform voor huispersoneel'],TRUE,FALSE
eng-30-08715390-n,birma,Birma,,[],"['Birma', 'Unie Myanmar', 'Myanmar']",[],TRUE,FALSE
odwn-10-103541331-n,blank,blanke,iemand met lichte huidskleur,"['blanken en zwarten worden in Zuid-Afrika niet langer apart gehouden', 'onder de apartheid hadden blanken meer rechten dan zwarten']",['blanke'],['iemand met lichte huidskleur'],TRUE,FALSE
eng-30-01327322-n,halfbloed,halfbloed,,[],"['kruis', 'kruising', 'hybride', 'halfbloed']",[],FALSE,TRUE
eng-30-10157378-n,halfbloed,halfbloed,,[],"['halfbloed', 'kleurling']",[],TRUE,FALSE
eng-30-10157549-n,halfbloed,halfbloed,persoon van gemengde afkomst,[],"['halfbloed', 'kleurling']","['persoon van gemengde afkomst', 'kind van verschillende rassen']",TRUE,FALSE
odwn-10-101168606-n,handicap,handicap,,[],"['gebrekkigheid', 'handicap', 'ongemak']",[],TRUE,FALSE
eng-30-10172080-n,hermafrodiet,hermafrodiet,,[],['hermafrodiet'],[],FALSE,TRUE
eng-30-00856847-n,homoseksualiteit,homoseksualiteit,,[],"['homoseksualiteit', 'sodomie']","['seksuele geaardheid v.e. homofiel', 'tegennatuurlijk seksueel gedrag']",TRUE,FALSE
odwn-10-103586613-n,inboorling,inboorling,,[],['inboorling'],[],FALSE,TRUE
odwn-10-107563512-v,indiaan,bekeren,tot een overtuiging brengen,['de indianen bekeren'],['bekeren'],['tot een overtuiging brengen'],FALSE,TRUE
