entity_id,term,text_1,text_2,text_3,text_4,text_5,check,cannot_decide
Q2008347,allochtoon,allochtoon,,['persoon'],['sociale groep'],['mens'],TRUE,FALSE
Q833860,bediende,dienstmeid,"['bediende', 'huishoudster', 'dienstmaagd']",['werknemer binnen een huishouding'],['beroep'],['huishoudelijke hulp'],TRUE,FALSE
Q99228228,bediende,Alois Řehák,,"bediende van belastingdienst in Praag, expert in distilleerderijen",['mens'],[],TRUE,FALSE
Q2666080,birma,Birma op de Olympische Zomerspelen 1988,,,['land op de Olympische Spelen'],[],TRUE,FALSE
Q12413015,bombay,Andheri,,"buitenwijk in Bombay, India",['buitenwijk'],[],TRUE,FALSE
Q4856518,bombay,,,"buitenwijk in Bombay, India",['buitenwijk'],[],TRUE,FALSE
Q1348,calcutta,Calcutta,['Kolkata'],['stad in India'],"['miljoenenstad', 'miljoenenstad', 'metropool']",[],TRUE,FALSE
Q20656136,derde wereld,Het Theater van de Derde Wereld in Europa,,,['theatergroep'],[],TRUE,FALSE
Q5871,dwerg,witte dwerg,,,"['spectraalklasse', 'sterevolutie', 'astronomisch objecttype', 'fysische theorie']",['dwergster'],FALSE,FALSE
Q8421920,eskimo,Categorie:Eskimo-Aleoetische taalfamilie,,['Wikimedia-categorie'],['Wikimedia-categorie'],[],TRUE,FALSE
Q12012782,gay,docking,"['gay docking', 'cock docking']",['seksuele handeling waarbij een man zijn eikel met teruggeslagen voorhuid onder de voorhuid van een andere man plaatst'],"['menselijke seksuele activiteit', 'homoseksuele handelingen']","['frottage', 'aftrekken']",TRUE,FALSE
Q18336298,halfbloed,De halfbloed,,['korte stomme film uit Verenigde Staten van Amerika'],['korte film'],[],FALSE,TRUE
Q114572905,handicap,parastronaut,,astronaut met een lichamelijke handicap,['beroep'],['ruimtevaarder'],TRUE,FALSE
Q8035007,homoseksualiteit,Categorie:Mannelijke homoseksualiteit,,['Wikimedia-categorie'],['Wikimedia-categorie'],[],TRUE,FALSE
Q8225766,homoseksualiteit,homoseksualiteit in de samenleving,,,[],['homoseksualiteit'],TRUE,FALSE
Q592,homoseksueel,gay,['homoseksueel persoon'],['synoniem voor homosexueel'],"['seksuele geaardheid', 'seksuele minderheid']","['LGBTI', 'homoseksualiteit']",TRUE,FALSE
Q47740,islamiet,moslim,"['Mohameddanen', 'Mohammedaan', 'Moeslim', 'Mohammedanen', 'Moslima', 'Islamieten', 'Islamiet', 'Moslem', 'Moslims']",['aanhanger van de Islam'],['religieuze identiteit'],[],TRUE,FALSE
Q2369794,jap,King-JAP,,['motorfietsmerk uit Duitsland'],['historische motorfietsfabrikant'],[],FALSE,FALSE
Q54898510,jap,JAP-NF,,['cellijn van een Homo sapiens'],"['cellijn', 'getransformeerde cellijn']",[],FALSE,FALSE
Q55354560,kaukasisch,Kaukasische volkeren,,['tentoonstelling'],['tijdelijke tentoonstelling'],[],TRUE,FALSE
Q2639564,lagelonenland,lagelonenland,,,[],['land'],TRUE,FALSE
Q3133187,madras,,,"buitenwijk in Madras, India",['buitenwijk'],[],TRUE,FALSE
Q13430620,medicijnman,Arts en medicijnman,,,['tijdelijke tentoonstelling'],[],TRUE,FALSE
Q41975,mongool,Mongolen,"['Moghullen', 'Mongoolse afkomst', 'Mongoolse']",['etnische groep'],['etnische groep'],[],TRUE,FALSE
Q469930,mongool,De geheime geschiedenis van de Mongolen,,['literair werk'],['literair werk'],[],TRUE,FALSE
Q55594749,moor,Bottom o' th' Moor,,['nederzetting in Verenigd Koninkrijk'],['woonplaats'],[],FALSE,FALSE
Q177323,ontwikkelingsland,ontwikkelingsland,"['ontwikkelingslanden', 'derdewereldland']",,"['regio', 'geografische locatie']",['land'],TRUE,FALSE
Q2180237,ontwikkelingsland,Centrum tot Bevordering van de Import uit ontwikkelingslanden,['CBI'],,['overheidsagentschap'],[],TRUE,FALSE
Q855855,page,page,,['jonge bediende'],"['historisch beroep', 'adellijke titel']",['huishoudelijke hulp'],TRUE,FALSE
Q965204,page,Handley Page,,['bedrijf uit Verenigd Koninkrijk'],[],[],FALSE,FALSE
Q3309962,politionele actie,politionele actie,,['militaire actie waarvoor geen oorlogsverklaring nodig is'],[],['militaire operatie'],TRUE,FALSE
Q35200609,politionele actie,Pré-Politionele Actie in Palembang,['Pre-Politionele Actie in Palembang'],,['veldslag'],[],TRUE,FALSE
Q110734758,primitief,primitief leven,,['pasteltekening van Marianne van der Heijden uit 1995'],['kunstwerk'],[],FALSE,TRUE
Q171927,pygmee,Pygmeeën,"['Pygmeeen', 'Pigmeeën', 'Pigmeeen', 'Pygmee']",['etnische groep'],['etnische groep'],[],TRUE,FALSE
Q98121325,pygmee,onderzoek Pygmeeën (1933),,['expeditie van de KNAG'],['wetenschappelijke expeditie'],[],TRUE,FALSE
Q250584,stam,Morini,['Morini (stam)'],['stam'],['historische etnische groep'],"['Galliërs', 'Belgen']",TRUE,FALSE
Q486680,travestiet,travestie,"['travestiet', 'travesti', 'transvestitisme']","['bewust kleding dragen van het andere geslacht, anders dan voor een acteerrol']",[],[],TRUE,FALSE
Q2358362,tweede wereld,Tweede wereld,['Tweede wereld (Thorgal)'],['Thorgal'],['fictief universum'],[],FALSE,FALSE
Q1425676,zuid-rhodesië,,,politieke partij uit Zuid-Rhodesië,['politieke partij'],[],TRUE,FALSE
Q817393,zwart,zwarten,"['zwarte', 'zwarte mensen']",,['menselijk ras'],['gekleurde'],TRUE,FALSE
