term,source_1,source_2,source_3,wm
homo,[],[],"['homo', 'homophile', 'someone who is sexually attracted to persons of the same sex', 'gay', 'homosexual']","['“Homosexual” is a medical and legal term to refer to non-heterosexual sexualities. The term as such was invented in the mid-19th century as an abnormal identity category to distinguish a person who engaged in sexual acts with another of the same sex. Homosexuality has been and continues to be considered sinful, a mental illness or even criminal in several places across the world. The term, and its abbreviated form homo is sometimes used as derogatory or curse word.', '“Gay” is a commonly used term to refer to non-heterosexual sexualities, especially men. “Gay” is preferable to the more medical and legal term of “homosexual” (see also “Homosexual”). While “gay” is adopted by some people as a form of self-identification, the term is in some day-to-day contexts used in a derogatory way. Additionally, “homo” is used as a curse word.']"
oriental,[],"['Asian', 'Refers to the cultures of the continent of Asia, which is in the eastern hemisphere, and is bounded by the Pacific Ocean, the Indian Ocean, the Arctic Ocean, and is generally considered to be delimited on the west by the Ural Mountains. It also refers to the numerous islands off the coast of Asia.', 'Oriental (Asian)']","['oriental', 'oriental civilization', 'denoting or characteristic of countries of the Far East']","['This term derives from the Latin word “Oriënt”, meaning east. Historically, the term came to be used in Europe to describe people or things from Asia. “Oriental” gained widespread critique after the 1978 publication of Edward Said’s seminal work Orientalism, which critiqued Euro-American patronizing representations of the (Middle) East. While the term is contested for being geographically Eurocentric, and especially for its romanticizing and stereotypical image of Asian people as mysterious, “exotic” and foreign, it is still widely used.']"
coolie,"['coolie', 'worker', 'occupation']",[],"['cooly', 'coolie', '(ethnic slur) an offensive name for an unskilled Asian laborer']","['The term “Coolie” is thought to be derived from the Hindi word “quli,” meaning “day worker.” In Dutch it specifically refers to untrained contract/indentured laborers from Asia, who in the 1850s worked in the Dutch colonies of the Dutch East Indies (Indonesia) and later in the West Indies (Suriname). The term has also been used to describe contract laborers, especially from India, working in the British colonized regions of the Caribbean. There has been broad agreement among scholars, activists and diverse communities of interest from the mid-20th century onwards that the term is offensive. It is still used as a term of abuse for people of Asian descent.']"
ethnic groups,"['population group', 'personal data', 'ethnic group', 'classification system']","['ethnic group', 'ethnic groups', 'Subgroups within a larger cultural or social order that are distinguished from the majority and each other by their national, religious, linguistic, cultural, or sometimes racial background. For groups that are the objects of prejudice or discrimination from the majority, use ""minorities.""', 'groups, ethnic']",[],"['“Ethnicity” refers to the shared social, cultural or historical experiences and practices of a group of people, for example, language, religion or dress, and usually a national or regional background. “Ethnic group” describes the people having these shared features. While it may seem a neutral category it often is used to describe something or someone different from the norm or foreign, for example in “ethnic food” or “ethnic music.” When used to describe people, the term is normally associated with minority groups, although everyone has an ethnic identity. “Ethnicity” is sometimes confused with race and is incorrectly used by many as an alternative term, sidestepping the reference in race to biological differences.']"
tribe,"['polity', 'ethnic group', 'social group', 'tribe']","['Social, cultural groups, the members of which are held to be descended from a common ancestor, composed of numerous families, clans, or villages. They typically occupy a specific geographic territory, possess cultural, religious, and linguistic homogeneity, and are united politically under one head or chief.', 'tribe (kinship group)', 'tribes (kinship groups)', 'tribal societies']","['folk', 'kin', 'kindred', 'a social division of (usually preliterate) people', 'tribe', 'federation_of_tribes', 'clan', 'kinship_group', 'kin_group', 'a federation (as of American Indians)', 'group of people related by blood or marriage']","['The term “tribe” is often associated with so-called non-complex societies with simple political organization. While this is itself not contested, the term has come to connote “primitive,” “simple” and even “wild,” and is predominately associated with non-European peoples and cultures. The complexity of the term emerges because some cultural groups have come to embrace the term as a legal and group identity—for example Native North American Tribal Councils. “Tribe” also appears in the Qur’an and has therefore always been an accepted term in the Arab world. Even then, this term is still contested for its negative connotations. The term has very infrequently been used to describe ethnic groups in Europe, for example the Sami people or historically to describe Celtic peoples. In recent years, it has gained positive use within fashion or popular culture, to refer to style, e.g., “fashion tribes.”']"
headhunter,[],[],"['headhunter', 'head-shrinker', 'a savage who cuts off and preserves the heads of enemies as trophies']","['The term “headhunter” has two distinct meanings. The term has come to describe a professional recruiter who finds candidates for specific jobs. In this context it is not regarded as sensitive. Historically the term has been used to describe someone who participated in the ritual practice of taking trophy heads, for example during times of war. This practice was done in many places and by many peoples across the world including Europeans. In the Netherlands, the term was first used in the 19th century. Headhunting has long been represented in popular books and films, often to give the impression of primitive, wild, cruel and bloodthirsty tribal peoples of the jungle. This portrayal misrepresents the significant ritual role it had for the proper functioning of those societies that practiced it. The use of such terms and ideas reinforces the idea that certain peoples are essentially unchanging and “primitive” (see also “Primitive” and textbox Kunst).']"
first world,"['First World', 'classification system', 'group']","['developed countries', 'developed country', 'First World', 'developed world', 'Describes nations of the world that are considered economically and technologically advanced. Generally consider this more current and accurate than ""First World.""']",[],"['While still used in everyday speech, the term “Third World” is regarded as a vestige of Cold War politics, when the world was divided into three groups based on political and economic orientations or alliances. “First World” describes the United States and its allies, including Japan, Canada and countries in Western Europe, while nations that were part of the Communist Bloc, including China, USSR, Cuba and countries in Eastern Europe comprised the “Second World.” The term was first used (Alfred Akfred Sauvy 1952) to describe countries that were politically aligned with neither the First nor the Second worlds. “Third World” also became an economic categorization, used to refer to the poorest countries and regions of the world. This included countries in Asia, Africa, Latin America and the Caribbean, many of which were formerly colonized by Europe. An increasing number of people agree that the term is no longer appropriate, as it is not an accurate description of the complexity of the world and because it reinforces a division of the world into Western superiority and non-Western inferiority.']"
homosexual,"['sexual orientation', 'homosexuality', 'gay', 'sexual minority', 'LGBT']","['homosexual (person)', 'People having sexual attraction or sexual relations with others of the same sex.', 'homosexuals (people)']","['homo', 'homophile', 'someone who is sexually attracted to persons of the same sex', 'gay', 'homosexual', 'sexually attracted to members of your own sex']","['“Homosexual” is a medical and legal term to refer to non-heterosexual sexualities. The term as such was invented in the mid-19th century as an abnormal identity category to distinguish a person who engaged in sexual acts with another of the same sex. Homosexuality has been and continues to be considered sinful, a mental illness or even criminal in several places across the world. The term, and its abbreviated form homo is sometimes used as derogatory or curse word.', '“Gay” is a commonly used term to refer to non-heterosexual sexualities, especially men. “Gay” is preferable to the more medical and legal term of “homosexual” (see also “Homosexual”). While “gay” is adopted by some people as a form of self-identification, the term is in some day-to-day contexts used in a derogatory way. Additionally, “homo” is used as a curse word.']"
moor,[],"['Maures', 'Style and culture of a people of mixed Arab-Berber descent inhabiting the Western Sahara, neighboring parts of Morocco, Mali, Algeria, and the Islamic Republic of Mauritania. To refer to the products, style and culture of people living within the boundaries of Mauritania proper use ""Mauritanian.""', 'Moor (culture or style)', 'Mauri (Arab-Berber culture or style)', 'Maure']","['Moor', 'one of the Muslim people of north Africa; of mixed Arab and Berber descent; converted to Islam in the 8th century; conqueror of Spain in the 8th century']","['This is a controversial term. Its meaning has changed over time. While the term has been used to describe different groups of people it is commonly understood to describe Muslim people of Arab and Amazigh descent from North Africa and Southern Europe. At the same time, the term is said to be derived from a Greek term meaning “black, blackened or charred” and has been used in Europe since antiquity to describe Black people from Africa. In the Netherlands, as elsewhere, the term is used as a derogatory term for Muslims from North Africa or for a Black person.']"
métis,"['Métis', 'indigenous people', 'ethnic group', 'Indigenous people in Canada']","['Métis', 'Refers to the culture of the Metis, peoples of mixed French-Canadian and Native American ancestry.', 'Metis']",[],"['The term “Aboriginal” stems from the Latin words ab and origine, meaning “from the beginning”, and is a commonly used word, including in museum databases. “Aboriginal” describes the original inhabitants of a place and is primarily used to refer to Indigenous peoples in Australia and Canada (see also “Indigenous”). However, in Canada, there has been a recent preference for the use of Indigenous. The term does not adequately describe the complexity and diversity of Indigenous peoples. Many Indigenous peoples in both countries do not like to be referred to as “Aboriginal”, preferring to emphasize other markers of their identity such as language, land and clan relationships. In Canada the term came into general use in the 1980s, when a legal and overarching term was sought to collectively describe the existing—but controversial—categories “Indian,” “Inuit” and “Métis” (see also “Indian” and “Eskimo”).']"
