,entity_id,term,text_1,text_2,text_3,text_4,text_5
0,Q4774147,coolie,Anti-Coolie Act,['Anti-Coolie Act of 1862'],['US law imposed in 1862 to tax Chinese immigrants in favor of white laborers'],['Act of Congress in the United States'],[]
2,Q107865522,footmen,"77th US Colored Infantry: Footman, Amos",,"[""file unit in the National Archives and Records Administration's holdings (NAID 170772979)""]",['collection'],[]
3,Q63883739,footmen,Will and Won't,,musical character in the musical Bluebell in Fairyland by Walter Slaughter; mr. Joplin's footmen; also the Reigning King and Queen,"['fictional human', 'musical theatre character']",[]
4,Q59935951,half-breed,Abstracts of Claims to Allotments on the Nemaha Half-Breed Reserve (NAID 2058536),,"[""series in the National Archives and Records Administration's holdings""]",['collection'],[]
5,Q64400362,half-breed,Canceled Homestead Files and Chippewa Indian of Lake Superior Half-Breed Scrip Files (NAID 7794429),,"[""a series in the National Archives and Records Administration's holdings""]",['collection'],[]
6,Q219252,hottentot,amaqaba,"['Hottentot', 'Khoe', 'Khoe-khoe', 'Khoekhoe', 'Khoi-khoi', 'Khoekhoen']",['ethnic group'],['ethnic group'],['African people']
7,Q104968492,mohammedan,Catalogue of the ivory carvings of the Christian era with examples of Mohammedan art and carvings in bone in the Department of British and Mediaeval Antiquities and Ethnography of the British Museum,,,['museum catalogue'],[]
8,Q63314480,mohammedan,"Travels in Arabia, comprehending an account of those territories in Hedjaz which the Mohammedans regard as sacred (1829 edition)",,['1829 edition of book by John Lewis BURCKHARDT'],"['version, edition, or translation']",[]
9,Q115997244,mulatto,"Dismantling the tragic mulatto/a: interrogating racial authenticity, genre, and black motherhood in African American women's fiction",,['2019 doctoral thesis by Gyasi Byng Francisco at the University of Rochester'],['Doctor of Philosophy thesis'],[]
10,Q7832650,mulatto,tragic mulatto,,['stereotypical fictional character in 19th and 20th century American literature'],['stock character'],[]
