,entity_id,term,text_1,text_2,text_3,text_4,text_5
0,Q20656136,derde wereld,Het Theater van de Derde Wereld in Europa,,,['theatergroep'],[]
1,Q18336298,halfbloed,De halfbloed,,['korte stomme film uit Verenigde Staten van Amerika'],['korte film'],[]
2,Q47740,islamiet,moslim,"['Mohameddanen', 'Mohammedaan', 'Moeslim', 'Mohammedanen', 'Moslima', 'Islamieten', 'Islamiet', 'Moslem', 'Moslims']",['aanhanger van de Islam'],['religieuze identiteit'],[]
3,Q2639564,lagelonenland,lagelonenland,,,[],['land']
5,Q3309962,politionele actie,politionele actie,,['militaire actie waarvoor geen oorlogsverklaring nodig is'],[],['militaire operatie']
6,Q35200609,politionele actie,Pré-Politionele Actie in Palembang,['Pre-Politionele Actie in Palembang'],,['veldslag'],[]
8,Q171927,pygmee,Pygmeeën,"['Pygmeeen', 'Pigmeeën', 'Pigmeeen', 'Pygmee']",['etnische groep'],['etnische groep'],[]
9,Q98121325,pygmee,onderzoek Pygmeeën (1933),,['expeditie van de KNAG'],['wetenschappelijke expeditie'],[]
10,Q486680,travestiet,travestie,"['travestiet', 'travesti', 'transvestitisme']","['bewust kleding dragen van het andere geslacht, anders dan voor een acteerrol']",[],[]
11,Q2358362,tweede wereld,Tweede wereld,['Tweede wereld (Thorgal)'],['Thorgal'],['fictief universum'],[]
13,Q2008347,allochtoon,allochtoon,,['persoon'],['sociale groep'],['mens']
14,Q8035007,homoseksualiteit,Categorie:Mannelijke homoseksualiteit,,['Wikimedia-categorie'],['Wikimedia-categorie'],[]
15,Q8225766,homoseksualiteit,homoseksualiteit in de samenleving,,,[],['homoseksualiteit']
16,Q592,homoseksueel,gay,['homoseksueel persoon'],['synoniem voor homosexueel'],"['seksuele geaardheid', 'seksuele minderheid']","['LGBTI', 'homoseksualiteit']"
17,Q2369794,jap,King-JAP,,['motorfietsmerk uit Duitsland'],['historische motorfietsfabrikant'],[]
18,Q54898510,jap,JAP-NF,,['cellijn van een Homo sapiens'],"['cellijn', 'getransformeerde cellijn']",[]
19,Q13430620,medicijnman,Arts en medicijnman,,,['tijdelijke tentoonstelling'],[]
20,Q177323,ontwikkelingsland,ontwikkelingsland,"['ontwikkelingslanden', 'derdewereldland']",,"['regio', 'geografische locatie']",['land']
21,Q2180237,ontwikkelingsland,Centrum tot Bevordering van de Import uit ontwikkelingslanden,['CBI'],,['overheidsagentschap'],[]
22,Q1425676,zuid-rhodesië,,,politieke partij uit Zuid-Rhodesië,['politieke partij'],[]
23,Q2666080,birma,Birma op de Olympische Zomerspelen 1988,,,['land op de Olympische Spelen'],[]
24,Q8421920,eskimo,Categorie:Eskimo-Aleoetische taalfamilie,,['Wikimedia-categorie'],['Wikimedia-categorie'],[]
25,Q114572905,handicap,parastronaut,,astronaut met een lichamelijke handicap,['beroep'],['ruimtevaarder']
26,Q55354560,kaukasisch,Kaukasische volkeren,,['tentoonstelling'],['tijdelijke tentoonstelling'],[]
27,Q3133187,madras,,,"buitenwijk in Madras, India",['buitenwijk'],[]
28,Q41975,mongool,Mongolen,"['Moghullen', 'Mongoolse afkomst', 'Mongoolse']",['etnische groep'],['etnische groep'],[]
29,Q469930,mongool,De geheime geschiedenis van de Mongolen,,['literair werk'],['literair werk'],[]
30,Q855855,page,page,,['jonge bediende'],"['historisch beroep', 'adellijke titel']",['huishoudelijke hulp']
31,Q965204,page,Handley Page,,['bedrijf uit Verenigd Koninkrijk'],[],[]
32,Q110734758,primitief,primitief leven,,['pasteltekening van Marianne van der Heijden uit 1995'],['kunstwerk'],[]
33,Q833860,bediende,dienstmeid,"['bediende', 'huishoudster', 'dienstmaagd']",['werknemer binnen een huishouding'],['beroep'],['huishoudelijke hulp']
34,Q99228228,bediende,Alois Řehák,,"bediende van belastingdienst in Praag, expert in distilleerderijen",['mens'],[]
35,Q12413015,bombay,Andheri,,"buitenwijk in Bombay, India",['buitenwijk'],[]
36,Q4856518,bombay,,,"buitenwijk in Bombay, India",['buitenwijk'],[]
37,Q1348,calcutta,Calcutta,['Kolkata'],['stad in India'],"['miljoenenstad', 'miljoenenstad', 'metropool']",[]
38,Q5871,dwerg,witte dwerg,,,"['spectraalklasse', 'sterevolutie', 'astronomisch objecttype', 'fysische theorie']",['dwergster']
39,Q12012782,gay,docking,"['gay docking', 'cock docking']",['seksuele handeling waarbij een man zijn eikel met teruggeslagen voorhuid onder de voorhuid van een andere man plaatst'],"['menselijke seksuele activiteit', 'homoseksuele handelingen']","['frottage', 'aftrekken']"
40,Q55594749,moor,Bottom o' th' Moor,,['nederzetting in Verenigd Koninkrijk'],['woonplaats'],[]
41,Q250584,stam,Morini,['Morini (stam)'],['stam'],['historische etnische groep'],"['Galliërs', 'Belgen']"
43,Q817393,zwart,zwarten,"['zwarte', 'zwarte mensen']",,['menselijk ras'],['gekleurde']
