,resource,lang,lemma,entity_id,explicit_marker,value,level
0,pwn,en,headhunter,headhunter.n.01,usage_domain,['colloquialism.n.01'],1
1,pwn,en,indian,half-breed.n.01,usage_domain,['disparagement.n.01'],3
2,pwn,en,coolie,coolie.n.01,usage_domain,"['disparagement.n.01', 'ethnic_slur.n.01']",3
3,pwn,en,white,white-shoe.s.01,usage_domain,['colloquialism.n.01'],1
4,pwn,en,white,white_trash.n.01,usage_domain,"['disparagement.n.01', 'slang.n.02']",1
5,pwn,en,white,whitey.n.01,usage_domain,"['disparagement.n.01', 'slang.n.02']",1
6,pwn,en,caucasian,half-breed.n.01,usage_domain,['disparagement.n.01'],3
7,pwn,en,kaffir,kaffir.n.02,usage_domain,['disparagement.n.01'],3
8,pwn,en,descent,chink.n.01,usage_domain,"['disparagement.n.01', 'ethnic_slur.n.01', 'slang.n.02']",1
9,pwn,en,descent,paddy.n.01,usage_domain,"['disparagement.n.01', 'ethnic_slur.n.01']",1
10,pwn,en,descent,wop.n.01,usage_domain,"['disparagement.n.01', 'ethnic_slur.n.01', 'slang.n.02']",1
11,pwn,en,descent,jap.n.01,usage_domain,"['disparagement.n.01', 'slang.n.02']",1
12,pwn,en,descent,spic.n.01,usage_domain,"['disparagement.n.01', 'ethnic_slur.n.01', 'slang.n.02']",1
13,pwn,en,descent,greaser.n.01,usage_domain,"['disparagement.n.01', 'ethnic_slur.n.01']",1
14,pwn,en,descent,kraut.n.01,usage_domain,"['disparagement.n.01', 'slang.n.02']",1
15,pwn,en,mongoloid,mongoloid.n.02,usage_domain,['disparagement.n.01'],3
16,pwn,en,mongoloid,mongoloid.a.03,usage_domain,['disparagement.n.01'],3
17,pwn,en,homosexual,butch.s.02,usage_domain,['slang.n.02'],2
18,pwn,en,homosexual,straight.s.10,usage_domain,['colloquialism.n.01'],1
19,pwn,en,homosexual,fagot.n.01,usage_domain,['disparagement.n.01'],3
20,pwn,en,native,redskin.n.01,usage_domain,"['disparagement.n.01', 'slang.n.02']",1
21,pwn,en,black,kaffir.n.02,usage_domain,['disparagement.n.01'],3
22,pwn,en,black,mammy.n.01,usage_domain,['disparagement.n.01'],1
23,pwn,en,black,pickaninny.n.01,usage_domain,"['disparagement.n.01', 'ethnic_slur.n.01']",1
24,pwn,en,queer,fagot.n.01,usage_domain,['disparagement.n.01'],3
25,pwn,en,queer,fishy.s.02,usage_domain,['colloquialism.n.01'],2
26,pwn,en,half-breed,half-breed.n.01,usage_domain,['disparagement.n.01'],3
27,pwn,en,lilliputian,fiddling.s.01,usage_domain,['colloquialism.n.01'],2
28,pwn,en,race,pumped-up.s.01,usage_domain,['colloquialism.n.01'],1
29,pwn,en,race,burnup.n.01,usage_domain,['slang.n.02'],1
