synset_id,usage_domains
potted.s.03,['colloquialism.n.01']
living.s.03,"['colloquialism.n.01', 'intensifier.n.01']"
come-at-able.s.02,['colloquialism.n.01']
un-come-at-able.s.01,['colloquialism.n.01']
dead-on.s.01,['colloquialism.n.01']
hot.s.21,['colloquialism.n.01']
fly.s.01,['colloquialism.n.01']
hot_under_the_collar.s.01,['colloquialism.n.01']
huffy.s.02,['colloquialism.n.01']
livid.s.03,['colloquialism.n.01']
dinky.s.02,['colloquialism.n.01']
dishy.s.01,['colloquialism.n.01']
primo.s.01,['colloquialism.n.01']
chicken.s.01,['colloquialism.n.01']
bone-idle.s.01,['colloquialism.n.01']
chancy.s.02,['colloquialism.n.01']
punch-drunk.s.01,['colloquialism.n.01']
anserine.s.02,['colloquialism.n.01']
chummy.s.02,['colloquialism.n.01']
togged.s.01,['colloquialism.n.01']
bare-assed.s.01,['colloquialism.n.01']
starkers.s.01,['colloquialism.n.01']
comfortable.a.01,['colloquialism.n.01']
bad.s.03,['colloquialism.n.01']
flustered.s.01,['colloquialism.n.01']
jammed.s.01,['colloquialism.n.01']
square.s.06,['slang.n.02']
far-out.s.01,['colloquialism.n.01']
boss-eyed.s.01,['colloquialism.n.01']
broken.s.11,['colloquialism.n.01']
knocked-out.s.01,['colloquialism.n.01']
licked.s.01,['colloquialism.n.01']
plummy.s.01,['colloquialism.n.01']
done_for.s.01,['colloquialism.n.01']
tall.s.03,['colloquialism.n.01']
cushy.s.01,['colloquialism.n.01']
flat-footed.s.04,['colloquialism.n.01']
besotted.s.01,['slang.n.02']
hopped-up.s.02,['colloquialism.n.01']
live.s.07,['colloquialism.n.01']
can-do.s.01,['slang.n.02']
anxious.s.01,['colloquialism.n.01']
ritzy.s.01,['colloquialism.n.01']
het_up.s.02,['colloquialism.n.01']
crazy.s.05,['colloquialism.n.01']
no-frills.s.01,['colloquialism.n.01']
crazy.s.03,['colloquialism.n.01']
big-ticket.s.01,['colloquialism.n.01']
freaky.s.01,['slang.n.02']
cool.s.07,['colloquialism.n.01']
groovy.s.02,['colloquialism.n.01']
in.s.03,['colloquialism.n.01']
prehistoric.s.03,['colloquialism.n.01']
classy.s.01,['colloquialism.n.01']
snazzy.s.01,['colloquialism.n.01']
gammy.s.01,['colloquialism.n.01']
niffy.s.01,['colloquialism.n.01']
chummy.s.01,['colloquialism.n.01']
stuffed.s.02,['colloquialism.n.01']
honest-to-god.s.01,['colloquialism.n.01']
bang-up.s.01,['colloquialism.n.01']
hopeless.s.04,['colloquialism.n.01']
icky.s.01,['colloquialism.n.01']
rubber.s.01,['colloquialism.n.01']
uncool.s.01,['slang.n.02']
shirty.s.01,['colloquialism.n.01']
straight.s.10,['colloquialism.n.01']
butch.s.02,['slang.n.02']
shady.s.03,['colloquialism.n.01']
killing.s.01,['colloquialism.n.01']
dicky.s.01,['colloquialism.n.01']
big.s.02,['colloquialism.n.01']
fiddling.s.01,['colloquialism.n.01']
potty.s.02,['colloquialism.n.01']
hep.s.01,['colloquialism.n.01']
highbrow.s.01,['colloquialism.n.01']
humongous.s.01,['colloquialism.n.01']
man-sized.s.02,['colloquialism.n.01']
whacking.s.01,['colloquialism.n.01']
bitty.s.01,['colloquialism.n.01']
dinky.s.01,['colloquialism.n.01']
hot.s.06,['colloquialism.n.01']
canned.s.01,['colloquialism.n.01']
blue-eyed.s.01,['colloquialism.n.01']
touchy-feely.s.01,['disparagement.n.01']
hexed.s.01,['colloquialism.n.01']
blood-and-guts.s.01,['colloquialism.n.01']
bodacious.s.01,['colloquialism.n.01']
all-fired.s.01,['colloquialism.n.01']
decent.s.04,['colloquialism.n.01']
together.s.01,['colloquialism.n.01']
grotty.s.01,['slang.n.02']
frightful.s.02,['colloquialism.n.01']
one.s.04,['colloquialism.n.01']
some.s.04,"['colloquialism.n.01', 'slang.n.02']"
square.s.04,['colloquialism.n.01']
stuck.s.02,['colloquialism.n.01']
mind-bending.s.01,['colloquialism.n.01']
dressy.s.01,['colloquialism.n.01']
cockamamie.s.01,['colloquialism.n.01']
beastly.s.01,['colloquialism.n.01']
hot.s.11,['colloquialism.n.01']
crazy.s.02,['colloquialism.n.01']
high-flown.s.01,['colloquialism.n.01']
jumped-up.s.01,['colloquialism.n.01']
white-shoe.s.01,['colloquialism.n.01']
fat.s.04,['colloquialism.n.01']
kosher.s.02,['colloquialism.n.01']
cool.s.06,['colloquialism.n.01']
fishy.s.02,['colloquialism.n.01']
lunatic.s.01,['colloquialism.n.01']
screw-loose.s.01,['colloquialism.n.01']
all_right.s.01,['colloquialism.n.01']
umpteenth.s.01,['colloquialism.n.01']
hot.s.10,['colloquialism.n.01']
mean.s.04,['slang.n.02']
clubbable.s.01,['colloquialism.n.01']
bad.s.08,['colloquialism.n.01']
bolshy.s.01,['slang.n.02']
shy.s.02,['colloquialism.n.01']
ace.s.01,['colloquialism.n.01']
boss.s.01,['colloquialism.n.01']
bum.s.01,['colloquialism.n.01']
ropey.s.03,['colloquialism.n.01']
gobsmacked.s.01,['colloquialism.n.01']
goggle-eyed.s.01,['colloquialism.n.01']
jiggered.s.01,['colloquialism.n.01']
buttoned-up.s.01,['colloquialism.n.01']
pint-size.s.01,['slang.n.02']
pumped-up.s.01,['colloquialism.n.01']
economical.s.03,['colloquialism.n.01']
all_in.s.01,['colloquialism.n.01']
whacked.s.01,['colloquialism.n.01']
fuggy.s.01,['colloquialism.n.01']
knockdown-dragout.s.01,['colloquialism.n.01']
slam-bang.s.01,['slang.n.02']
goofy.s.01,['colloquialism.n.01']
mongoloid.a.03,['disparagement.n.01']
boiling.r.01,['colloquialism.n.01']
clean.r.01,['slang.n.02']
plumb.r.03,['colloquialism.n.01']
okay.r.01,['colloquialism.n.01']
anywhere.r.01,['colloquialism.n.01']
somewhere.r.01,['colloquialism.n.01']
everywhere.r.01,['colloquialism.n.01']
anon.r.02,['colloquialism.n.01']
obviously.r.01,['colloquialism.n.01']
drop-dead.r.01,['slang.n.02']
terribly.r.01,['colloquialism.n.01']
by_all_means.r.01,['colloquialism.n.01']
by_no_means.r.01,['colloquialism.n.01']
thoroughly.r.02,['colloquialism.n.01']
right.r.03,['colloquialism.n.01']
forever.r.02,['colloquialism.n.01']
dingdong.r.01,['colloquialism.n.01']
way.r.01,['colloquialism.n.01']
at_least.r.01,['colloquialism.n.01']
irregardless.r.01,['colloquialism.n.01']
surely.r.01,['colloquialism.n.01']
easily.r.01,['colloquialism.n.01']
easy.r.03,['colloquialism.n.01']
slowly.r.01,['colloquialism.n.01']
in_a_pig's_eye.r.01,['colloquialism.n.01']
like_hell.r.01,['colloquialism.n.01']
hopelessly.r.01,['colloquialism.n.01']
bang.r.01,['colloquialism.n.01']
roughly.r.02,['colloquialism.n.01']
heaps.r.01,['colloquialism.n.01']
plop.r.01,['colloquialism.n.01']
plump.r.01,['colloquialism.n.01']
sweetly.r.01,['colloquialism.n.01']
firewall.n.01,['colloquialism.n.01']
fix.n.02,['colloquialism.n.01']
bite.n.09,['slang.n.02']
heavy_lifting.n.01,['colloquialism.n.01']
game.n.10,['colloquialism.n.01']
gyp.n.01,['disparagement.n.01']
swiz.n.01,['slang.n.02']
heist.n.01,['slang.n.02']
shakedown.n.03,['slang.n.02']
no-brainer.n.01,['colloquialism.n.01']
crapshoot.n.01,['colloquialism.n.01']
power_trip.n.01,['slang.n.02']
fuck.n.01,"['obscenity.n.02', 'slang.n.02']"
snogging.n.01,['colloquialism.n.01']
cock_sucking.n.01,['slang.n.02']
jacking_off.n.01,['slang.n.02']
dekko.n.01,['slang.n.02']
square-bashing.n.01,['slang.n.02']
shakedown.n.02,['slang.n.02']
wash.n.08,['colloquialism.n.01']
aggro.n.01,['colloquialism.n.01']
dickeybird.n.01,['colloquialism.n.01']
bunny.n.02,['colloquialism.n.01']
bastard.n.03,['disparagement.n.01']
bib-and-tucker.n.01,['colloquialism.n.01']
caff.n.01,['slang.n.02']
deck.n.02,['slang.n.02']
delf.n.01,['colloquialism.n.01']
funny_wagon.n.01,['colloquialism.n.01']
gat.n.01,['slang.n.02']
ghetto_blaster.n.01,['colloquialism.n.01']
lemon.n.05,['colloquialism.n.01']
long_johns.n.01,"['colloquialism.n.01', 'plural.n.01']"
main_drag.n.01,['colloquialism.n.01']
mickey_finn.n.01,['slang.n.02']
nick.n.02,['slang.n.02']
put-put.n.01,['colloquialism.n.01']
rathole.n.02,['colloquialism.n.01']
rattrap.n.02,['colloquialism.n.01']
redbrick_university.n.01,['colloquialism.n.01']
ritz.n.03,['colloquialism.n.01']
schlock.n.01,['slang.n.02']
security_blanket.n.01,['colloquialism.n.01']
shooting_gallery.n.01,['colloquialism.n.01']
sunday_best.n.01,['colloquialism.n.01']
war_paint.n.02,['colloquialism.n.01']
effeminacy.n.01,['disparagement.n.01']
cert.n.01,['slang.n.02']
smoke.n.04,['colloquialism.n.01']
class.n.08,['colloquialism.n.01']
setup.n.02,['colloquialism.n.01']
backbone.n.02,['colloquialism.n.01']
legs.n.01,['slang.n.02']
way.n.09,['colloquialism.n.01']
number.n.09,['colloquialism.n.01']
enormity.n.02,['colloquialism.n.01']
drag.n.03,['colloquialism.n.01']
hot_stuff.n.01,['colloquialism.n.01']
soup-strainer.n.01,['slang.n.02']
eye.n.01,['colloquialism.n.01']
peeper.n.02,['colloquialism.n.01']
cock.n.01,['obscenity.n.02']
arse.n.02,['slang.n.02']
pot.n.07,['slang.n.02']
proboscis.n.01,['colloquialism.n.01']
countenance.n.03,['colloquialism.n.01']
can_of_worms.n.01,['colloquialism.n.01']
hang-up.n.01,['colloquialism.n.01']
niff.n.01,['slang.n.02']
think.n.01,['colloquialism.n.01']
crosshairs.n.01,['colloquialism.n.01']
turn-on.n.01,['colloquialism.n.01']
turnoff.n.01,['colloquialism.n.01']
plague.n.05,['colloquialism.n.01']
bare_bones.n.01,"['colloquialism.n.01', 'plural.n.01']"
pertainym.n.01,['colloquialism.n.01']
teaser.n.05,['colloquialism.n.01']
corker.n.01,['slang.n.02']
pickup.n.02,['colloquialism.n.01']
stuff.n.04,['slang.n.02']
double_dutch.n.01,['colloquialism.n.01']
baloney.n.01,['slang.n.02']
bullshit.n.01,['obscenity.n.02']
chickenshit.n.01,['obscenity.n.02']
folderol.n.01,['slang.n.02']
skin_flick.n.01,['slang.n.02']
put-down.n.01,['colloquialism.n.01']
dibs.n.01,['slang.n.02']
rap.n.04,['colloquialism.n.01']
bull_session.n.01,['colloquialism.n.01']
huddle.n.01,['colloquialism.n.01']
pep_talk.n.01,['colloquialism.n.01']
homestretch.n.01,['colloquialism.n.01']
barnburner.n.02,['colloquialism.n.01']
blessed_event.n.01,['colloquialism.n.01']
bunfight.n.01,['slang.n.02']
burnup.n.01,['slang.n.02']
creeps.n.02,['colloquialism.n.01']
blahs.n.01,['colloquialism.n.01']
nosh-up.n.01,['slang.n.02']
banger.n.01,['colloquialism.n.01']
firewater.n.01,['colloquialism.n.01']
swad.n.01,['colloquialism.n.01']
hood.n.03,['slang.n.02']
mafia.n.03,['colloquialism.n.01']
turf.n.03,['colloquialism.n.01']
'hood.n.01,['slang.n.02']
borscht_circuit.n.01,['colloquialism.n.01']
drink.n.04,['colloquialism.n.01']
number_one.n.01,['colloquialism.n.01']
white_trash.n.01,"['disparagement.n.01', 'slang.n.02']"
whitey.n.01,"['disparagement.n.01', 'slang.n.02']"
coolie.n.01,"['disparagement.n.01', 'ethnic_slur.n.01']"
redskin.n.01,"['disparagement.n.01', 'slang.n.02']"
papist.n.01,['disparagement.n.01']
kike.n.01,"['disparagement.n.01', 'ethnic_slur.n.01', 'slang.n.02']"
chink.n.01,"['disparagement.n.01', 'ethnic_slur.n.01', 'slang.n.02']"
paddy.n.01,"['disparagement.n.01', 'ethnic_slur.n.01']"
wop.n.01,"['disparagement.n.01', 'ethnic_slur.n.01', 'slang.n.02']"
jap.n.01,"['disparagement.n.01', 'slang.n.02']"
spic.n.01,"['disparagement.n.01', 'ethnic_slur.n.01', 'slang.n.02']"
greaser.n.01,"['disparagement.n.01', 'ethnic_slur.n.01']"
kraut.n.01,"['disparagement.n.01', 'slang.n.02']"
airhead.n.01,['slang.n.02']
asshole.n.01,['obscenity.n.02']
bad_egg.n.01,['slang.n.02']
big_shot.n.01,['colloquialism.n.01']
boffin.n.01,['slang.n.02']
bull.n.05,['colloquialism.n.01']
butch.n.01,"['disparagement.n.01', 'slang.n.02']"
canary.n.02,['colloquialism.n.01']
cannon_fodder.n.01,['colloquialism.n.01']
crazy.n.01,['colloquialism.n.01']
dick.n.01,['colloquialism.n.01']
dimwit.n.01,['colloquialism.n.01']
dodo.n.01,['colloquialism.n.01']
don't-know.n.01,['colloquialism.n.01']
fagot.n.01,['disparagement.n.01']
fence.n.02,['colloquialism.n.01']
flop.n.02,['colloquialism.n.01']
fuddy-duddy.n.01,['colloquialism.n.01']
gal.n.03,['colloquialism.n.01']
geezer.n.01,['colloquialism.n.01']
good_egg.n.01,['slang.n.02']
guvnor.n.01,['slang.n.02']
half-caste.n.01,['disparagement.n.01']
half-breed.n.01,['disparagement.n.01']
head.n.15,['colloquialism.n.01']
headhunter.n.01,['colloquialism.n.01']
hustler.n.02,['colloquialism.n.01']
indian_giver.n.01,['disparagement.n.01']
kaffir.n.02,['disparagement.n.01']
know-it-all.n.01,['colloquialism.n.01']
lazybones.n.01,['colloquialism.n.01']
mammy.n.01,['disparagement.n.01']
man.n.08,['colloquialism.n.01']
middlebrow.n.01,['colloquialism.n.01']
mongoloid.n.02,['disparagement.n.01']
moonie.n.01,['disparagement.n.01']
mouthpiece.n.03,['colloquialism.n.01']
nazi.n.02,['disparagement.n.01']
old_man.n.05,['slang.n.02']
out-and-outer.n.01,['slang.n.02']
paperhanger.n.01,['colloquialism.n.01']
pickaninny.n.01,"['disparagement.n.01', 'ethnic_slur.n.01']"
rainmaker.n.01,['colloquialism.n.01']
ringer.n.02,['colloquialism.n.01']
schlockmeister.n.01,['slang.n.02']
shegetz.n.01,"['disparagement.n.01', 'yiddish.n.01']"
shiksa.n.01,"['disparagement.n.01', 'yiddish.n.01']"
shoofly.n.01,['colloquialism.n.01']
sourpuss.n.01,['colloquialism.n.01']
rebel.n.01,['colloquialism.n.01']
spoilsport.n.01,['colloquialism.n.01']
square.n.06,['colloquialism.n.01']
squeeze.n.04,['slang.n.02']
street_arab.n.01,['disparagement.n.01']
stuffed_shirt.n.01,['colloquialism.n.01']
suit.n.03,"['disparagement.n.01', 'slang.n.02']"
thrush.n.02,['colloquialism.n.01']
townee.n.01,['colloquialism.n.01']
tree_hugger.n.01,['disparagement.n.01']
tripper.n.01,['slang.n.02']
wag.n.01,['colloquialism.n.01']
wog.n.01,"['disparagement.n.01', 'slang.n.02']"
woman.n.02,['colloquialism.n.01']
juice.n.03,['slang.n.02']
pile.n.03,['slang.n.02']
killing.n.03,['colloquialism.n.01']
giveaway.n.01,['colloquialism.n.01']
meal_ticket.n.01,['colloquialism.n.01']
swag.n.01,['colloquialism.n.01']
ice.n.03,['colloquialism.n.01']
peeing.n.01,['obscenity.n.02']
key.n.05,['slang.n.02']
bugger_all.n.01,['obscenity.n.02']
skinful.n.01,['slang.n.02']
load.n.04,['colloquialism.n.01']
soup.n.03,['colloquialism.n.01']
size.n.04,['colloquialism.n.01']
state.n.06,['colloquialism.n.01']
frazzle.n.01,['colloquialism.n.01']
horniness.n.01,['colloquialism.n.01']
juice.n.02,['slang.n.02']
charley_horse.n.01,['colloquialism.n.01']
the_shits.n.01,['slang.n.02']
jitters.n.01,['slang.n.02']
dumps.n.01,['colloquialism.n.01']
bitch.n.01,['slang.n.02']
shot.n.04,['colloquialism.n.01']
street.n.04,['colloquialism.n.01']
throw.n.02,['colloquialism.n.01']
fug.n.01,['colloquialism.n.01']
crap.n.01,['obscenity.n.02']
soup.n.02,['colloquialism.n.01']
sticks_and_stone.n.01,['colloquialism.n.01']
week_from_monday.n.01,['colloquialism.n.01']
month_of_sundays.n.01,['colloquialism.n.01']
blue_moon.n.01,['colloquialism.n.01']
give.v.42,['slang.n.02']
buy_it.v.01,['slang.n.02']
figure.v.05,['colloquialism.n.01']
feel.v.13,['slang.n.02']
hoof.v.02,['slang.n.02']
foot.v.02,['colloquialism.n.01']
keep_one's_eyes_peeled.v.01,['colloquialism.n.01']
chuck.v.02,['slang.n.02']
give_it_a_whirl.v.01,['colloquialism.n.01']
gyp.v.01,['disparagement.n.01']
break.v.28,['colloquialism.n.01']
bunk_off.v.01,['slang.n.02']
