,resource,lang,lemma,entity_id,explicit_marker,value,level
0,wikidata,en,immigrant,Q1532765,P31,Q1371427,1
1,wikidata,en,immigrant,Q55611664,P31,Q545779,1
2,wikidata,en,barbarian,Q134313,P31,Q1371427,3
3,wikidata,en,servant,Q10543172,P31,Q16335296,1
4,wikidata,en,servant,Q1075791,P31,Q16335296,1
5,wikidata,en,servant,Q303928,P31,Q16335296,1
6,wikidata,en,servant,Q855855,P31,Q16335296,3
7,wikidata,en,servant,Q3007620,P31,Q16335296,1
8,wikidata,en,servant,Q3032660,P31,Q16335296,1
9,wikidata,en,servant,Q5913718,P31,Q545779,1
10,wikidata,en,servant,Q1412722,P31,Q16335296,1
11,wikidata,en,gypsy,Q76475,P31,Q545779,1
12,wikidata,en,white,Q7129609,P31,Q2042898,3
13,wikidata,en,white,Q1066801,P31,Q545779,1
14,wikidata,en,white,Q95530210,P31,Q545779,1
15,wikidata,en,white,Q1135775,P31,Q545779,1
16,wikidata,en,white,Q45991,P31,Q1371427,1
17,wikidata,en,caucasian,Q7129609,P31,Q2042898,3
18,wikidata,en,kaffir,Q1285250,P31,Q1371427,3
19,wikidata,en,homosexual,Q165371,P31,Q1520214,1
20,wikidata,en,page,Q110768064,P2559,add to statements where the number of pages (P1104) has been inferred from the referenced page numbers (P304),1
21,wikidata,en,page,Q112059263,P2559,Use as the value for statements with property P887,1
22,wikidata,en,page,Q70894304,P2559,"To clarify that a linked redirect page is intentional or not, a proposal is drafted at Wikidata:Sitelinks to redirects",1
23,wikidata,en,page,Q21510852,P2559,use as value for P2302 (property constraint),1
24,wikidata,en,page,Q855855,P31,Q16335296,3
25,wikidata,en,page,Q3938,P2559,"This is not the actual sandbox of Wikidata. For test editing, use Q4115189, Q13406268, Q15397819, or Q112795079.",1
26,wikidata,en,native,Q96200400,P2559,P2283 => Q96200400 (qualifier P642 => [the particular indigenous people(s) acknowledged]),2
27,wikidata,en,negro,Q1130557,P31,Q1371427,3
28,wikidata,en,negro,Q5913718,P31,Q545779,1
29,wikidata,en,negro,Q1974358,P31,Q545779,1
30,wikidata,en,mulatto,Q191923,P31,Q2042898,3
31,wikidata,en,aboriginal,Q96200400,P2559,P2283 => Q96200400 (qualifier P642 => [the particular indigenous people(s) acknowledged]),2
32,wikidata,en,eskimo,Q4532729,P2559,"Nowadays many organizations are using a broader concept ""arctic studies"" instead of ""eskimology"".",1
33,wikidata,en,gay,Q165371,P31,Q1520214,1
34,wikidata,en,gay,Q898608,P31,Q545779,1
35,wikidata,en,gay,Q55657493,P31,Q545779,1
36,wikidata,en,colored,Q67085833,P2559,"use with P1552 to indicate that a vinyl record is anything other than black in color; qualify with P5422, P462 where applicable",1
