item,usage_instructions
http://www.wikidata.org/entity/Q12173670,note the item for the female given name
http://www.wikidata.org/entity/Q18020453,note the item for the female given name
http://www.wikidata.org/entity/Q18620536,note the item for the female given name
http://www.wikidata.org/entity/Q18689525,note the item for the female given name
http://www.wikidata.org/entity/Q27920067,note the item for the female given name
http://www.wikidata.org/entity/Q98651478,note the item for the female given name
http://www.wikidata.org/entity/Q18670161,"See also ""mascot character"", Q386208"
http://www.wikidata.org/entity/Q19846085,equal to [[Special:TrackingCategories]]
http://www.wikidata.org/entity/Q20571325,Equivalent to Q30 for alternate-script articles in multiple-script languages. Please do not add a link here unless your wiki already has an article listed at Q30
http://www.wikidata.org/entity/Q20899244,For use with source indicator P459 when adding statements with P735
http://www.wikidata.org/entity/Q21070598,for humans use Q21070568
http://www.wikidata.org/entity/P2257,"Use with unit of time, sample: year (Q577)."
http://www.wikidata.org/entity/Q19474404,use as value for P2302 (property constraint)
http://www.wikidata.org/entity/Q21502404,use as value for P2302 (property constraint)
http://www.wikidata.org/entity/Q21502410,use as value for P2302 (property constraint)
http://www.wikidata.org/entity/Q21510851,use as value for P2302 (property constraint)
http://www.wikidata.org/entity/Q21510852,use as value for P2302 (property constraint)
http://www.wikidata.org/entity/Q21510854,use as value for P2302 (property constraint)
http://www.wikidata.org/entity/Q21510856,use as value for P2302 (property constraint)
http://www.wikidata.org/entity/Q21510857,use as value for P2302 (property constraint)
http://www.wikidata.org/entity/Q21510860,use as value for P2302 (property constraint)
http://www.wikidata.org/entity/Q21510862,use as value for P2302 (property constraint)
http://www.wikidata.org/entity/Q21510863,use as value for P2302 (property constraint)
http://www.wikidata.org/entity/Q21514353,use as value for P2302 (property constraint)
http://www.wikidata.org/entity/Q21528958,use as value for P2302 (property constraint)
http://www.wikidata.org/entity/Q25796498,use as value for P2302 (property constraint)
http://www.wikidata.org/entity/Q52558054,use as value for P2302 (property constraint)
http://www.wikidata.org/entity/Q55819106,use as value for P2302 (property constraint)
http://www.wikidata.org/entity/P2572,"do not include the ""#"" symbol"
http://www.wikidata.org/entity/P2561,preferably use sub-properties
http://www.wikidata.org/entity/P2572,zonder het #-teken
http://www.wikidata.org/entity/P2624,This identifier should NOT be used on items about singles or songs
http://www.wikidata.org/entity/P2624,"This property should be used on items representing musical artists, musical compositions or audio tracks. For musical compositions with more than one identifier (i.e. with cover versions), the original should have preferred rank."
http://www.wikidata.org/entity/Q23611288,to be used as a value for P2668
http://www.wikidata.org/entity/Q23611587,to be used as a value for P2668
http://www.wikidata.org/entity/Q23611840,to be used as a value for P2668
http://www.wikidata.org/entity/Q24025284,to be used as a value for P2668
http://www.wikidata.org/entity/Q55810634,"can be used as value for the qualifier 'refine date' (P4241), together with 'located in time zone' (P421)"
http://www.wikidata.org/entity/Q55810635,"can be used as value for the qualifier 'refine date' (P4241), together with 'located in time zone' (P421)"
http://www.wikidata.org/entity/Q55810636,"can be used as value for the qualifier 'refine date' (P4241), together with 'located in time zone' (P421)"
http://www.wikidata.org/entity/Q55810637,"can be used as value for the qualifier 'refine date' (P4241), together with 'located in time zone' (P421)"
http://www.wikidata.org/entity/Q55810639,"can be used as value for the qualifier 'refine date' (P4241), together with 'located in time zone' (P421)"
http://www.wikidata.org/entity/Q55810640,"can be used as value for the qualifier 'refine date' (P4241), together with 'located in time zone' (P421)"
http://www.wikidata.org/entity/Q55810641,"can be used as value for the qualifier 'refine date' (P4241), together with 'located in time zone' (P421)"
http://www.wikidata.org/entity/Q55810642,"can be used as value for the qualifier 'refine date' (P4241), together with 'located in time zone' (P421)"
http://www.wikidata.org/entity/Q55810643,"can be used as value for the qualifier 'refine date' (P4241), together with 'located in time zone' (P421)"
http://www.wikidata.org/entity/Q55810644,"can be used as value for the qualifier 'refine date' (P4241), together with 'located in time zone' (P421)"
http://www.wikidata.org/entity/Q55810646,"can be used as value for the qualifier 'refine date' (P4241), together with 'located in time zone' (P421)"
http://www.wikidata.org/entity/Q55810647,"can be used as value for the qualifier 'refine date' (P4241), together with 'located in time zone' (P421)"
http://www.wikidata.org/entity/Q55810648,"can be used as value for the qualifier 'refine date' (P4241), together with 'located in time zone' (P421)"
http://www.wikidata.org/entity/Q55810649,"can be used as value for the qualifier 'refine date' (P4241), together with 'located in time zone' (P421)"
http://www.wikidata.org/entity/Q55810650,"can be used as value for the qualifier 'refine date' (P4241), together with 'located in time zone' (P421)"
http://www.wikidata.org/entity/Q55810651,"can be used as value for the qualifier 'refine date' (P4241), together with 'located in time zone' (P421)"
http://www.wikidata.org/entity/Q55810683,"can be used as value for the qualifier 'refine date' (P4241), together with 'located in time zone' (P421)"
http://www.wikidata.org/entity/Q55810684,"can be used as value for the qualifier 'refine date' (P4241), together with 'located in time zone' (P421)"
http://www.wikidata.org/entity/Q55810685,"can be used as value for the qualifier 'refine date' (P4241), together with 'located in time zone' (P421)"
http://www.wikidata.org/entity/Q55810686,"can be used as value for the qualifier 'refine date' (P4241), together with 'located in time zone' (P421)"
http://www.wikidata.org/entity/Q55810687,"can be used as value for the qualifier 'refine date' (P4241), together with 'located in time zone' (P421)"
http://www.wikidata.org/entity/Q55810688,"can be used as value for the qualifier 'refine date' (P4241), together with 'located in time zone' (P421)"
http://www.wikidata.org/entity/Q55810689,"can be used as value for the qualifier 'refine date' (P4241), together with 'located in time zone' (P421)"
http://www.wikidata.org/entity/Q55810690,"can be used as value for the qualifier 'refine date' (P4241), together with 'located in time zone' (P421)"
http://www.wikidata.org/entity/Q55810691,"can be used as value for the qualifier 'refine date' (P4241), together with 'located in time zone' (P421)"
http://www.wikidata.org/entity/Q55810692,"can be used as value for the qualifier 'refine date' (P4241), together with 'located in time zone' (P421)"
http://www.wikidata.org/entity/Q55810694,"can be used as value for the qualifier 'refine date' (P4241), together with 'located in time zone' (P421)"
http://www.wikidata.org/entity/Q55810695,"can be used as value for the qualifier 'refine date' (P4241), together with 'located in time zone' (P421)"
http://www.wikidata.org/entity/Q55810696,"can be used as value for the qualifier 'refine date' (P4241), together with 'located in time zone' (P421)"
http://www.wikidata.org/entity/Q55810697,"can be used as value for the qualifier 'refine date' (P4241), together with 'located in time zone' (P421)"
http://www.wikidata.org/entity/Q55810698,"can be used as value for the qualifier 'refine date' (P4241), together with 'located in time zone' (P421)"
http://www.wikidata.org/entity/Q55810699,"can be used as value for the qualifier 'refine date' (P4241), together with 'located in time zone' (P421)"
http://www.wikidata.org/entity/Q55810700,"can be used as value for the qualifier 'refine date' (P4241), together with 'located in time zone' (P421)"
http://www.wikidata.org/entity/Q55810701,"can be used as value for the qualifier 'refine date' (P4241), together with 'located in time zone' (P421)"
http://www.wikidata.org/entity/Q55810702,"can be used as value for the qualifier 'refine date' (P4241), together with 'located in time zone' (P421)"
http://www.wikidata.org/entity/Q55810703,"can be used as value for the qualifier 'refine date' (P4241), together with 'located in time zone' (P421)"
http://www.wikidata.org/entity/Q55810704,"can be used as value for the qualifier 'refine date' (P4241), together with 'located in time zone' (P421)"
http://www.wikidata.org/entity/Q55810706,"can be used as value for the qualifier 'refine date' (P4241), together with 'located in time zone' (P421)"
http://www.wikidata.org/entity/Q55810707,"can be used as value for the qualifier 'refine date' (P4241), together with 'located in time zone' (P421)"
http://www.wikidata.org/entity/Q55810708,"can be used as value for the qualifier 'refine date' (P4241), together with 'located in time zone' (P421)"
http://www.wikidata.org/entity/Q55810709,"can be used as value for the qualifier 'refine date' (P4241), together with 'located in time zone' (P421)"
