,Unnamed: 0,resource,lang,lemma,entity_id,property,value,implicit_marker,level
0,0,aat,en,indian,300249545,scopeNote,"Use generally to refer to various types of Native North American dwellings and ritual buildings, usually with regard to Plains Indians tribes; when possible use a more specific term.",use a more specific,2
1,1,aat,en,indian,300375580,scopeNote,Family of aquatic plants containing two species. Some authorities consider the two species to constitute a separate order (Nelumbonales) because of important botanical characteristics that suggest a different evolutionary origin from the other water lilies.,consider,1
2,2,aat,en,indian,300386675,scopeNote,"Distinctive handbells or gongs, used as an instrument in Indian music and in Buddhist ritual. A ghanta may be paired with a vajra; use the more specific ""vajras-ghantas.""",use the more specific,1
3,3,aat,en,indian,300017437,scopeNote,"Whenever possible, use the specific tribal name. The general term ""Native American"" is widely used in the United States, but many groups now prefer ""American Indian"" or ""Indigenous American."" This concept is typically reserved to refer narrowly to the cultures of the native peoples of the United States and Canada, excluding the Eskimos and Aleuts. For the indigenous peoples of Canada use the term ""First Nations."" For the broader concept of the cultures of any native peoples of Central America, South America, North America, or the West Indies who are considered to belong to the Mongoloid division of the human species, use ""Amerindian (culture).""",now prefer,3
4,4,aat,en,indian,300017437,scopeNote,"Whenever possible, use the specific tribal name. The general term ""Native American"" is widely used in the United States, but many groups now prefer ""American Indian"" or ""Indigenous American."" This concept is typically reserved to refer narrowly to the cultures of the native peoples of the United States and Canada, excluding the Eskimos and Aleuts. For the indigenous peoples of Canada use the term ""First Nations."" For the broader concept of the cultures of any native peoples of Central America, South America, North America, or the West Indies who are considered to belong to the Mongoloid division of the human species, use ""Amerindian (culture).""",use the specific,3
5,5,aat,en,indian,300017547,scopeNote,"Refers to the artwork produced by any member of the North American Indian tribes speaking a language of the Iroquoian family, notably the Cayuga, Cherokee, Huron, Mohawk, Oneida, Onondaga, Seneca, and Tuscarora, in addition to the Iroquois proper. The name Iroquois is a French derivation of Irinakhoiw, meaning ""rattlesnakes."" They call themselves Hodenosaunee, meaning ""people of the longhouse."" The Iroquoian linguistic groups occupied a continuous territory around Lakes Ontario, Huron, and Erie, in present-day New York state and Pennsylvania and southern Ontario and Quebec.",call themselves,1
6,6,aat,en,indian,300386485,scopeNote,"Style and culture of one of the largest Indian scheduled tribes, an aboriginal people of the Choṭa Nāgpur region in the state of Bihār, India. They call themselves Kurukh; they once lived farther to the southwest on the Rohtās Plateau, but they were dislodged by other populations and migrated to Choṭa Nāgpur, where they settled in the vicinity of Munda-speaking tribes.",call themselves,2
7,7,aat,en,servant,300025874,scopeNote,"Generally in historical usage, for people who are privately employed to perform personal or household services.",historical usage,3
8,8,aat,en,hottentot,300016575,altLabel_comment,"now considered pejorative, used after 1652/mid-20th century; probably invented by the Dutch colonists in imitation of the clicking sounds of their language",pejorative,3
9,9,aat,en,white,300264417,scopeNote,"A Roman Catholic religious order that originated in the 12th century from hermits on Mount Carmel who sought the way of life of the prophet Elijah. When the Crusades failed, the Carmelites migrated to Europe where they flourished as mendicant friars. Solitude, abstinence, and prayer are strictly practiced. In 1452 the friars were joined by Carmelite nuns (Sisters of the Blessed Virgin Mary of Mt. Carmel), the Carmelite Second Order. The Carmelites do not have a founding figure as do many orders, but they consider Elijah and Mary, both central to Carmelite consciousness, as their founders. Important reform figures are St. Teresa of Avila, reformer of the female order in 1562, and St. John of the Cross, who similarly reformed the male order later in the century. The reformed branch became its own order in 1593 and is referred to as the Discalced Carmelites.",consider,1
10,10,aat,en,white,300013940,scopeNote,"Warm yellow pigment containing lead antimonate that has been used as a colorant for glass, ceramic tiles, and paint for at least 3500 years. It is probably named after the its resemblance to the yellow minerals found at Mount Vesuvius near Naples, Italy, although it not well documented that the pigment was first made in Naples. The specific color of the pigment depends on the method and temperature of manufacture. It came into widespread use in the 18th century, replacing lead-tin yellow as the pigment most often used by artists in Europe. The term is also used loosely to refer to other pigments imitating Naples yellow but produced by mixing together pigments such as cadmium yellow, zinc white, ochre, and Venetian red.",specific color of the pigment depends on the method and temperature of manufacture. It came into widespread use,1
11,11,aat,en,white,300043246,scopeNote,"In a general sense, refers to all drinking glasses intended for wine, made in various shapes (usually stemmed), sizes, and styles; each is said to be most suitable for a particular type of wine. In a specific sense, the term refers only to glasses intended for use at table for wine to accompany the meal, and excluding champagne glasses and other specialty glasses. In this sense, in a matching set of stemware, the wine glass is smaller than a goblet for water, but larger than glasses for sherry, port wine, or liqueur. In such a set, there may be separate glasses of distinctive form for white and for red wine. For similar but smaller drinking glasses used for serving other beverages, use ""gin glasses"" or another specific term.","specific sense, the term refers only to glasses intended for use at table for wine to accompany the meal, and excluding champagne glasses and other specialty glasses. In this sense, in a matching set of stemware, the wine glass is smaller than a goblet for water, but larger than glasses for sherry, port wine, or liqueur. In such a set, there may be separate glasses of distinctive form for white and for red wine. For similar but smaller drinking glasses used for serving other beverages, use",1
12,12,aat,en,descent,300016575,altLabel_comment,"now considered pejorative, used after 1652/mid-20th century; probably invented by the Dutch colonists in imitation of the clicking sounds of their language",pejorative,3
13,13,aat,en,mongoloid,300017437,scopeNote,"Whenever possible, use the specific tribal name. The general term ""Native American"" is widely used in the United States, but many groups now prefer ""American Indian"" or ""Indigenous American."" This concept is typically reserved to refer narrowly to the cultures of the native peoples of the United States and Canada, excluding the Eskimos and Aleuts. For the indigenous peoples of Canada use the term ""First Nations."" For the broader concept of the cultures of any native peoples of Central America, South America, North America, or the West Indies who are considered to belong to the Mongoloid division of the human species, use ""Amerindian (culture).""",now prefer,3
14,14,aat,en,mongoloid,300017437,scopeNote,"Whenever possible, use the specific tribal name. The general term ""Native American"" is widely used in the United States, but many groups now prefer ""American Indian"" or ""Indigenous American."" This concept is typically reserved to refer narrowly to the cultures of the native peoples of the United States and Canada, excluding the Eskimos and Aleuts. For the indigenous peoples of Canada use the term ""First Nations."" For the broader concept of the cultures of any native peoples of Central America, South America, North America, or the West Indies who are considered to belong to the Mongoloid division of the human species, use ""Amerindian (culture).""",use the specific,3
15,15,aat,en,pygmy,300016430,scopeNote,"The collective style and culture of various African peoples whose adult males grow to less than 59 inches (150 cm) in average height, and who live in Cameroon, Equatorial Guinea, Gabon, Democratic Republic of Congo, Congo Republic, Central African Republic, Rwanda, and Burundi. Use of ""Pygmy"" for a culture is considered pejorative; where possible use instead the most specific name for the subgroup.",pejorative,3
