,resource,lang,lemma,entity_id,property,value,implicit_marker,level
0,aat,nl,westers,300022022,scopeNote,"Verwijst naar de christelijke kerk van Egypte, waar de islam de belangrijkste godsdienst is. Vóór de verovering door de Arabieren in de 7de eeuw duidden de Egyptenaren zichzelf en hun taal aan met de Griekse term Aigyptios (met Kopt als westerse vorm). Later namen de Egyptische moslims afstand van de term Aigyptioi en ging deze fungeren als specifieke aanduiding van de christelijke minderheid in Egypte. Sinds de 5de eeuw zijn deze christenen monofysitisch: ze erkennen slechts één natuur van Christus. Afgezien van de monofysitische kwestie hebben de kopten dezelfde geloofsleer als de oosters-orthodoxe kerken. De erediensten worden vrijwel geheel in het Arabisch gehouden, en de kerkboeken, met liturgieën die zijn toegeschreven aan Marcus, de Heilige Cyrilus van Alexandrië en Gregorius van Nazianzus, zijn geschreven in het Koptisch (het Bohairische dialect van Alexandrië), met daarnaast de Arabische tekst in een tweede kolom. Na de jaren 90 van de 19de eeuw introduceerde de kerk een democratische bestuursvorm met aan het hoofd de patriarch, die in Cairo woont. Buiten Egypte zijn er nog enkele koptisch-orthodoxe kerken te vinden in het Heilige Land, en Khartoem (Sudan) heeft een koptisch bisdom. De Ethiopische, Armeense en Syrische Jacobietenkerken vormen een gemeenschap samen met de koptisch-orthodoxe kerk. Er bestaat een overvloed aan koptische religieuze kunst. Ook is de kerk actief op het gebied van scholing. De ruim drie miljoen kopten vormen weliswaar een minderheid in Egypte, maar zijn niettemin sterk vertegenwoordigd in allerlei beroepsgroepen. Kopten hebben vaak onder vervolging te lijden gehad, ook nog in deze tijd. Gebruik 'Koptisch (periode)' om specifiek te verwijzen naar de vroegmiddeleeuwse periode in Egypte.","specifieke aanduiding van de christelijke minderheid in Egypte. Sinds de 5de eeuw zijn deze christenen monofysitisch: ze erkennen slechts één natuur van Christus. Afgezien van de monofysitische kwestie hebben de kopten dezelfde geloofsleer als de oosters-orthodoxe kerken. De erediensten worden vrijwel geheel in het Arabisch gehouden, en de kerkboeken, met liturgieën die zijn toegeschreven aan Marcus, de Heilige Cyrilus van Alexandrië en Gregorius van Nazianzus, zijn geschreven in het Koptisch (het Bohairische dialect van Alexandrië), met daarnaast de Arabische tekst in een tweede kolom. Na de jaren 90 van de 19de eeuw introduceerde de kerk een democratische bestuursvorm met aan het hoofd de patriarch, die in Cairo woont. Buiten Egypte zijn er nog enkele koptisch-orthodoxe kerken te vinden in het Heilige Land, en Khartoem (Sudan) heeft een koptisch bisdom. De Ethiopische, Armeense en Syrische Jacobietenkerken vormen een gemeenschap samen met de koptisch-orthodoxe kerk. Er bestaat een overvloed aan koptische religieuze kunst. Ook is de kerk actief op het gebied van scholing. De ruim drie miljoen kopten vormen weliswaar een minderheid in Egypte, maar zijn niettemin sterk vertegenwoordigd in allerlei beroepsgroepen. Kopten hebben vaak onder vervolging te lijden gehad, ook nog in deze tijd. Gebruik",2
1,aat,nl,westers,300056335,scopeNote,"Optische illusie is het fenomeen waarbij een objectieve voorstelling met de ogen wordt waargenomen, maar de voorstelling wordt bedrieglijk anders ‘gezien’ of geïnterpreteerd. In sommige gevallen wordt de oorzaak gezocht in natuurkundige effecten, zoals breking van licht in een materie. In andere gevallen is de waarnemer zelf veroorzaker van de illusie: de fysiologische eigenschappen of beperkingen van het oog veroorzaken de illusie of de hersenen scheppen een ‘werkelijkheid’ op basis van kennis en verwachting. Het fenomeen optische illusie wordt in de kunst vaak uitgelokt doordat er gebruik wordt gemaakt van de kennis van bepaalde psychologische principes of uitbeeldende technieken. Gebruik 'illusionisme' om te verwijzen naar de poging om een situatie of tafereel in de werkelijkheid met bepaalde technieken na te bootsen zodat het effect levensecht lijkt. Gebruik nog specifieker 'trompe-l'oeil' in de westerse context bij tweedimensionale werken en bas-reliëfs.",gebruik wordt gemaakt van de kennis van bepaalde psychologische principes of uitbeeldende technieken. Gebruik 'illusionisme' om te verwijzen naar de poging om een situatie of tafereel in de werkelijkheid met bepaalde technieken na te bootsen zodat het effect levensecht lijkt. Gebruik nog specifieker,1
2,aat,nl,westers,300264603,scopeNote,"Verwijst naar georganiseerde groepen personen die hoofdzakelijk met de hand objecten vervaardigen. Binnen de context van de westerse en decoratieve kunst wordt de term 'manufactuur' gebruikt, in plaats van 'fabriek', om onderscheid te maken tussen groepen die in 17de eeuw of later kunst, meubelen, wandtapijten, keramiek en andere decoratieve voorwerpen vervaardigden, in tegenstelling tot arbeiders die werkzaam zijn in moderne industriële complexen of 'fabrieken (gebouwen)', waar andere producten dan kunstvoorwerpen worden vervaardigd. Kunstwerkplaatsen worden gekenmerkt door de specifieke kunstvoorwerpen die er worden vervaardigd, door de vrij grote aantallen kunstenaars en ambachtslieden die er werkzaam zijn en door de tamelijk complexe beheerstructuur, met aan het hoofd een directeur plus een aantal meesters, die ieder toezicht houden op een eigen atelier of studio met gezellen en leerlingen. Werkplaatsen werden vaak gefinancierd door een vorst of een ander machtig persoon. Gebruik 'studio's (organisaties)' voor kleinere groepen kunstenaars, bestaande uit een meester-kunstenaar of -architect en diens assistenten of leerlingen, met name sinds halverwege de 17de eeuw. Gebruik 'werkplaatsen (organisaties)' voor kleinere groepen kunstenaars of ambachtslieden die gezamenlijk producten vervaardigen, vaak onder de naam van de meester, in het bijzonder bij groepen die vóór de 17de eeuw hebben bestaan.","specifieke kunstvoorwerpen die er worden vervaardigd, door de vrij grote aantallen kunstenaars en ambachtslieden die er werkzaam zijn en door de tamelijk complexe beheerstructuur, met aan het hoofd een directeur plus een aantal meesters, die ieder toezicht houden op een eigen atelier of studio met gezellen en leerlingen. Werkplaatsen werden vaak gefinancierd door een vorst of een ander machtig persoon. Gebruik 'studio's (organisaties)' voor kleinere groepen kunstenaars, bestaande uit een meester-kunstenaar of -architect en diens assistenten of leerlingen, met name sinds halverwege de 17de eeuw. Gebruik",1
3,aat,nl,bediende,300235838,scopeNote,"Apparaten waarmee, via een toegangsmechanisme dat in een programma wordt bediend, gegevens kunnen worden gelezen van of worden geschreven naar een draaiende magnetische schijf, een magnetisch schijvenpakket, een diskette of optische schijfmedia. Met de term kan worden verwezen naar apparaten waarop vaste of verwijderbare media worden gebruikt. Gebruik de term 'harddrives' om specifiek te verwijzen naar vaste magnetische schijfstations met een grote capaciteit waarop computergegevens worden opgeslagen. Gebruik 'harde schijven' om te verwijzen naar de vaste schijf zelf in plaats van naar het mechanisme waarvan het deel uitmaakt.",Gebruik de term 'harddrives' om specifiek,1
4,aat,nl,inuk,300017447,scopeNote,"Wordt gebruikt met betrekking tot de inheemse Arctische cultuur vóór contact met Europa. Gebruik termen zoals 'Chugach', 'Inuit' of 'Katlâdlit' voor namen van specifieke, hedendaagse inheemse volkeren.","Gebruik termen zoals 'Chugach', 'Inuit' of 'Katlâdlit' voor namen van specifieke",3
5,aat,nl,indiaan,300017650,scopeNote,"Verwijst naar de cultuur van de Sioux, een indiaans volk (of confederatie van volken) dat op de Noord-Amerikaanse prairie woont en behoort tot de Sioux-taalgroep. Sioux is een afkorting van Nadouessioux, een naam die oorspronkelijk door de Ojibwa werd gebruikt om zichzelf aan te duiden; het woord Dakota betekent ‘bondgenoten’. Er bestonden drie hoofddivisies van de Sioux: Santee, Yankton en Teton, die zichzelf respectievelijk Dakota, Nakota en Lakota noemden.",zichzelf aan te duiden,2
6,aat,nl,indiaan,300016773,scopeNote,"Verwijst naar een taalgroep van Noord-Amerikaanse indianen die tal van linguïstische subgroepen en culturele groepen omvat. Deze willekeurige benaming, afgeleid van het Athabaska-meer, werd in 1836 bedacht door Albert Gallatin als verwijzing naar een cultuur die volgens hem zijn centrum in dit gebied had. Mensen die behoren tot de Athabaskan-taalgroep bevolken grote delen van het subarctisch gebied, alsmede delen van New Mexico en Arizona. De term kent nogal wat spellingsvarianten, die soms zelfs binnen één bron worden gebruikt. De term 'Athapaskan' wordt sinds 1930 algemeen gebruikt. De leden van de groep duiden zichzelf aan als 'Dene' of 'Na-Dené'. Deze term wordt soms als synoniem voor Athapaskan gebruikt, hoewel er soms ook mee wordt verwezen naar een bredere categorie die tevens de Tlingit- en Haida-taalgroepen omvat.",duiden zichzelf,2
7,aat,nl,indiaan,300411107,scopeNote,"Cultuur van de talrijkste groep indianen in Zuid-Amerika. Ze leven in de Centrale Vallei van Chili, ten zuiden van de rivier de Biobío. Een kleinere groep leeft in de provincie Neuquén, in het middenwesten van Argentinië. Vroeger werden de Mapuche door Spaanse etnografen gezien als een van de drie groepen Araukaniërs, waarbij de Picunche en Huillich de andere twee waren. Alle Araukaniërs noemen zichzelf nu Mapuche. In de pre-Spaanse periode leefden de Mapuche verspreid in boerendorpen in de hele Centrale Vallei. Elke nederzetting had een cacique, of hoofd, die meestal alleen in zijn eigen dorp gezag had. De Mapuche verbouwden maïs, bonen, pompoen, aardappelen, chilipepers en andere groenten en leefden verder van visvangst, jacht en het houden van cavia's voor het vlees.",noemen zichzelf,1
8,aat,nl,indiaan,300249545,scopeNote,"Wordt algemeen gebruikt voor verschillende soorten woningen en rituele gebouwen van Noord-Amerikaanse indianen, meestal met betrekking tot stammen van prairie-indianen. Geen Nederlands equivalent; gebruik een specifiekere term.",gebruik een specifiekere,1
9,aat,nl,afkomst,300016928,scopeNote,"Verwijst naar een vroege cultuur en stijl die voornamelijk voorkwam in de Sonoran-woestijn, in het huidige midden en zuiden van Arizona. De cultuur is opmerkelijk door het eerste gebruik van irrigatie door boeren in het zuidwesten, door het ontstaan van permanente nederzettingen van kuilwoningen en bovengrondse flat-achtige constructies, en door de specifieke werktuigen en kunstvoorwerpen, zoals ornamenten en mozaïeken van schelpen uit de golf van Californië, kleibeeldjes en aardewerk. Dit is gemaakt van grijze klei of geglazuurd met versieringen in ijzerrood. Sommige specialisten geloven dat de Hohokam rond 300 v. Chr. naar het gebied zijn gekomen, anderen gaan ervan uit dat dit pas rond het jaar 500 is gebeurd. Ook is men het oneens over de afkomst. De Hohokam zouden uit Mexico afkomstig kunnen zijn of afstammelingen zijn van het Cochise-volk. Bovendien is men het niet eens over de vraag of de Papago, de Pima en andere volken in het Zuidwesten de nakomelingen van de Hohakam zijn, of dat het volk het gebied in de 15e eeuw heeft verlaten.","gebruik van irrigatie door boeren in het zuidwesten, door het ontstaan van permanente nederzettingen van kuilwoningen en bovengrondse flat-achtige constructies, en door de specifieke",2
