,resource,lang,lemma,entity_id,property,value,implicit_marker,level
0,aat,nl,indiaan,300017650,scopeNote,"Verwijst naar de cultuur van de Sioux, een indiaans volk (of confederatie van volken) dat op de Noord-Amerikaanse prairie woont en behoort tot de Sioux-taalgroep. Sioux is een afkorting van Nadouessioux, een naam die oorspronkelijk door de Ojibwa werd gebruikt om zichzelf aan te duiden; het woord Dakota betekent ‘bondgenoten’. Er bestonden drie hoofddivisies van de Sioux: Santee, Yankton en Teton, die zichzelf respectievelijk Dakota, Nakota en Lakota noemden.",zichzelf aan te duiden,2
1,aat,nl,indiaan,300016773,scopeNote,"Verwijst naar een taalgroep van Noord-Amerikaanse indianen die tal van linguïstische subgroepen en culturele groepen omvat. Deze willekeurige benaming, afgeleid van het Athabaska-meer, werd in 1836 bedacht door Albert Gallatin als verwijzing naar een cultuur die volgens hem zijn centrum in dit gebied had. Mensen die behoren tot de Athabaskan-taalgroep bevolken grote delen van het subarctisch gebied, alsmede delen van New Mexico en Arizona. De term kent nogal wat spellingsvarianten, die soms zelfs binnen één bron worden gebruikt. De term 'Athapaskan' wordt sinds 1930 algemeen gebruikt. De leden van de groep duiden zichzelf aan als 'Dene' of 'Na-Dené'. Deze term wordt soms als synoniem voor Athapaskan gebruikt, hoewel er soms ook mee wordt verwezen naar een bredere categorie die tevens de Tlingit- en Haida-taalgroepen omvat.",duiden zichzelf,2
2,aat,nl,indiaan,300411107,scopeNote,"Cultuur van de talrijkste groep indianen in Zuid-Amerika. Ze leven in de Centrale Vallei van Chili, ten zuiden van de rivier de Biobío. Een kleinere groep leeft in de provincie Neuquén, in het middenwesten van Argentinië. Vroeger werden de Mapuche door Spaanse etnografen gezien als een van de drie groepen Araukaniërs, waarbij de Picunche en Huillich de andere twee waren. Alle Araukaniërs noemen zichzelf nu Mapuche. In de pre-Spaanse periode leefden de Mapuche verspreid in boerendorpen in de hele Centrale Vallei. Elke nederzetting had een cacique, of hoofd, die meestal alleen in zijn eigen dorp gezag had. De Mapuche verbouwden maïs, bonen, pompoen, aardappelen, chilipepers en andere groenten en leefden verder van visvangst, jacht en het houden van cavia's voor het vlees.",noemen zichzelf,1
3,aat,nl,stam,300056460,scopeNote,"Een verouderde benaming die vroeger gebruikt werd voor de architectuur van bepaalde personen die werden beschouwd  als buitenstaanders van andere, politiek overheersende culturele groepen; werd voornamelijk gebruikt met betrekking tot bevolkingsgroepen uit het gebied ten zuiden van de Sahara, de eilanden in de Stille Oceaan en de inheemse Noord- en Zuid-Amerikaanse stammen gaat. Gebruik in plaats daarvan andere termen zoals 'inheemse architectuur',  of gebruik de meest specifieke benaming voor de cultuur of herkomst die bekend is.",verouderde benaming,2
4,aat,nl,stam,300386485,scopeNote,"Stijl en cultuur van een van de grootste Indiase geregistreerde stammen, een inheems volk uit de regio Choṭa Nāgpur in de Indiase deelstaat Bihar. Ze noemen zichzelf Kurukh. Vroeger woonden ze verder naar het zuidwesten op het Rohtasplateau, maar ze zijn door andere volkeren verdreven en vertrokken naar Choṭa Nāgpur, waar ze zich vestigden in de nabijheid van Munda-sprekende stammen.",noemen zichzelf,2
5,aat,nl,stam,300056500,scopeNote,"Een verouderde benaming die vroeger gebruikt werd voor kunst van bepaald personen die als buitenstaanders werden beschouwd van andere, politiek overheersende culturele groepen; werd voornamelijk gebruikt met betrekking tot bevolkingsgroepen afkomstig uit het gebied ten zuiden van de Sahara, de eilanden in de Stille Oceaan en de inheemse Noord- en Zuid-Amerikaanse stammen. Gebruik in plaats daarvan de meest specifieke benaming van de cultuur of herkomst die bekend is. Te onderscheiden van 'primitivisme', een term die wordt gebruikt voor artistieke stijlen of stromingen die bedoeld zijn om, vaak op romantische of sentimentele wijze, het uiterlijk na te bootsen van kunstvormen die daarvoor als primitief werden bestempeld en andere kunst, geproduceerd door kunstenaars die buiten de grote kunstmarkten werken.",verouderde benaming,2
6,aat,nl,traditioneel,300264737,scopeNote,"Verwijst naar schilderijen, beeldhouwwerken, grafische kunst en architectuur die in het recente verleden of het heden zijn vervaardigd. Het verschil met moderne kunst is dat de term 'hedendaagse kunst' niet de betekenis van een niet-traditionele stijl in zich draagt, maar uitsluitend verwijst naar de periode waarin een werk is gemaakt. De begrippen 'modern' en 'hedendaags' zijn dan ook impliciet aan verandering onderhevig. Het woord 'hedendaags' wordt soms in specifiekere zin gebruikt om de kunst tussen circa 1960 of 1970 tot het heden aan te duiden. Om de huidige tijdsperiode aan te duiden zonder relatie tot een kunststijl, gebruik 'hedendaags (generieke tijdsspanne)'.","specifiekere zin gebruikt om de kunst tussen circa 1960 of 1970 tot het heden aan te duiden. Om de huidige tijdsperiode aan te duiden zonder relatie tot een kunststijl, gebruik",1
7,aat,nl,primitief,300056460,scopeNote,"Een verouderde benaming die vroeger gebruikt werd voor de architectuur van bepaalde personen die werden beschouwd  als buitenstaanders van andere, politiek overheersende culturele groepen; werd voornamelijk gebruikt met betrekking tot bevolkingsgroepen uit het gebied ten zuiden van de Sahara, de eilanden in de Stille Oceaan en de inheemse Noord- en Zuid-Amerikaanse stammen gaat. Gebruik in plaats daarvan andere termen zoals 'inheemse architectuur',  of gebruik de meest specifieke benaming voor de cultuur of herkomst die bekend is.",verouderde benaming,2
8,aat,nl,primitief,300056500,scopeNote,"Een verouderde benaming die vroeger gebruikt werd voor kunst van bepaald personen die als buitenstaanders werden beschouwd van andere, politiek overheersende culturele groepen; werd voornamelijk gebruikt met betrekking tot bevolkingsgroepen afkomstig uit het gebied ten zuiden van de Sahara, de eilanden in de Stille Oceaan en de inheemse Noord- en Zuid-Amerikaanse stammen. Gebruik in plaats daarvan de meest specifieke benaming van de cultuur of herkomst die bekend is. Te onderscheiden van 'primitivisme', een term die wordt gebruikt voor artistieke stijlen of stromingen die bedoeld zijn om, vaak op romantische of sentimentele wijze, het uiterlijk na te bootsen van kunstvormen die daarvoor als primitief werden bestempeld en andere kunst, geproduceerd door kunstenaars die buiten de grote kunstmarkten werken.",verouderde benaming,2
9,aat,nl,pygmee,300016430,scopeNote,"Te gebruiken om werken te beschrijven van bepaalde Afrikaanse volkeren die leven in Kameroen, Equatoriaal-Guinea, de Democratische Republiek Congo, Congo, de Centraal-Afrikaanse Republiek, Rwanda en Burundi. De term Pygmee heeft soms een negatieve bijklank. Waar mogelijk verdient het gebruik van de specifieke naam van een subgroep de voorkeur.",negatieve bijklank,3
