,resource,lang,lemma,entity_id,property,value,implicit_marker,level
0,pwn,en,madras,tamil_nadu.n.01,definition,a state in southeastern India on the Bay of Bengal (south of Andhra Pradesh); formerly Madras,formerly,2
1,pwn,en,madras,chennai.n.01,definition,a city in Tamil Nadu on the Bay of Bengal; formerly Madras,formerly,3
2,pwn,en,immigrant,ellis_island.n.01,definition,an island in New York Bay that was formerly the principal immigration station for the United States,formerly,1
3,pwn,en,indian,left-handed.s.02,definition,(of marriages) illicit or informal,informal,1
4,pwn,en,indian,potlatch.n.01,definition,"a ceremonial feast held by some Indians of the northwestern coast of North America (as in celebrating a marriage or a new accession) in which the host gives gifts to tribesmen and others to display his superior wealth (sometimes, formerly, to his own impoverishment)",formerly,1
5,pwn,en,indian,quechua.n.02,definition,a community of South American Indians in Peru who were formerly the ruling class of the Incan Empire,formerly,1
6,pwn,en,indian,arapaho.n.01,definition,a member of a tribe of Plains Indians formerly inhabiting eastern Colorado and Wyoming (now living in Oklahoma and Wyoming),formerly,1
7,pwn,en,indian,caddo.n.01,definition,a group of Plains Indians formerly living in what is now North and South Dakota and Nebraska and Kansas and Arkansas and Louisiana and Oklahoma and Texas,formerly,1
8,pwn,en,indian,colorado_river_hemp.n.01,definition,tall-growing annual of southwestern United States widely grown as green manure; yields a strong tough bast fiber formerly used by Indians for cordage,formerly,1
9,pwn,en,indian,atakapa.n.01,definition,a member of an Indian people formerly living along the Gulf Coast of Louisiana and Texas,formerly,1
10,pwn,en,indian,chimariko.n.01,definition,a member of an extinct North American Indian people formerly living in California,formerly,1
11,pwn,en,indian,iroquois.n.01,definition,any member of the warlike North American Indian peoples formerly living in New York State; the Iroquois League were allies of the British during the American Revolution,formerly,1
12,pwn,en,indian,mohave.n.01,definition,a member of the North American Indian people formerly living in the Colorado river valley in Arizona and Nevada and California,formerly,1
13,pwn,en,indian,quechua.n.01,definition,a member of a South American Indian people in Peru who were formerly the ruling class of the Inca empire,formerly,1
14,pwn,en,indian,half-breed.n.01,definition,an offensive term for an offspring of parents of different racial group (especially of Caucasian and American Indian ancestry),offensive,3
15,pwn,en,indian,squaw.n.01,definition,derogatory terms for an American Indian woman,derogatory,1
16,pwn,en,indian,squaw_man.n.01,definition,derogatory term for a white man married to a North American Indian woman,derogatory,1
17,pwn,en,indian,soma.n.01,definition,leafless East Indian vine; its sour milky juice formerly used to make an intoxicating drink,formerly,1
18,pwn,en,homo,boskop_man.n.01,definition,possible early Homo sapiens represented by a cranium found in the Transvaal; formerly considered a separate species,formerly,1
19,pwn,en,gypsy,tinker.n.02,definition,formerly a person (traditionally a Gypsy) who traveled from place to place mending pots and kettles and other metal utensils as a way to earn a living,formerly,2
20,pwn,en,coolie,coolie.n.01,definition,(ethnic slur) an offensive name for an unskilled Asian laborer,slur,3
21,pwn,en,coolie,coolie.n.01,definition,(ethnic slur) an offensive name for an unskilled Asian laborer,offensive,3
22,pwn,en,white,fox_terrier.n.01,definition,small lively black-and-white terriers formerly used to dig out foxes,formerly,1
23,pwn,en,white,bernese_mountain_dog.n.01,definition,large powerful long-haired black-coated Swiss dog with deep tan or russet markings on legs and white blaze and feet and chest marking; formerly used for draft,formerly,1
24,pwn,en,white,theurgy.n.02,definition,white magic performed with the help of beneficent spirits (as formerly practiced by Neoplatonists),formerly,1
25,pwn,en,white,white_trash.n.01,definition,(slang) an offensive term for White people who are impoverished,offensive,1
26,pwn,en,white,whitey.n.01,definition,(slang) offensive names for a White man,offensive,1
27,pwn,en,white,hunkpapa.n.01,definition,a member of the Siouan people who constituted a division of the Teton Sioux and who formerly lived in the western Dakotas; they were prominent in resisting the white encroachment into the northern Great Plains,formerly,1
28,pwn,en,white,sahib.n.01,definition,formerly a term of respect for important white Europeans in colonial India; used after the name,formerly,1
29,pwn,en,white,squaw_man.n.01,definition,derogatory term for a white man married to a North American Indian woman,derogatory,1
30,pwn,en,white,dita.n.01,definition,evergreen tree of eastern Asia and Philippines having large leathery leaves and small green-white flowers in compact cymes; bark formerly used medicinally,formerly,1
31,pwn,en,white,ivory_tree.n.01,definition,tropical Asian tree with hard white wood and bark formerly used as a remedy for dysentery and diarrhea,formerly,1
32,pwn,en,white,boneset.n.02,definition,perennial herb of southeastern United States having white-rayed flower heads; formerly used as in folk medicine,formerly,1
33,pwn,en,white,common_milkwort.n.01,definition,"small European perennial with numerous branches having racemes of blue, pink or white flowers; formerly reputed to promote human lactation",formerly,1
34,pwn,en,white,whale_oil.n.01,definition,a white to brown oil obtained from whale blubber; formerly used as an illuminant,formerly,1
35,pwn,en,caucasian,half-breed.n.01,definition,an offensive term for an offspring of parents of different racial group (especially of Caucasian and American Indian ancestry),offensive,3
36,pwn,en,kaffir,kaffir.n.02,definition,an offensive and insulting term for any Black African,offensive,3
37,pwn,en,descent,chink.n.01,definition,(ethnic slur) offensive term for a person of Chinese descent,slur,1
38,pwn,en,descent,chink.n.01,definition,(ethnic slur) offensive term for a person of Chinese descent,offensive,1
39,pwn,en,descent,paddy.n.01,definition,(ethnic slur) offensive term for a person of Irish descent,slur,1
40,pwn,en,descent,paddy.n.01,definition,(ethnic slur) offensive term for a person of Irish descent,offensive,1
41,pwn,en,descent,wop.n.01,definition,(ethnic slur) offensive term for a person of Italian descent,slur,1
42,pwn,en,descent,wop.n.01,definition,(ethnic slur) offensive term for a person of Italian descent,offensive,1
43,pwn,en,descent,jap.n.01,definition,(offensive slang) offensive term for a person of Japanese descent,offensive,1
44,pwn,en,descent,spic.n.01,definition,(ethnic slur) offensive term for persons of Latin American descent,slur,1
45,pwn,en,descent,spic.n.01,definition,(ethnic slur) offensive term for persons of Latin American descent,offensive,1
46,pwn,en,descent,greaser.n.01,definition,(ethnic slur) offensive term for a person of Mexican descent,slur,1
47,pwn,en,descent,greaser.n.01,definition,(ethnic slur) offensive term for a person of Mexican descent,offensive,1
48,pwn,en,descent,kraut.n.01,definition,offensive term for a person of German descent,offensive,1
49,pwn,en,mongoloid,mongoloid.n.02,definition,"a person suffering from Down syndrome (no longer used technically in this sense, now considered offensive)",offensive,3
50,pwn,en,mongoloid,mongoloid.a.03,definition,(offensive) of or relating to or suffering from Down syndrome,offensive,3
51,pwn,en,discover,reconnaissance_in_force.n.01,definition,an offensive operation designed to discover or test the enemy's strength (or to obtain other information),offensive,1
52,pwn,en,homosexual,butch.s.02,definition,(of male or female homosexuals) characterized by stereotypically male traits or appearance,stereotypically,2
53,pwn,en,homosexual,fagot.n.01,definition,offensive term for a homosexual man,offensive,3
54,pwn,en,native,great_plains.n.01,definition,a vast prairie region extending from Alberta and Saskatchewan and Manitoba in Canada south through the west central United States into Texas; formerly inhabited by Native Americans,formerly,1
55,pwn,en,native,redskin.n.01,definition,(slang) offensive term for Native Americans,offensive,1
56,pwn,en,native,levantine.n.01,definition,(formerly) a native or inhabitant of the Levant,formerly,1
57,pwn,en,native,giant_buttercup.n.01,definition,spectacular perennial native of wet montane grasslands of Peru; formerly included in genus Ranunculus,formerly,1
58,pwn,en,native,catharanthus.n.01,definition,small genus of erect annual or perennial herbs native to Madagascar; widely naturalized in the tropics; formerly included in genus Vinca,formerly,1
59,pwn,en,native,coltsfoot.n.02,definition,perennial herb with large rounded leaves resembling a colt's foot and yellow flowers appearing before the leaves do; native to Europe but now nearly cosmopolitan; used medicinally especially formerly,formerly,1
60,pwn,en,native,common_thyme.n.01,definition,common aromatic garden perennial native to the western Mediterranean; used in seasonings and formerly as medicine,formerly,1
61,pwn,en,negro,black.n.05,definition,"a person with African ancestry,  and  are archaic and pejorative today",pejorative,3
62,pwn,en,roots,habenaria.n.01,definition,chiefly terrestrial orchids with tubers or fleshy roots often having long slender spurs and petals and lip lobes; includes species formerly placed in genus Gymnadeniopsis,formerly,1
63,pwn,en,roots,madder.n.01,definition,Eurasian herb having small yellow flowers and red roots formerly an important source of the dye alizarin,formerly,1
64,pwn,en,roots,sea_holly.n.01,definition,European evergreen eryngo with twisted spiny leaves naturalized on United States east coast; roots formerly used as an aphrodisiac,formerly,1
65,pwn,en,roots,cynancum.n.01,definition,any of various mostly giant tropical lianas of Africa and Madagascar having greenish or purple flowers and long smooth pods; roots formerly used as an emetic,formerly,1
66,pwn,en,western,benin.n.01,definition,a country on western coast of Africa; formerly under French control,formerly,1
67,pwn,en,western,togo.n.01,definition,a republic on the western coast of Africa on the Gulf of Guinea; formerly under French control,formerly,1
68,pwn,en,western,aachen.n.01,definition,a city in western Germany near the Dutch and Belgian borders; formerly it was Charlemagne's northern capital,formerly,1
69,pwn,en,western,croatia.n.01,definition,a republic in the western Balkans in south-central Europe in the eastern Adriatic coastal area; formerly part of the Habsburg monarchy and Yugoslavia; became independent in 1991,formerly,1
70,pwn,en,western,burkina_faso.n.01,definition,a desperately poor landlocked country in western Africa; was formerly Upper Volta under French rule but gained independence in 1960,formerly,1
71,pwn,en,western,guinea.n.03,definition,a republic in western Africa on the Atlantic; formerly a French colony; achieved independence from France in 1958,formerly,1
72,pwn,en,western,hejaz.n.01,definition,a coastal region of the western Arabian Peninsula bordering on the Red Sea; includes both Mecca and Medina; formerly an independent kingdom until it united with Nejd to form the Kingdom of Saudi Arabia,formerly,1
73,pwn,en,western,klaipeda.n.01,definition,a city in western Lithuania on the Baltic Sea; formerly an important trading town of the Hanseatic League,formerly,1
74,pwn,en,western,erie.n.01,definition,a member of an Iroquoian people formerly living on the south shore of Lake Erie in northern Ohio and northwest Pennsylvania and western New York,formerly,1
75,pwn,en,western,hidatsa.n.01,definition,a member of the Sioux people formerly inhabiting an area along the Missouri river in western North Dakota,formerly,1
76,pwn,en,western,hunkpapa.n.01,definition,a member of the Siouan people who constituted a division of the Teton Sioux and who formerly lived in the western Dakotas; they were prominent in resisting the white encroachment into the northern Great Plains,formerly,1
77,pwn,en,western,oglala.n.01,definition,a member of the Siouan people who constituted a division of the Teton Sioux and who formerly inhabited the Black Hills of western South Dakota,formerly,1
78,pwn,en,western,ingrian.n.01,definition,a member of western Finnish people formerly living in the Baltic province where Saint Petersburg was built,formerly,1
79,pwn,en,western,calocedrus.n.01,definition,tall evergreens of western North America and eastern Asia; formerly included in genus Libocedrus,formerly,1
80,pwn,en,western,gumweed.n.01,definition,any of various western American plants of the genus Grindelia having resinous leaves and stems formerly used medicinally; often poisonous to livestock,formerly,1
81,pwn,en,western,common_thyme.n.01,definition,common aromatic garden perennial native to the western Mediterranean; used in seasonings and formerly as medicine,formerly,1
82,pwn,en,eskimo,eskimo.n.01,definition,a member of a people inhabiting the Arctic (northern Canada or Greenland or Alaska or eastern Siberia); the Algonquians called them Eskimo (`eaters of raw flesh') but they call themselves the Inuit (`the people'),call themselves,3
83,pwn,en,gay,ghetto.n.02,definition,any segregated mode of living or working that results from bias or stereotyping,stereotyping,2
84,pwn,en,inuit,eskimo.n.01,definition,a member of a people inhabiting the Arctic (northern Canada or Greenland or Alaska or eastern Siberia); the Algonquians called them Eskimo (`eaters of raw flesh') but they call themselves the Inuit (`the people'),call themselves,3
85,pwn,en,black,black.n.05,definition,"a person with African ancestry,  and  are archaic and pejorative today",pejorative,3
86,pwn,en,black,blaxploitation.n.01,definition,the exploitation of black people (especially with regard to stereotyped roles in movies),stereotyped,1
87,pwn,en,black,fox_terrier.n.01,definition,small lively black-and-white terriers formerly used to dig out foxes,formerly,1
88,pwn,en,black,bernese_mountain_dog.n.01,definition,large powerful long-haired black-coated Swiss dog with deep tan or russet markings on legs and white blaze and feet and chest marking; formerly used for draft,formerly,1
89,pwn,en,black,georgia.n.03,definition,a republic in Asia Minor on the Black Sea separated from Russia by the Caucasus mountains; formerly an Asian soviet but became independent in 1991,formerly,1
90,pwn,en,black,oglala.n.01,definition,a member of the Siouan people who constituted a division of the Teton Sioux and who formerly inhabited the Black Hills of western South Dakota,formerly,1
91,pwn,en,black,kaffir.n.02,definition,an offensive and insulting term for any Black African,offensive,3
92,pwn,en,black,mammy.n.01,definition,an offensive term for a Black nursemaid in the southern U.S.,offensive,1
93,pwn,en,black,pickaninny.n.01,definition,(ethnic slur) offensive term for a Black child,slur,1
94,pwn,en,black,pickaninny.n.01,definition,(ethnic slur) offensive term for a Black child,offensive,1
95,pwn,en,black,arrow_wood.n.02,definition,deciduous shrub of eastern North America having blue-black berries and tough pliant wood formerly used to make arrows,formerly,1
96,pwn,en,queer,fagot.n.01,definition,offensive term for a homosexual man,offensive,3
97,pwn,en,half-breed,half-breed.n.01,definition,an offensive term for an offspring of parents of different racial group (especially of Caucasian and American Indian ancestry),offensive,3
98,pwn,en,lilliputian,fiddling.s.01,definition,(informal) small and of little importance,informal,2
99,pwn,en,race,ethnic_slur.n.01,definition,a slur on someone's race or language,slur,1
100,pwn,en,primitive,monera.n.01,definition,prokaryotic bacteria and blue-green algae and various primitive pathogens; because of lack of consensus on how to divide the organisms into phyla informal names are used for the major divisions,informal,2
101,pwn,en,primitive,homo_soloensis.n.01,definition,extinct primitive hominid of late Pleistocene; Java; formerly Javanthropus,formerly,1
102,pwn,en,tribe,arapaho.n.01,definition,a member of a tribe of Plains Indians formerly inhabiting eastern Colorado and Wyoming (now living in Oklahoma and Wyoming),formerly,1
