,resource,en,lemma,entity_id,property,value,implicit_marker,level
0,wikidata,en,immigrant,Q1532765,description,derogatory term mostly referring to Mexican illegal immigrants to the USA,derogatory term,1
1,wikidata,en,immigrant,Q8072681,description,slang term used by Italian American mobsters to refer to newer immigrant Italian mobsters,slang term,1
2,wikidata,en,barbarian,Q134313,description,person perceived to be either uncivilized or primitive based on stereotypes,stereotypes,3
3,wikidata,en,indian,Q6385618,description,derogatory term for ethnic Indians in Southeast Asia,derogatory term,1
4,wikidata,en,indian,Q12643403,description,obsolete name for a group of Ópata Indians,obsolete name,1
5,wikidata,en,servant,Q5913718,description,derogatory term Afro-American who worked as a servant in post-slavery America,derogatory term,1
6,wikidata,en,servant,Q10705205,description,older term for domestic worker staying a long time for the same employer's family,older term,1
7,wikidata,en,servant,Q56011985,description,"A humorous novel  (though with some racial stereotyping) of a negro servant and his master, a planter.",stereotyping,1
8,wikidata,en,hottentot,Q1631241,description,antiquated term for the Khoisan people of southern Africa.,antiquated,3
9,wikidata,en,gypsy,Q76475,description,(denigrating) collective term for Roma and Yenish,denigrating,1
10,wikidata,en,white,Q7129609,description,outdated classification of humans,outdated classification,3
11,wikidata,en,white,Q1066801,description,pejorative,pejorative,1
12,wikidata,en,white,Q95530210,description,a common given name used as pejorative American slang term referring to a annoying white entitled woman,slang term,1
13,wikidata,en,white,Q95530210,description,a common given name used as pejorative American slang term referring to a annoying white entitled woman,pejorative,1
14,wikidata,en,white,Q1135775,description,"derogatory term for poor, rural, usually white and male, person from the Southern United States",derogatory term,1
15,wikidata,en,white,Q27556771,description,derogatory term,derogatory term,1
16,wikidata,en,white,Q7549820,description,informal term for the white solid that results from the addition of soap to hard water,informal term,1
17,wikidata,en,white,Q45991,description,slang term for white person acting like a black person,slang term,1
18,wikidata,en,white,Q6880109,description,pejorative expression previously used within the African-American community to refer to an imperious white man,pejorative,1
19,wikidata,en,caucasian,Q7129609,description,outdated classification of humans,outdated classification,3
20,wikidata,en,kaffir,Q1285250,description,"a slur used to refer to indigenous black people in South Africa; derived from the Arabic term for ""unbeliever"", i.e. pagan",slur,3
21,wikidata,en,descent,Q906267,description,"ethnic slur directed at people of Chinese descent, originated as the Japanese transliteration for word ""China""",slur,1
22,wikidata,en,mohammedan,Q2367463,description,formerly common term referring to Islam,formerly common term,3
23,wikidata,en,mongoloid,Q11410826,description,historical term used to refer to a sub-type of the Mongoloid race and classified by William W. Howells,historical term,2
24,wikidata,en,homosexual,Q14634937,description,disparaging term used by opponents of gay rights activism,disparaging term,1
25,wikidata,en,homosexual,Q5891541,description,archaic term for homosexual,archaic term,1
26,wikidata,en,homosexual,Q7831920,description,colloquial term for a casual homosexual partner,colloquial term,1
27,wikidata,en,homosexual,Q98113730,description,pejorative term for LGBT movements,pejorative,1
28,wikidata,en,native,Q2023990,description,obsolete term for a physical type most common among populations native to the Iranian plateau,obsolete term,1
29,wikidata,en,native,Q17144151,description,obsolete term for mixed Native American and European ancestry,obsolete term,3
30,wikidata,en,negro,Q1130557,description,historical word for black people,historical word,3
31,wikidata,en,negro,Q114217628,description,historical term in the Afroamerican emancipation,historical term,1
32,wikidata,en,negro,Q5913718,description,derogatory term Afro-American who worked as a servant in post-slavery America,derogatory term,1
33,wikidata,en,negro,Q56011985,description,"A humorous novel  (though with some racial stereotyping) of a negro servant and his master, a planter.",stereotyping,1
34,wikidata,en,berber,Q410453,description,"A historical term for all or most of sub-Saharan Africa or Black Africa, inclusive of much more than modern Ethiopia but almost never Egypt, Tunisia, or the land of the Berbers; in Greco-Roman mythology, considered devout and close to the gods",historical term,2
35,wikidata,en,mulatto,Q4689037,description,French pejorative term referring to a mulatto,pejorative,1
36,wikidata,en,mulatto,Q7832650,description,stereotypical fictional character in 19th and 20th century American literature,stereotypical,2
37,wikidata,en,aboriginal,Q16211163,description,term of self-reference for many Australian aboriginals,term of self-reference,1
38,wikidata,en,aboriginal,Q442425,description,self identifying term used by number of Aboriginal groups in Austealia,self identifying term,1
39,wikidata,en,aboriginal,Q5940484,description,"slang term meaning ""begging"" in some Australian Aboriginal communities",slang term,1
40,wikidata,en,gay,Q14634937,description,disparaging term used by opponents of gay rights activism,disparaging term,1
41,wikidata,en,gay,Q5528676,description,outdated medical term,outdated medical term,1
42,wikidata,en,gay,Q898608,description,"pejorative term for the alleged disproportional behind-the-scene influence of gay rights groups and the LGBT community in politics, media, culture, and everyday life",pejorative,1
43,wikidata,en,gay,Q26791,description,a gay slang term for a woman who associates either mostly or exclusively with gay men,slang term,1
44,wikidata,en,gay,Q3624420,description,slang term for overweight gay man,slang term,1
45,wikidata,en,gay,Q5207989,description,slang term in gay culture meaning an older man sexually involved in a relationship or having a sexual interest in a younger man,slang term,2
46,wikidata,en,gay,Q7845166,description,gay slang term for men who cruise for sex or potential sex partners or experiences,slang term,1
47,wikidata,en,gay,Q2919166,description,gay slang term for a gay man,slang term,1
48,wikidata,en,gay,Q1744361,description,gay slang term,slang term,1
49,wikidata,en,gay,Q55657493,description,"derogatory term ridiculing Europe's tolerance toward gay people, implying that all Europe is populated by gay people",derogatory term,1
50,wikidata,en,black,Q817393,description,"a racialized classification of people, usually a political and skin color-based category for specific populations with a mid to dark brown complexion",racialized classification,3
51,wikidata,en,black,Q1130557,description,historical word for black people,historical word,3
52,wikidata,en,black,Q1455718,description,slur against black people,slur,1
53,wikidata,en,black,Q410453,description,"A historical term for all or most of sub-Saharan Africa or Black Africa, inclusive of much more than modern Ethiopia but almost never Egypt, Tunisia, or the land of the Berbers; in Greco-Roman mythology, considered devout and close to the gods",historical term,2
54,wikidata,en,black,Q1285250,description,"a slur used to refer to indigenous black people in South Africa; derived from the Arabic term for ""unbeliever"", i.e. pagan",slur,3
55,wikidata,en,black,Q4117010,description,colloquial term derived from the ethnic slur against black people,slur,1
56,wikidata,en,black,Q4117010,description,colloquial term derived from the ethnic slur against black people,colloquial term,1
57,wikidata,en,black,Q2265295,description,genre of music that presented a stereotype of black people,stereotype,1
58,wikidata,en,black,Q45991,description,slang term for white person acting like a black person,slang term,1
59,wikidata,en,queer,Q115870510,description,identity term of a LGBT+ person,identity term,2
60,wikidata,en,ethnic groups,Q1371427,description,derogatory term for an ethnic group,derogatory term,1
61,wikidata,en,ethnic groups,Q62928,description,obsolete term for an ethnic group in the Middle East,obsolete term,1
62,wikidata,en,ethnic groups,Q5158607,description,slang term for ethnic group,slang term,1
63,wikidata,en,half-breed,Q17144151,description,obsolete term for mixed Native American and European ancestry,obsolete term,3
64,wikidata,en,race,Q62928,description,obsolete term for an ethnic group in the Middle East,obsolete term,1
65,wikidata,en,race,Q2090033,description,pejorative term referring to interethnic relationships resulting in multiethnic offspring,pejorative,1
66,wikidata,en,primitive,Q134313,description,person perceived to be either uncivilized or primitive based on stereotypes,stereotypes,3
67,wikidata,en,retarded,Q18394147,description,pejorative slur for one with a mental disability,slur,3
68,wikidata,en,retarded,Q18394147,description,pejorative slur for one with a mental disability,pejorative,3
69,wikidata,en,slave,Q4666486,description,"Arabic pejorative meaning ""slave""",pejorative,1
70,wikidata,en,ethnicity,Q2920284,description,derogatory term for an Israeli man of Mizrahi ethnicity,derogatory term,1
71,wikidata,en,ethnicity,Q5101084,description,English-language ethnic slur usually referring to a person of Chinese or East Asian ethnicity,slur,1
72,wikidata,en,indigenous,Q1285250,description,"a slur used to refer to indigenous black people in South Africa; derived from the Arabic term for ""unbeliever"", i.e. pagan",slur,3
73,wikidata,en,indigenous,Q5140747,description,pejorative term referring to indigenous peoples of the United States and Canada,pejorative,1
74,wikidata,en,indigenous,Q16842904,description,informal term used in Australian English to refer to Indigenous Australians,informal term,1
75,wikidata,en,tribe,Q7855217,description,"historical term for ""military division, clan, or tribe"" among the Turkic peoples",historical term,1
