lemma,lang,resource,entity_id,link,implicit_value,implicit_property,explicit_value,explicit_property,notes
aboriginal,en,wikidata,Q103817,https://www.wikidata.org/wiki/Q103817,None,None,None,None,
indigenous,en,wikidata,Q103817,https://www.wikidata.org/wiki/Q103817,None,None,None,None,
inheems,nl,wikidata,Q103817,https://www.wikidata.org/wiki/Q103817,None,None,None,None,
homo,nl,wikidata,Q104969456,https://www.wikidata.org/wiki/Q104969456,None,None,None,None,
mestizo,en,wikidata,Q106713,https://www.wikidata.org/wiki/Q106713,None,None,None,None,instance of casta
mesties,nl,wikidata,Q106713,https://www.wikidata.org/wiki/Q106713,None,None,None,None,
transvestite,en,wikidata,Q112918934,https://www.wikidata.org/wiki/Q112918934,None,None,None,None,
negro,en,wikidata,Q1130557,https://www.wikidata.org/wiki/Q1130557,historical word for,schema:description,https://www.wikidata.org/wiki/Q1371427,P31,"in explicit, see also the qualifier ""applies to part"" P518; another property P373 has the value https://commons.wikimedia.org/wiki/Category:Negro%20(archaic%20term) (""archiac term"" as a label qualifier)"
neger,nl,wikidata,Q1130557,https://www.wikidata.org/wiki/Q1130557,historische term voor,schema:description,https://www.wikidata.org/wiki/Q1371427,P31,
bombay,en,wikidata,Q1156,https://www.wikidata.org/wiki/Q1156,None,None,None,None,P582 is a qualifier; official name -> end time
bombay,nl,wikidata,Q1156,https://www.wikidata.org/wiki/Q1156,None,None,None,None,P582 is a qualifier; historical indication
jap,nl,wikidata,Q1192767,https://www.wikidata.org/wiki/Q1192767,None,None,https://www.wikidata.org/wiki/Q545779,P31,"implicit indicators are only given in English (English pejorative, ethnic slur in schema:description)"
batavia,en,wikidata,Q1199713,https://www.wikidata.org/wiki/Q1199713,None,None,None,None,"historical indication ""(1621...1942), now [alternative]"" in description"
batavia,nl,wikidata,Q1199713,https://www.wikidata.org/wiki/Q1199713,None,None,None,None,
handicap,en,wikidata,Q12131,https://www.wikidata.org/wiki/Q12131,None,None,None,None,
handicap,nl,wikidata,Q12131,https://www.wikidata.org/wiki/Q12131,None,None,None,None,
immigrant,en,wikidata,Q12547146,https://www.wikidata.org/wiki/Q12547146,None,None,None,None,
slave,en,wikidata,Q12773225,https://www.wikidata.org/wiki/Q12773225,None,None,"Don't use for occupation (P106), instead use social classification (P3716) (English)",P2559,"""Wikidata usage instructions""; maybe it's a weak indicator, don't include it"
slaaf,nl,wikidata,Q12773225,https://www.wikidata.org/wiki/Q12773225,None,None,None,P2559,no explicit value in Dutch
kaffir,en,wikidata,Q1285250,https://www.wikidata.org/wiki/Q1285250,a slur used to refer to,schema:description,https://www.wikidata.org/wiki/Q1371427,P31,
kaffer,nl,wikidata,Q1285250,https://www.wikidata.org/wiki/Q1285250,een scheldwoord,schema:description,https://www.wikidata.org/wiki/Q1371427,P31,
eskimo,en,wikidata,Q131242,https://www.wikidata.org/wiki/Q131242,None,None,None,None,"has a link to AAT (300017447), where the ysage instructions are given"
eskimo,nl,wikidata,Q131242,https://www.wikidata.org/wiki/Q131242,None,None,None,None,
primitive,en,wikidata,Q13165863,https://www.wikidata.org/wiki/Q13165863,None,None,None,None,
tribe,en,wikidata,Q133311,https://www.wikidata.org/wiki/Q133311,None,None,None,None,AAT link 300049946 (no markers there either)
stam,nl,wikidata,Q133311,https://www.wikidata.org/wiki/Q133311,None,None,None,None,
barbarian,en,wikidata,Q134313,https://www.wikidata.org/wiki/Q134313,based on stereotypes,schema:description,https://www.wikidata.org/wiki/Q1371427,P31,has a link to PWN (10572830-n)
barbaar,nl,wikidata,Q134313,https://www.wikidata.org/wiki/Q134313,None,None,https://www.wikidata.org/wiki/Q1371427,P31,
calcutta,en,wikidata,Q1348,https://www.wikidata.org/wiki/Q1348,None,None,None,None,
calcutta,nl,wikidata,Q1348,https://www.wikidata.org/wiki/Q1348,None,None,None,None,
madras,en,wikidata,Q1352,https://www.wikidata.org/wiki/Q1352,None,None,None,None,P582 is a qualifier; official name -> end time
madras,nl,wikidata,Q1352,https://www.wikidata.org/wiki/Q1352,None,None,None,None,
disabled,en,wikidata,Q15978181,https://www.wikidata.org/wiki/Q15978181,None,None,None,None,"P460 (said to be the same as) leads to Q1790733 with the label ""cripple"", which is classified as ""pejorative"" (Q545779); also P1889 (""different from"") is Q1671669, which is ""invalidity"" with the implicit marker in description ""outdated term for a disability"""
gehandicapte,nl,wikidata,Q15978181,https://www.wikidata.org/wiki/Q15978181,None,None,None,None,
western,en,wikidata,Q160381,https://www.wikidata.org/wiki/Q160381,None,None,None,None,link to WordNet: 08700313-n
westers,nl,wikidata,Q160381,https://www.wikidata.org/wiki/Q160381,None,None,None,None,
hottentot,en,wikidata,Q1631241,https://www.wikidata.org/wiki/Q1631241,antiquated term,schema:description,None,None,"P460 leads to Q219252 with the label ""Khoikhoi"""
afkomst,nl,wikidata,Q1642895,https://www.wikidata.org/wiki/Q1642895,None,None,None,None,
moor,en,wikidata,Q169260,https://www.wikidata.org/wiki/Q169260,None,None,None,None,link to WordNet: 09742775-n
moor,nl,wikidata,Q169260,https://www.wikidata.org/wiki/Q169260,None,None,None,None,
aboriginal,nl,wikidata,Q170355,https://www.wikidata.org/wiki/Q170355,None,None,None,None,"""austraalnegers"" is used as alt label; P460 leads to Q1493806 with the label ""indigenous people of Australia"""
half-breed,en,wikidata,Q17144151,https://www.wikidata.org/wiki/Q17144151,obsolete term,schema:description,None,None,link to WordNet: 10177117-n
pygmy,en,wikidata,Q171927,https://www.wikidata.org/wiki/Q171927,None,None,None,None,"AAT: 300016430 (Use of ""Pygmy"" for a culture is considered pejorative), WordNet: 10516074-n"
pygmee,nl,wikidata,Q171927,https://www.wikidata.org/wiki/Q171927,None,None,None,None,
ontwikkelingsland,nl,wikidata,Q177323,https://www.wikidata.org/wiki/Q177323,None,None,None,None,AAT: 300379994
third world,en,wikidata,Q180194,https://www.wikidata.org/wiki/Q180194,None,None,None,None,
derde wereld,nl,wikidata,Q180194,https://www.wikidata.org/wiki/Q180194,None,None,None,None,
retarded,en,wikidata,Q18394147,https://www.wikidata.org/wiki/Q18394147,pejorative slur,schema:description,https://www.wikidata.org/wiki/Q22116852,P31,
indisch,nl,wikidata,Q188161,https://www.wikidata.org/wiki/Q188161,None,None,None,None,"time indication 'na 1949' in description; P31: historical country (Q3024240), colony (Q133156)"
trans,en,wikidata,Q189125,https://www.wikidata.org/wiki/Q189125,None,None,None,None,WordNet: 02608655-a
inuit,en,wikidata,Q189975,https://www.wikidata.org/wiki/Q189975,None,None,None,None,
inuk,nl,wikidata,Q189975,https://www.wikidata.org/wiki/Q189975,None,None,None,None,"explanantion in description: ""naam waarmee de Eskimo's van Groenland en Canada zichzelf aanduiden""; AAT: 300017455"
mulatto,en,wikidata,Q191923,https://www.wikidata.org/wiki/Q191923,None,None,https://www.wikidata.org/wiki/Q2042898,P31,
mulat,nl,wikidata,Q191923,https://www.wikidata.org/wiki/Q191923,None,None,https://www.wikidata.org/wiki/Q2042898,P31,
inlander,nl,wikidata,Q1945590,https://www.wikidata.org/wiki/Q1945590,None,None,None,None,has a statement with P1705 (native label); a good example of the complex meaning of the term
allochtoon,en,wikidata,Q2008347,https://www.wikidata.org/wiki/Q2008347,None,None,None,None,
allochtoon,nl,wikidata,Q2008347,https://www.wikidata.org/wiki/Q2008347,None,None,None,None,a good example;
gekleurd,nl,wikidata,Q2072081,https://www.wikidata.org/wiki/Q2072081,None,None,None,None,WordNet: 09659294-n
mongoloid,en,wikidata,Q207912,https://www.wikidata.org/wiki/Q207912,None,None,None,None,"WordNet: 10348226-n, 03099367-a, 10348407-n; EN description has changed; now ""outdated grouping """
mongool,nl,wikidata,Q207912,https://www.wikidata.org/wiki/Q207912,None,None,None,None,Dutch description hasn't changed
indo,nl,wikidata,Q2116909,https://www.wikidata.org/wiki/Q2116909,None,None,None,None,
hottentot,nl,wikidata,Q219252,https://www.wikidata.org/wiki/Q219252,None,None,None,None,P460: Q1631241 (Hottentot)
second world,en,wikidata,Q233472,https://www.wikidata.org/wiki/Q233472,None,None,None,None,
tweede wereld,nl,wikidata,Q233472,https://www.wikidata.org/wiki/Q233472,None,None,None,None,
white,en,wikidata,Q235155,https://www.wikidata.org/wiki/Q235155,None,None,None,None,"P460: Q2567826 (Cracker), slang term; P1535: Q1772910 (scientific racism)"
blank,nl,wikidata,Q235155,https://www.wikidata.org/wiki/Q235155,None,None,None,None,
wit,nl,wikidata,Q235155,https://www.wikidata.org/wiki/Q235155,None,None,None,None,
mohammedan,en,wikidata,Q2367463,https://www.wikidata.org/wiki/Q2367463,formerly common term,schema:description,None,None,WordNet: 03046627-a
lilliputian,en,wikidata,Q2419953,https://www.wikidata.org/wiki/Q2419953,None,None,None,None,WordNet: 10282577-n
lilliputter,nl,wikidata,Q2419953,https://www.wikidata.org/wiki/Q2419953,informele term,schema:description,None,None,
dwerg,nl,wikidata,Q2419953,https://www.wikidata.org/wiki/Q2419953,informele term,schema:description,None,None,
jappenkamp,nl,wikidata,Q2432369,https://www.wikidata.org/wiki/Q2432369,None,None,None,None,a good example
métis,en,wikidata,Q262457,https://www.wikidata.org/wiki/Q262457,None,None,None,None,WordNet: 01910775-a
métis,nl,wikidata,Q262457,https://www.wikidata.org/wiki/Q262457,None,None,None,None,
lagelonenland,nl,wikidata,Q2639564,https://www.wikidata.org/wiki/Q2639564,None,None,None,None,
medicine man,en,wikidata,Q266750,https://www.wikidata.org/wiki/Q266750,None,None,None,None,WordNet: 10645801-n
politionele actie,nl,wikidata,Q278039,https://www.wikidata.org/wiki/Q278039,None,None,None,None,P2561 (name): different alternative names are given
hermaphrodite,en,wikidata,Q303479,https://www.wikidata.org/wiki/Q303479,None,None,None,None,WordNet: 10191752-n; Homosaurus: https://homosaurus.org/v3/homoit0001822 (offensive term)
hermafrodiet,nl,wikidata,Q303479,https://www.wikidata.org/wiki/Q303479,None,None,None,None,
race,en,wikidata,Q3254959,https://www.wikidata.org/wiki/Q3254959,None,None,None,None,P1535 (used by): Q8461(racism); AAT: 300256475
ras,nl,wikidata,Q3254959,https://www.wikidata.org/wiki/Q3254959,None,None,None,None,
