term,max_cs,mean_cs,mean_cs_true,mean_cs_false,min_cs_true,n_true,n_total,rm_in_top10
aboriginal,0.971,0.9278,0.9278,,0.9,1.0,10,True
aboriginals,0.9490000000000001,0.8200000000000001,0.8200000000000001,,0.7559999999999999,1.0,10,False
allochtoon,1.0,1.0,1.0,,1.0,1.0,1,True
barbarian,0.866,0.6963,0.7056250000000001,,0.632,0.8,10,True
barbarians,0.7959999999999999,0.7248,0.7248,,0.6809999999999999,1.0,10,False
batavia,1.0,0.7986,0.8428,,0.738,0.5,10,True
berber,0.863,0.8179,0.8179,,0.8009999999999999,1.0,10,False
berbers,0.883,0.7996,0.7996,,0.706,1.0,10,True
black,0.895,0.8563000000000001,0.8607142857142858,,0.836,0.7,10,False
blacker,0.7140000000000001,0.6803,,,,0.0,10,False
blackest,0.541,0.473125,,,,0.0,8,False
blacks,0.95,0.8449,0.84775,,0.81,0.8,10,True
bombay,0.977,0.8447,0.8835,,0.8109999999999999,0.4,10,True
burma,0.95,0.8207,0.8270000000000001,,0.7929999999999999,0.8,10,True
calcutta,0.986,0.8401,0.84375,,0.8079999999999999,0.8,10,True
caucasian,0.865,0.8381,0.8503333333333334,,0.8440000000000001,0.3,10,False
caucasians,0.81,0.6709,0.6563749999999999,,0.615,0.8,10,False
colored,0.879,0.7958,0.879,,0.879,0.1,10,True
coolie,0.843,0.6184,0.642875,,0.519,0.8,10,True
coolies,0.602,0.5203,0.535,,0.47600000000000003,0.7,10,False
descent,0.92,0.8685,0.8861666666666667,,0.853,0.6,10,False
disabled,0.9740000000000001,0.8956000000000001,0.8956000000000001,,0.863,1.0,10,True
eskimo,0.888,0.835,0.835,,0.804,1.0,10,False
eskimos,0.794,0.7397,0.7397,,0.6940000000000001,1.0,10,True
ethnic group,0.9790000000000001,0.9439,0.9439,,0.9309999999999999,1.0,10,True
ethnic groups,0.943,0.9202,0.9202,,0.9059999999999999,1.0,10,False
ethnicities,0.885,0.8380000000000001,0.8380000000000001,,0.777,1.0,10,False
ethnicity,0.9440000000000001,0.8969,0.8969,,0.875,1.0,10,True
first world,0.958,0.887,0.9066,,0.873,0.5,10,True
footman,0.613,0.577,0.573,,0.531,0.6,10,False
footmen,0.687,0.545,0.545,,0.42100000000000004,1.0,10,False
gay,0.903,0.883,0.883,,0.8640000000000001,1.0,10,False
gayer,0.6409999999999999,0.4686,,,,0.0,10,False
gayest,0.511,0.42300000000000004,0.511,,0.511,0.5,2,False
gays,0.878,0.8239,0.8239,,0.7809999999999999,1.0,10,False
gypsies,0.853,0.7706999999999999,0.7706999999999999,,0.733,1.0,10,True
gypsy,0.815,0.7907,0.7967500000000001,,0.773,0.4,10,False
gypsys,0.5589999999999999,0.4745,,,,0.0,10,False
half-breed,0.963,0.8069,0.8093333333333333,,0.78,0.9,10,True
half-breeds,0.735,0.735,,,,0.0,1,False
handicap,0.9309999999999999,0.8217,0.8264444444444444,,0.77,0.9,10,True
handicaps,0.841,0.8029999999999999,0.8029999999999999,,0.778,1.0,10,False
hermaphrodite,0.95,0.8699,0.8699,,0.8079999999999999,1.0,10,True
hermaphrodites,0.856,0.6502,0.6502,,0.523,1.0,5,False
homosexual,0.888,0.8472,0.8472,,0.812,1.0,10,False
homosexuals,0.987,0.845,0.845,,0.73,1.0,10,True
hottentot,0.807,0.5850000000000001,0.58475,,0.406,0.8,10,True
hottentots,0.75,0.5879,0.574,,0.48700000000000004,0.4,10,False
immigrant,0.903,0.8342,0.8342,,0.809,1.0,10,True
immigrants,0.9109999999999999,0.8628,0.8628,,0.8440000000000001,1.0,10,False
indian,0.932,0.9087999999999999,0.9087999999999999,,0.895,1.0,10,False
indians,0.961,0.9436,0.9436,,0.932,1.0,10,True
indigenous,0.95,0.9380000000000001,0.9380000000000001,,0.929,1.0,10,False
indo,0.9159999999999999,0.9017,0.9008888888888889,,0.8859999999999999,0.9,10,True
indos,0.794,0.6732,,,,0.0,5,False
inuit,0.867,0.813,0.813,,0.782,1.0,10,False
inuits,0.927,0.7553333333333333,0.7553333333333333,,0.598,1.0,3,True
kaffir,0.488,0.4472,0.44225,,0.401,0.4,10,False
kaffirs,0.9640000000000001,0.5113333333333334,0.736,,0.508,0.6666666666666666,3,True
lilliputian,0.985,0.447125,0.447125,,0.11199999999999999,1.0,8,True
lilliputians,0.514,0.4083333333333333,0.4083333333333333,,0.289,1.0,3,False
madras,0.9840000000000001,0.8057,0.8164285714285714,,0.767,0.7,10,True
maroon,0.807,0.7435,0.7686666666666667,,0.715,0.3,10,False
maroons,0.9109999999999999,0.7422,0.7633333333333333,,0.633,0.6,10,True
